variable,value,lms_period
AIYC,15.4,2000-02-01
AIYL,27.9,2000-02-01
AIYS,15.3,2000-02-01
AIYT,14.1,2000-02-01
AIYU,14.2,2000-02-01
AIYX,7.2,2000-02-01
AIZA,21.4,2000-02-01
AIZD,52.0,2000-02-01
JN5R,6260.0,2000-02-01
JN62,2276.0,2000-02-01
JN69,388.0,2000-02-01
JN6A,3596.0,2000-02-01
JN6B,3984.0,2000-02-01
JN6E,2025.0,2000-02-01
JN6H,1959.0,2000-02-01
LF2Q,5.9,2000-02-01
LF2S,23.2,2000-02-01
MGUQ,3931.0,2000-02-01
MGVF,581.0,2000-02-01
MGVU,1748.0,2000-02-01
MGWY,12.9,2000-02-01
YBVH,175.0,2000-02-01
YBVN,407.0,2000-02-01
YBXG,23.0,2000-02-01
YBXJ,8.0,2000-02-01
YBXM,4.8,2000-02-01
YBXV,60.0,2000-02-01
YBXY,57.0,2000-02-01
YBYB,13.9,2000-02-01
AGNH,246.0,2000-03-01
AGNI,2753.0,2000-03-01
AGNJ,2999.0,2000-03-01
AGNM,1632.0,2000-03-01
AGNP,1368.0,2000-03-01
AGNT,935.0,2000-03-01
AGOJ,85.0,2000-03-01
AGOK,329.0,2000-03-01
AGOL,415.0,2000-03-01
AGOO,251.0,2000-03-01
AGOR,164.0,2000-03-01
AGOU,167.0,2000-03-01
AGPK,55.0,2000-03-01
AGPL,510.0,2000-03-01
AGPM,565.0,2000-03-01
AGPP,145.0,2000-03-01
AGPS,420.0,2000-03-01
AGPV,1181.0,2000-03-01
AIVZ,62.8,2000-03-01
AIWG,63.8,2000-03-01
AIWH,76.6,2000-03-01
AIWI,75.4,2000-03-01
AIWL,80.5,2000-03-01
AIWX,70.1,2000-03-01
AIXB,41.0,2000-03-01
AIXR,25.7,2000-03-01
AIXS,10.7,2000-03-01
AIXT,12.1,2000-03-01
AIXW,13.3,2000-03-01
AIXZ,10.7,2000-03-01
AIYC,15.2,2000-03-01
AIYL,27.9,2000-03-01
AIYS,14.1,2000-03-01
AIYT,14.2,2000-03-01
AIYU,14.2,2000-03-01
AIYX,7.1,2000-03-01
AIZA,21.5,2000-03-01
AIZD,51.7,2000-03-01
JN5R,6262.0,2000-03-01
JN62,2283.0,2000-03-01
JN69,386.0,2000-03-01
JN6A,3593.0,2000-03-01
JN6B,3979.0,2000-03-01
JN6E,2027.0,2000-03-01
JN6H,1952.0,2000-03-01
LF2Q,5.8,2000-03-01
LF2S,23.2,2000-03-01
MGUQ,3934.0,2000-03-01
MGVF,582.0,2000-03-01
MGVU,1746.0,2000-03-01
MGWY,12.9,2000-03-01
YBVH,185.0,2000-03-01
YBVN,397.0,2000-03-01
YBXG,26.0,2000-03-01
YBXJ,10.0,2000-03-01
YBXM,5.6,2000-03-01
YBXV,56.0,2000-03-01
YBXY,59.0,2000-03-01
YBYB,14.9,2000-03-01
AGNH,246.0,2000-04-01
AGNI,2748.0,2000-04-01
AGNJ,2994.0,2000-04-01
AGNM,1625.0,2000-04-01
AGNP,1369.0,2000-04-01
AGNT,946.0,2000-04-01
AGOJ,85.0,2000-04-01
AGOK,337.0,2000-04-01
AGOL,422.0,2000-04-01
AGOO,255.0,2000-04-01
AGOR,167.0,2000-04-01
AGOU,157.0,2000-04-01
AGPK,61.0,2000-04-01
AGPL,496.0,2000-04-01
AGPM,557.0,2000-04-01
AGPP,151.0,2000-04-01
AGPS,406.0,2000-04-01
AGPV,1187.0,2000-04-01
AIVZ,62.9,2000-04-01
AIWG,62.7,2000-04-01
AIWH,76.8,2000-04-01
AIWI,75.4,2000-04-01
AIWL,80.0,2000-04-01
AIWX,70.5,2000-04-01
AIXB,41.3,2000-04-01
AIXR,25.8,2000-04-01
AIXS,10.9,2000-04-01
AIXT,12.4,2000-04-01
AIXW,13.6,2000-04-01
AIXZ,10.9,2000-04-01
AIYC,14.2,2000-04-01
AIYL,27.8,2000-04-01
AIYS,15.6,2000-04-01
AIYT,13.8,2000-04-01
AIYU,14.0,2000-04-01
AIYX,7.4,2000-04-01
AIZA,20.9,2000-04-01
AIZD,51.8,2000-04-01
JN5R,6263.0,2000-04-01
JN62,2290.0,2000-04-01
JN69,392.0,2000-04-01
JN6A,3581.0,2000-04-01
JN6B,3973.0,2000-04-01
JN6E,2031.0,2000-04-01
JN6H,1942.0,2000-04-01
LF2Q,5.7,2000-04-01
LF2S,23.2,2000-04-01
MGUQ,3940.0,2000-04-01
MGVF,579.0,2000-04-01
MGVU,1744.0,2000-04-01
MGWY,12.8,2000-04-01
YBVH,177.0,2000-04-01
YBVN,402.0,2000-04-01
YBXG,24.0,2000-04-01
YBXJ,9.0,2000-04-01
YBXM,5.2,2000-04-01
YBXV,53.0,2000-04-01
YBXY,65.0,2000-04-01
YBYB,16.2,2000-04-01
AGNH,242.0,2000-05-01
AGNI,2723.0,2000-05-01
AGNJ,2965.0,2000-05-01
AGNM,1612.0,2000-05-01
AGNP,1353.0,2000-05-01
AGNT,955.0,2000-05-01
AGOJ,76.0,2000-05-01
AGOK,330.0,2000-05-01
AGOL,406.0,2000-05-01
AGOO,249.0,2000-05-01
AGOR,157.0,2000-05-01
AGOU,146.0,2000-05-01
AGPK,61.0,2000-05-01
AGPL,503.0,2000-05-01
AGPM,564.0,2000-05-01
AGPP,156.0,2000-05-01
AGPS,408.0,2000-05-01
AGPV,1228.0,2000-05-01
AIVZ,62.6,2000-05-01
AIWG,63.8,2000-05-01
AIWH,76.6,2000-05-01
AIWI,75.4,2000-05-01
AIWL,80.0,2000-05-01
AIWX,70.5,2000-05-01
AIXB,41.0,2000-05-01
AIXR,24.0,2000-05-01
AIXS,10.8,2000-05-01
AIXT,12.0,2000-05-01
AIXW,13.4,2000-05-01
AIXZ,10.4,2000-05-01
AIYC,13.3,2000-05-01
AIYL,28.6,2000-05-01
AIYS,16.0,2000-05-01
AIYT,14.1,2000-05-01
AIYU,14.3,2000-05-01
AIYX,7.7,2000-05-01
AIZA,21.3,2000-05-01
AIZD,52.7,2000-05-01
JN5R,6264.0,2000-05-01
JN62,2330.0,2000-05-01
JN69,379.0,2000-05-01
JN6A,3556.0,2000-05-01
JN6B,3935.0,2000-05-01
JN6E,2016.0,2000-05-01
JN6H,1918.0,2000-05-01
LF2Q,5.6,2000-05-01
LF2S,23.3,2000-05-01
MGUQ,3921.0,2000-05-01
MGVF,552.0,2000-05-01
MGVU,1792.0,2000-05-01
MGWY,12.3,2000-05-01
YBVH,165.0,2000-05-01
YBVN,386.0,2000-05-01
YBXG,26.0,2000-05-01
YBXJ,10.0,2000-05-01
YBXM,6.2,2000-05-01
YBXV,56.0,2000-05-01
YBXY,64.0,2000-05-01
YBYB,16.5,2000-05-01
AGNH,241.0,2000-06-01
AGNI,2731.0,2000-06-01
AGNJ,2972.0,2000-06-01
AGNM,1615.0,2000-06-01
AGNP,1357.0,2000-06-01
AGNT,958.0,2000-06-01
AGOJ,75.0,2000-06-01
AGOK,318.0,2000-06-01
AGOL,393.0,2000-06-01
AGOO,234.0,2000-06-01
AGOR,159.0,2000-06-01
AGOU,137.0,2000-06-01
AGPK,62.0,2000-06-01
AGPL,494.0,2000-06-01
AGPM,556.0,2000-06-01
AGPP,154.0,2000-06-01
AGPS,401.0,2000-06-01
AGPV,1250.0,2000-06-01
AIVZ,62.7,2000-06-01
AIWG,63.8,2000-06-01
AIWH,77.1,2000-06-01
AIWI,75.8,2000-06-01
AIWL,80.6,2000-06-01
AIWX,70.8,2000-06-01
AIXB,40.9,2000-06-01
AIXR,23.6,2000-06-01
AIXS,10.4,2000-06-01
AIXT,11.7,2000-06-01
AIXW,12.7,2000-06-01
AIXZ,10.5,2000-06-01
AIYC,12.5,2000-06-01
AIYL,28.8,2000-06-01
AIYS,16.5,2000-06-01
AIYT,13.9,2000-06-01
AIYU,14.2,2000-06-01
AIYX,7.7,2000-06-01
AIZA,20.9,2000-06-01
AIZD,53.3,2000-06-01
JN5R,6266.0,2000-06-01
JN62,2345.0,2000-06-01
JN69,378.0,2000-06-01
JN6A,3543.0,2000-06-01
JN6B,3921.0,2000-06-01
JN6E,2004.0,2000-06-01
JN6H,1917.0,2000-06-01
LF2Q,5.4,2000-06-01
LF2S,23.3,2000-06-01
MGUQ,3931.0,2000-06-01
MGVF,530.0,2000-06-01
MGVU,1806.0,2000-06-01
MGWY,11.9,2000-06-01
YBVH,153.0,2000-06-01
YBVN,377.0,2000-06-01
YBXG,24.0,2000-06-01
YBXJ,10.0,2000-06-01
YBXM,6.4,2000-06-01
YBXV,55.0,2000-06-01
YBXY,67.0,2000-06-01
YBYB,17.7,2000-06-01
AGNH,240.0,2000-07-01
AGNI,2750.0,2000-07-01
AGNJ,2989.0,2000-07-01
AGNM,1627.0,2000-07-01
AGNP,1362.0,2000-07-01
AGNT,951.0,2000-07-01
AGOJ,77.0,2000-07-01
AGOK,316.0,2000-07-01
AGOL,393.0,2000-07-01
AGOO,230.0,2000-07-01
AGOR,164.0,2000-07-01
AGOU,141.0,2000-07-01
AGPK,63.0,2000-07-01
AGPL,500.0,2000-07-01
AGPM,562.0,2000-07-01
AGPP,154.0,2000-07-01
AGPS,408.0,2000-07-01
AGPV,1239.0,2000-07-01
AIVZ,62.8,2000-07-01
AIWG,63.1,2000-07-01
AIWH,77.1,2000-07-01
AIWI,75.8,2000-07-01
AIWL,80.9,2000-07-01
AIWX,70.4,2000-07-01
AIXB,40.8,2000-07-01
AIXR,24.4,2000-07-01
AIXS,10.3,2000-07-01
AIXT,11.6,2000-07-01
AIXW,12.4,2000-07-01
AIXZ,10.7,2000-07-01
AIYC,12.9,2000-07-01
AIYL,28.7,2000-07-01
AIYS,16.5,2000-07-01
AIYT,14.0,2000-07-01
AIYU,14.3,2000-07-01
AIYX,7.7,2000-07-01
AIZA,21.1,2000-07-01
AIZD,53.1,2000-07-01
JN5R,6276.0,2000-07-01
JN62,2331.0,2000-07-01
JN69,379.0,2000-07-01
JN6A,3565.0,2000-07-01
JN6B,3945.0,2000-07-01
JN6E,2011.0,2000-07-01
JN6H,1934.0,2000-07-01
LF2Q,5.3,2000-07-01
LF2S,23.3,2000-07-01
MGUQ,3941.0,2000-07-01
MGVF,534.0,2000-07-01
MGVU,1801.0,2000-07-01
MGWY,11.9,2000-07-01
YBVH,163.0,2000-07-01
YBVN,371.0,2000-07-01
YBXG,25.0,2000-07-01
YBXJ,12.0,2000-07-01
YBXM,7.1,2000-07-01
YBXV,59.0,2000-07-01
YBXY,62.0,2000-07-01
YBYB,16.8,2000-07-01
AGNH,234.0,2000-08-01
AGNI,2755.0,2000-08-01
AGNJ,2989.0,2000-08-01
AGNM,1626.0,2000-08-01
AGNP,1363.0,2000-08-01
AGNT,956.0,2000-08-01
AGOJ,85.0,2000-08-01
AGOK,316.0,2000-08-01
AGOL,401.0,2000-08-01
AGOO,231.0,2000-08-01
AGOR,170.0,2000-08-01
AGOU,145.0,2000-08-01
AGPK,64.0,2000-08-01
AGPL,503.0,2000-08-01
AGPM,567.0,2000-08-01
AGPP,166.0,2000-08-01
AGPS,400.0,2000-08-01
AGPV,1228.0,2000-08-01
AIVZ,62.8,2000-08-01
AIWG,61.1,2000-08-01
AIWH,77.1,2000-08-01
AIWI,75.5,2000-08-01
AIWL,80.4,2000-08-01
AIWX,70.5,2000-08-01
AIXB,41.0,2000-08-01
AIXR,26.6,2000-08-01
AIXS,10.3,2000-08-01
AIXT,11.8,2000-08-01
AIXW,12.4,2000-08-01
AIXZ,11.1,2000-08-01
AIYC,13.1,2000-08-01
AIYL,28.6,2000-08-01
AIYS,16.8,2000-08-01
AIYT,14.1,2000-08-01
AIYU,14.3,2000-08-01
AIYX,8.2,2000-08-01
AIZA,20.7,2000-08-01
AIZD,52.7,2000-08-01
JN5R,6285.0,2000-08-01
JN62,2329.0,2000-08-01
JN69,383.0,2000-08-01
JN6A,3573.0,2000-08-01
JN6B,3956.0,2000-08-01
JN6E,2023.0,2000-08-01
JN6H,1933.0,2000-08-01
LF2Q,5.4,2000-08-01
LF2S,23.2,2000-08-01
MGUQ,3945.0,2000-08-01
MGVF,545.0,2000-08-01
MGVU,1795.0,2000-08-01
MGWY,12.1,2000-08-01
YBVH,173.0,2000-08-01
YBVN,373.0,2000-08-01
YBXG,23.0,2000-08-01
YBXJ,13.0,2000-08-01
YBXM,7.3,2000-08-01
YBXV,53.0,2000-08-01
YBXY,61.0,2000-08-01
YBYB,16.4,2000-08-01
AGNH,234.0,2000-09-01
AGNI,2754.0,2000-09-01
AGNJ,2988.0,2000-09-01
AGNM,1619.0,2000-09-01
AGNP,1369.0,2000-09-01
AGNT,937.0,2000-09-01
AGOJ,84.0,2000-09-01
AGOK,322.0,2000-09-01
AGOL,406.0,2000-09-01
AGOO,234.0,2000-09-01
AGOR,171.0,2000-09-01
AGOU,156.0,2000-09-01
AGPK,68.0,2000-09-01
AGPL,497.0,2000-09-01
AGPM,566.0,2000-09-01
AGPP,162.0,2000-09-01
AGPS,404.0,2000-09-01
AGPV,1243.0,2000-09-01
AIVZ,62.3,2000-09-01
AIWG,60.7,2000-09-01
AIWH,77.1,2000-09-01
AIWI,75.5,2000-09-01
AIWL,80.3,2000-09-01
AIWX,70.4,2000-09-01
AIXB,40.1,2000-09-01
AIXR,26.3,2000-09-01
AIXS,10.5,2000-09-01
AIXT,12.0,2000-09-01
AIXW,12.7,2000-09-01
AIXZ,11.1,2000-09-01
AIYC,14.3,2000-09-01
AIYL,28.7,2000-09-01
AIYS,17.7,2000-09-01
AIYT,13.9,2000-09-01
AIYU,14.3,2000-09-01
AIYX,8.1,2000-09-01
AIZA,20.8,2000-09-01
AIZD,53.2,2000-09-01
JN5R,6295.0,2000-09-01
JN62,2335.0,2000-09-01
JN69,386.0,2000-09-01
JN6A,3574.0,2000-09-01
JN6B,3960.0,2000-09-01
JN6E,2016.0,2000-09-01
JN6H,1944.0,2000-09-01
LF2Q,5.5,2000-09-01
LF2S,23.3,2000-09-01
MGUQ,3924.0,2000-09-01
MGVF,562.0,2000-09-01
MGVU,1808.0,2000-09-01
MGWY,12.5,2000-09-01
YBVH,176.0,2000-09-01
YBVN,386.0,2000-09-01
YBXG,21.0,2000-09-01
YBXJ,12.0,2000-09-01
YBXM,6.7,2000-09-01
YBXV,56.0,2000-09-01
YBXY,58.0,2000-09-01
YBYB,14.9,2000-09-01
AGNH,226.0,2000-10-01
AGNI,2749.0,2000-10-01
AGNJ,2976.0,2000-10-01
AGNM,1614.0,2000-10-01
AGNP,1361.0,2000-10-01
AGNT,934.0,2000-10-01
AGOJ,85.0,2000-10-01
AGOK,317.0,2000-10-01
AGOL,402.0,2000-10-01
AGOO,237.0,2000-10-01
AGOR,165.0,2000-10-01
AGOU,151.0,2000-10-01
AGPK,62.0,2000-10-01
AGPL,513.0,2000-10-01
AGPM,574.0,2000-10-01
AGPP,162.0,2000-10-01
AGPS,413.0,2000-10-01
AGPV,1268.0,2000-10-01
AIVZ,62.0,2000-10-01
AIWG,60.7,2000-10-01
AIWH,76.8,2000-10-01
AIWI,75.3,2000-10-01
AIWL,80.2,2000-10-01
AIWX,70.2,2000-10-01
AIXB,39.7,2000-10-01
AIXR,27.3,2000-10-01
AIXS,10.3,2000-10-01
AIXT,11.9,2000-10-01
AIXW,12.8,2000-10-01
AIXZ,10.8,2000-10-01
AIYC,13.9,2000-10-01
AIYL,29.2,2000-10-01
AIYS,16.5,2000-10-01
AIYT,14.3,2000-10-01
AIYU,14.5,2000-10-01
AIYX,8.0,2000-10-01
AIZA,21.3,2000-10-01
AIZD,53.9,2000-10-01
JN5R,6305.0,2000-10-01
JN62,2353.0,2000-10-01
JN69,373.0,2000-10-01
JN6A,3579.0,2000-10-01
JN6B,3952.0,2000-10-01
JN6E,2013.0,2000-10-01
JN6H,1939.0,2000-10-01
LF2Q,5.3,2000-10-01
LF2S,23.5,2000-10-01
MGUQ,3910.0,2000-10-01
MGVF,553.0,2000-10-01
MGVU,1842.0,2000-10-01
MGWY,12.4,2000-10-01
YBVH,171.0,2000-10-01
YBVN,382.0,2000-10-01
YBXG,20.0,2000-10-01
YBXJ,11.0,2000-10-01
YBXM,6.5,2000-10-01
YBXV,56.0,2000-10-01
YBXY,52.0,2000-10-01
YBYB,13.7,2000-10-01
AGNH,233.0,2000-11-01
AGNI,2744.0,2000-11-01
AGNJ,2977.0,2000-11-01
AGNM,1625.0,2000-11-01
AGNP,1352.0,2000-11-01
AGNT,927.0,2000-11-01
AGOJ,77.0,2000-11-01
AGOK,318.0,2000-11-01
AGOL,395.0,2000-11-01
AGOO,236.0,2000-11-01
AGOR,159.0,2000-11-01
AGOU,154.0,2000-11-01
AGPK,59.0,2000-11-01
AGPL,515.0,2000-11-01
AGPM,575.0,2000-11-01
AGPP,152.0,2000-11-01
AGPS,422.0,2000-11-01
AGPV,1288.0,2000-11-01
AIVZ,61.8,2000-11-01
AIWG,63.1,2000-11-01
AIWH,76.7,2000-11-01
AIWI,75.4,2000-11-01
AIWL,80.7,2000-11-01
AIWX,69.9,2000-11-01
AIXB,39.1,2000-11-01
AIXR,24.9,2000-11-01
AIXS,10.4,2000-11-01
AIXT,11.7,2000-11-01
AIXW,12.7,2000-11-01
AIXZ,10.5,2000-11-01
AIYC,14.2,2000-11-01
AIYL,29.5,2000-11-01
AIYS,16.0,2000-11-01
AIYT,14.4,2000-11-01
AIYU,14.6,2000-11-01
AIYX,7.6,2000-11-01
AIZA,21.9,2000-11-01
AIZD,54.4,2000-11-01
JN5R,6314.0,2000-11-01
JN62,2368.0,2000-11-01
JN69,369.0,2000-11-01
JN6A,3577.0,2000-11-01
JN6B,3946.0,2000-11-01
JN6E,2013.0,2000-11-01
JN6H,1933.0,2000-11-01
LF2Q,5.3,2000-11-01
LF2S,23.5,2000-11-01
MGUQ,3903.0,2000-11-01
MGVF,548.0,2000-11-01
MGVU,1863.0,2000-11-01
MGWY,12.3,2000-11-01
YBVH,161.0,2000-11-01
YBVN,387.0,2000-11-01
YBXG,21.0,2000-11-01
YBXJ,11.0,2000-11-01
YBXM,6.6,2000-11-01
YBXV,60.0,2000-11-01
YBXY,50.0,2000-11-01
YBYB,12.8,2000-11-01
AGNH,244.0,2000-12-01
AGNI,2752.0,2000-12-01
AGNJ,2996.0,2000-12-01
AGNM,1637.0,2000-12-01
AGNP,1359.0,2000-12-01
AGNT,951.0,2000-12-01
AGOJ,79.0,2000-12-01
AGOK,312.0,2000-12-01
AGOL,391.0,2000-12-01
AGOO,238.0,2000-12-01
AGOR,153.0,2000-12-01
AGOU,149.0,2000-12-01
AGPK,54.0,2000-12-01
AGPL,511.0,2000-12-01
AGPM,565.0,2000-12-01
AGPP,149.0,2000-12-01
AGPS,415.0,2000-12-01
AGPV,1272.0,2000-12-01
AIVZ,62.4,2000-12-01
AIWG,64.7,2000-12-01
AIWH,77.0,2000-12-01
AIWI,75.8,2000-12-01
AIWL,80.9,2000-12-01
AIWX,70.5,2000-12-01
AIXB,40.1,2000-12-01
AIXR,24.5,2000-12-01
AIXS,10.2,2000-12-01
AIXT,11.5,2000-12-01
AIXW,12.7,2000-12-01
AIXZ,10.1,2000-12-01
AIYC,13.6,2000-12-01
AIYL,29.0,2000-12-01
AIYS,14.3,2000-12-01
AIYT,14.3,2000-12-01
AIYU,14.3,2000-12-01
AIYX,7.4,2000-12-01
AIZA,21.5,2000-12-01
AIZD,53.6,2000-12-01
JN5R,6324.0,2000-12-01
JN62,2373.0,2000-12-01
JN69,376.0,2000-12-01
JN6A,3575.0,2000-12-01
JN6B,3952.0,2000-12-01
JN6E,2025.0,2000-12-01
JN6H,1927.0,2000-12-01
LF2Q,5.2,2000-12-01
LF2S,23.3,2000-12-01
MGUQ,3947.0,2000-12-01
MGVF,540.0,2000-12-01
MGVU,1836.0,2000-12-01
MGWY,12.0,2000-12-01
YBVH,160.0,2000-12-01
YBVN,381.0,2000-12-01
YBXG,21.0,2000-12-01
YBXJ,10.0,2000-12-01
YBXM,6.0,2000-12-01
YBXV,61.0,2000-12-01
YBXY,48.0,2000-12-01
YBYB,12.5,2000-12-01
AGNH,241.0,2001-01-01
AGNI,2735.0,2001-01-01
AGNJ,2976.0,2001-01-01
AGNM,1622.0,2001-01-01
AGNP,1354.0,2001-01-01
AGNT,952.0,2001-01-01
AGOJ,82.0,2001-01-01
AGOK,324.0,2001-01-01
AGOL,406.0,2001-01-01
AGOO,251.0,2001-01-01
AGOR,155.0,2001-01-01
AGOU,144.0,2001-01-01
AGPK,59.0,2001-01-01
AGPL,517.0,2001-01-01
AGPM,576.0,2001-01-01
AGPP,157.0,2001-01-01
AGPS,419.0,2001-01-01
AGPV,1280.0,2001-01-01
AIVZ,62.0,2001-01-01
AIWG,63.1,2001-01-01
AIWH,76.5,2001-01-01
AIWI,75.2,2001-01-01
AIWL,79.9,2001-01-01
AIWX,70.2,2001-01-01
AIXB,40.1,2001-01-01
AIXR,25.4,2001-01-01
AIXS,10.6,2001-01-01
AIXT,12.0,2001-01-01
AIXW,13.4,2001-01-01
AIXZ,10.3,2001-01-01
AIYC,13.1,2001-01-01
AIYL,29.3,2001-01-01
AIYS,15.4,2001-01-01
AIYT,14.5,2001-01-01
AIYU,14.5,2001-01-01
AIYX,7.7,2001-01-01
AIZA,21.7,2001-01-01
AIZD,53.9,2001-01-01
JN5R,6334.0,2001-01-01
JN62,2376.0,2001-01-01
JN69,382.0,2001-01-01
JN6A,3576.0,2001-01-01
JN6B,3958.0,2001-01-01
JN6E,2030.0,2001-01-01
JN6H,1928.0,2001-01-01
LF2Q,5.2,2001-01-01
LF2S,23.3,2001-01-01
MGUQ,3928.0,2001-01-01
MGVF,550.0,2001-01-01
MGVU,1856.0,2001-01-01
MGWY,12.3,2001-01-01
YBVH,160.0,2001-01-01
YBVN,390.0,2001-01-01
YBXG,22.0,2001-01-01
YBXJ,9.0,2001-01-01
YBXM,5.8,2001-01-01
YBXV,61.0,2001-01-01
YBXY,53.0,2001-01-01
YBYB,13.5,2001-01-01
AGNH,245.0,2001-02-01
AGNI,2744.0,2001-02-01
AGNJ,2989.0,2001-02-01
AGNM,1628.0,2001-02-01
AGNP,1361.0,2001-02-01
AGNT,953.0,2001-02-01
AGOJ,80.0,2001-02-01
AGOK,322.0,2001-02-01
AGOL,402.0,2001-02-01
AGOO,248.0,2001-02-01
AGOR,154.0,2001-02-01
AGOU,134.0,2001-02-01
AGPK,62.0,2001-02-01
AGPL,519.0,2001-02-01
AGPM,581.0,2001-02-01
AGPP,160.0,2001-02-01
AGPS,421.0,2001-02-01
AGPV,1285.0,2001-02-01
AIVZ,62.1,2001-02-01
AIWG,63.3,2001-02-01
AIWH,76.5,2001-02-01
AIWI,75.3,2001-02-01
AIWL,80.0,2001-02-01
AIWX,70.3,2001-02-01
AIXB,40.2,2001-02-01
AIXR,24.7,2001-02-01
AIXS,10.5,2001-02-01
AIXT,11.8,2001-02-01
AIXW,13.2,2001-02-01
AIXZ,10.2,2001-02-01
AIYC,12.4,2001-02-01
AIYL,29.4,2001-02-01
AIYS,16.0,2001-02-01
AIYT,14.5,2001-02-01
AIYU,14.6,2001-02-01
AIYX,7.8,2001-02-01
AIZA,21.8,2001-02-01
AIZD,54.2,2001-02-01
JN5R,6344.0,2001-02-01
JN62,2373.0,2001-02-01
JN69,386.0,2001-02-01
JN6A,3585.0,2001-02-01
JN6B,3971.0,2001-02-01
JN6E,2035.0,2001-02-01
JN6H,1936.0,2001-02-01
LF2Q,5.1,2001-02-01
LF2S,23.4,2001-02-01
MGUQ,3942.0,2001-02-01
MGVF,536.0,2001-02-01
MGVU,1866.0,2001-02-01
MGWY,12.0,2001-02-01
YBVH,153.0,2001-02-01
YBVN,383.0,2001-02-01
YBXG,16.0,2001-02-01
YBXJ,10.0,2001-02-01
YBXM,6.5,2001-02-01
YBXV,56.0,2001-02-01
YBXY,55.0,2001-02-01
YBYB,14.4,2001-02-01
AGNH,249.0,2001-03-01
AGNI,2769.0,2001-03-01
AGNJ,3019.0,2001-03-01
AGNM,1637.0,2001-03-01
AGNP,1382.0,2001-03-01
AGNT,937.0,2001-03-01
AGOJ,77.0,2001-03-01
AGOK,324.0,2001-03-01
AGOL,401.0,2001-03-01
AGOO,244.0,2001-03-01
AGOR,157.0,2001-03-01
AGOU,130.0,2001-03-01
AGPK,70.0,2001-03-01
AGPL,512.0,2001-03-01
AGPM,582.0,2001-03-01
AGPP,161.0,2001-03-01
AGPS,420.0,2001-03-01
AGPV,1286.0,2001-03-01
AIVZ,62.3,2001-03-01
AIWG,62.9,2001-03-01
AIWH,76.8,2001-03-01
AIWI,75.4,2001-03-01
AIWL,80.1,2001-03-01
AIWX,70.5,2001-03-01
AIXB,39.8,2001-03-01
AIXR,23.7,2001-03-01
AIXS,10.5,2001-03-01
AIXT,11.7,2001-03-01
AIXW,13.0,2001-03-01
AIXZ,10.2,2001-03-01
AIYC,12.2,2001-03-01
