Quarter,JN5P,YBTO,YBVH,YCAS,JN5Y,AGNR,AGOS,AGPT,JN69,AGNH,AGOJ,AGPK,YBUA,YBVK,LWEX,AIWY,AIYA,AIZB,AIWG,AIXR,AIYS,JN5Q,YBTR,YBVN,YCAV,JN5Z,AGNS,AGOT,AGPU,JN6A,AGNI,AGOK,AGPL,YBUD,YBVQ,LWFA,AIXA,AIYB,AIZC,AIWH,AIXS,AIYT,JN5R,MGUQ,MGVF,MGVU,JN62,AGNT,AGOU,AGPV,JN6B,AGNJ,AGOL,AGPM,AIVZ,MGWY,AIYL,AIXB,AIYC,AIZD,AIWI,AIXT,AIYU
Jan-Mar 1993,1331161.5,587790.9872266245,143512.74668990914,599857.7660834661,889591.6567944211,312440.9154515115,53490.40257678475,523660.3387661249,441569.84320557874,275350.07177511306,90022.34411312439,76197.4273173413,44.156249052171695,19.624232727668353,45.062734017132115,35.1218351774307,14.617607168744303,58.865248427924435,62.35708257978116,24.638516811477356,17.256030612096517,5619521.833333333,3602671.4530002284,780912.5245168458,1235937.855816258,1007395.9967262412,330592.870911716,46807.42935592005,629995.6964586051,4612125.836607091,3272078.5820885124,734105.0951609258,605942.1593576528,64.10992892011296,17.814476203080883,21.993648080251987,32.81657580395908,12.402594625050973,62.537045859415485,70.94512808209967,18.32429949055523,13.138023133458427,6950683.333333332,4190462.440226853,924425.2712067551,1835795.6218997242,1896987.6535206623,643033.7863632275,100297.83193270481,1153656.0352247301,5053695.67981267,3547428.6538636256,824127.4392740502,682139.5866749941,60.288495954501165,18.073227084542502,26.411728658329388,33.89762633245433,13.493013005774582,60.815157815267476,70.19474219696427,18.85203853537961,13.497836630722478
Feb-Apr 1993,1326360.75,576754.2544639627,140457.65743060136,609148.838105436,884649.63403476,306098.11955255247,51404.80394196478,527146.7105402427,441711.11596524017,270656.1349114103,89052.8534886366,82002.12756519328,43.48396576602276,19.583843366401002,45.92633173934286,34.6010564833993,14.378848553039356,59.5881906530614,61.27446766196151,24.75691638530794,18.564651103697006,5603315.416666666,3566918.860465568,773854.3873322101,1262542.1688688886,1001106.0182642369,328750.40772352833,45826.613769641306,626528.9967710673,4602209.39840243,3238168.4527420397,728027.7735625687,636013.1720978215,63.65729207133369,17.827569954841866,22.53205602371671,32.838720547652954,12.234229848633932,62.58368098289646,70.36117161175042,18.35581832119507,13.819735632164013,6929676.166666667,4143673.114929531,914312.0447628114,1871691.0069743246,1885755.6522989967,634848.5272760808,97231.41771160609,1153675.7073113099,5043920.51436767,3508824.5876534497,817080.6270512053,718015.2996630147,59.796057063410124,18.076605919073625,27.009790384976256,33.66547126623286,13.28153002651117,61.178430296884954,69.56542193039164,18.888084377664534,14.235261987530123
Mar-May 1993,1321622.0,575351.7456694266,136604.5308854149,609665.7234451582,884686.780456199,305448.9823983609,50138.79898701931,529098.9990708188,436935.2195438008,269902.7632710658,86465.73189839558,80566.72437433948,43.53375970356325,19.18720789237853,46.13011310686098,34.52622884687535,14.100259236039303,59.80636432681663,61.77180304963016,24.26301232303915,18.43905475472046,5587174.0,3570707.8521560384,770435.5581214821,1246030.5897224795,980215.9380950469,323698.19415323983,46961.5085538726,609556.2353879345,4606958.061904953,3247009.6580027984,723474.0495676094,636474.354334545,63.90901468534966,17.747295707796713,22.301624931002316,33.023151488672525,12.669709766367726,62.18591350111558,70.48055602790048,18.22130760008364,13.815501373836387,6908796.0,4146059.597825465,907040.0890068971,1855696.3131676377,1864902.718551246,629147.1765516007,97100.30754089192,1138655.2344587534,5043893.281448754,3516912.4212738643,809939.781466005,717041.0787088844,60.011318872716245,17.95017207696319,26.859908921433455,33.73619279403245,13.37014029896805,61.05708480833362,69.72614655050165,18.718914895062312,14.216023985799506
Apr-Jun 1993,1316973.8333333335,574870.8108135473,137667.35220447823,604435.6703153081,883849.539067781,303005.45655114326,53015.86521464673,527828.217301991,433124.2942655528,271865.3542624041,84651.4869898315,76607.45301331716,43.65089087294297,19.320698784942916,45.895799522868884,34.282470393176986,14.891205097408019,59.7192388490359,62.7684380354155,23.74403595984421,17.687175258367844,5570728.25,3552352.2617520215,765299.7605273824,1253076.2277205973,1000299.3920993591,323932.07501213043,46872.09805705589,629495.2190301727,4570428.857900642,3228420.186739891,718427.6624703265,623581.0086904245,63.768184379699754,17.724905957645014,22.493939238924412,32.383512133530765,12.640660882829463,62.93068095433226,70.63713903256811,18.202567971149115,13.643818295354832,6887702.083333335,4127223.0725655686,902967.1127318607,1857511.8980359053,1884148.93116714,626937.5315632736,99887.96327170261,1157323.4363321636,5003553.152166195,3500285.541002295,803079.1494601581,700188.4617037417,59.92162585766457,17.950953730757785,26.968528481083116,33.27430869145338,13.743046161910144,61.42420151549577,69.9559979589087,18.661656801711985,13.993824796297172
May-Jul 1993,1312264.6666666665,576392.3831299872,137089.05431315137,598783.2292235277,886567.3732816561,313578.50597222126,55084.265096354495,517904.60221308033,425697.2933850102,262813.8771577659,82004.78921679688,80878.62701044744,43.92348569394186,19.214102444547034,45.629760857961664,35.36995781961848,14.941640279188414,58.416835293187106,61.73726759405801,23.782004054188405,18.999093550096642,5554166.5,3536935.1266427003,761571.4206565162,1255659.9527007819,1027575.574019595,333789.1125983108,49415.127563494425,644371.3338577899,4526590.925980404,3203146.01404439,712156.2930930217,611288.618842992,63.68075437858588,17.717116684049657,22.607531709767468,32.48316922254379,12.895245507364232,62.707926321874815,70.76287798970101,18.189049969265323,13.504392794464733,6866431.166666665,4113327.5097726877,898660.4749696676,1854443.1819243096,1914142.947301251,647367.6185705321,104499.39265984892,1162275.9360708701,4952288.219365414,3465959.8912021555,794161.0823098186,692167.2458534396,59.90488231704677,17.930220058495692,27.00738035395694,33.820233723048496,13.898653764426042,60.72043562418169,69.98703907516683,18.641749547668958,13.97671571591473
Jun-Aug 1993,1310749.5,571271.4899460874,143385.12959552696,596092.8804583856,906294.502675236,319655.0037038709,58546.57128561866,528092.9276857465,404454.997324764,251616.48624221652,84838.55830990829,67999.95277263917,43.583574889487835,20.06349982282332,45.47725407931764,35.27054426130807,15.480255809946247,58.26946165147211,62.21124424386248,25.215421698563578,16.81273645335563,5536636.75,3516460.1918754494,745488.8293021028,1274687.7288224474,1070383.869125485,348651.77283949964,51051.02298127164,670681.0733047137,4466252.880874515,3167808.4190359497,694437.8063208312,604006.6555177334,63.51256820082064,17.49173501601688,23.0227805503485,32.57259221631879,12.772245657286616,62.657995196869635,70.92765464761763,17.980153667097735,13.52378988892957,6847386.249999998,4087731.6818215367,888873.9588976298,1870780.6092808326,1976678.371800721,668306.7765433704,109597.59426689032,1198774.0009904602,4870707.878199278,3419424.9052781663,779276.3646307394,672006.6082903726,59.697693872921754,17.861048736206047,27.321090719554963,33.80958612576684,14.088826130740733,60.64588038662036,70.20385929082533,18.559938288909187,13.796898214696798
Jul-Sep 1993,1309226.3333333335,569119.057269612,143706.9854826046,596400.2905811167,907255.9077743711,323131.9088001318,58909.503045567275,525214.495928672,401970.42555896216,245987.14846948016,84797.48243703734,71185.79465244469,43.46987551194575,20.160176096786937,45.55364304830792,35.61640172647878,15.41966426125552,57.8904465022552,61.19533498700095,25.63525463823675,17.709211953455753,5519087.0,3519147.637557294,731008.9653822025,1268930.3970605033,1089863.3968246593,374441.82426546095,58251.06883674909,657170.5037224493,4429223.603175341,3144705.8132918337,672757.8965454535,611759.893338054,63.763220937761886,17.199577184441193,22.991672301243,34.35676666969506,13.46245102828373,60.29842874227448,70.99903041782251,17.623164165563963,13.811899062839798,6828313.333333333,4088266.6948269065,874715.9508648071,1865330.68764162,1997119.3045990304,697573.7330655927,117160.57188231636,1182384.9996511212,4831194.028734303,3390692.9617613135,757555.3789824907,682945.6879904986,59.87227731436226,17.624803738214442,27.317590693088967,34.928996553145204,14.380218332626507,59.204525084119275,70.18333235209809,18.262054649473004,14.136167662250147
Aug-Oct 1993,1307744.1666666665,572157.1062621195,148819.3665109948,586767.6938935521,906951.8483562889,327786.7066949202,58719.340896647554,520445.8007647212,400792.3183103775,244370.3995671993,90100.02561434725,66321.89312883094,43.75145543340494,20.641362392670906,44.86869135797219,36.14157766908831,15.192347251108993,57.3840608746704,60.971827154121385,26.938114353591068,16.547695676510106,5501459.25,3508469.845175909,723371.0302158629,1269618.374608227,1107346.149922293,380720.66762273666,55214.171620260735,671411.3106792956,4394113.100077705,3127749.177553172,668156.8585956022,598207.0639289315,63.77344056808035,17.093530960067,23.077847474889996,34.38136012388297,12.66569373444443,60.632468964326215,71.18044315923187,17.60203893965448,13.613829464661546,6809203.416666665,4080626.951438029,872190.3967268578,1856386.068501779,2014297.998278582,708507.3743176569,113933.51251690829,1191857.111444017,4794905.418388084,3372119.5771203716,758256.8842099495,664528.9570577624,59.928110554753154,17.60998509363607,27.262896331720142,35.17391046027682,13.853094409668634,59.1698503628846,70.32713438285059,18.358057463017026,13.8590628818109
Sep-Nov 1993,1306181.0,579112.8630909814,142287.17114868274,584780.965760336,892447.895332509,328458.7885884353,54968.98446435087,509020.1222797228,413733.10466749105,250654.07450254608,87318.18668433189,75760.84348061311,44.336341065363946,19.72375442131071,44.77028572306105,36.804253817648124,14.336203146344156,57.03639674001043,60.58351910321308,25.83590333055477,18.311525625076715,5483957.5,3488062.34124738,727825.9992511626,1268069.1595014585,1103540.298727306,378989.57068423566,55681.192075574865,668869.5359674956,4380417.201272694,3109072.770563144,672144.8071755879,599199.6235339628,63.60483904638903,17.263882258444607,23.123249213755916,34.343065778505576,12.809969486340417,60.611246978374176,70.97663596197705,17.775882856694754,13.679053752228674,6790138.5,4067175.2043383606,870113.1703998455,1852850.1252617943,1995988.1940598153,707448.3592726709,110650.17653992573,1177889.6582472185,4794150.305940186,3359726.8450656896,759462.9938599197,674960.467014576,59.89826576200707,17.623300572269738,27.28736866356694,35.44351421406605,13.525287199056002,59.012856977445615,70.07971445748842,18.437193320956705,14.07883407781911
Oct-Dec 1993,1304705.8333333335,576650.7814113502,146329.2759838202,581725.7759381628,888311.5369012051,326263.9484777991,59120.16016381751,502927.42825958855,416394.2964321283,250386.8329335512,87209.11582000268,78798.34767857436,44.19776218353309,20.239738909401026,44.58673833410694,36.72855016787708,15.340580692909581,56.616109030172645,60.13214760120134,25.83239406218871,18.923973828113752,5466438.75,3464377.422384849,732285.0209361938,1269776.3066789585,1103086.96387452,378086.11870494846,57220.94225978669,667779.9029097848,4363351.786125481,3086291.3036799002,675064.078676407,601996.4037691735,63.37539997836523,17.449223777852808,23.22858381389453,34.275277569861395,13.144960739431294,60.53737599837569,70.73212188606114,17.94736232165098,13.796650677660063,6771144.583333334,4041028.203796199,878614.2969200138,1851502.0826171213,1991398.500775725,704350.0671827475,116341.1024236042,1170707.3311693734,4779746.082557609,3336678.136613451,762273.1944964097,680794.7514477479,59.6801346369547,17.85931186650459,27.34400454502855,35.36961923534523,14.175990522647847,58.78819988632805,69.80869023126051,18.59678568786547,14.243324638773682
Nov-Jan 1994,1303228.6666666665,577562.1019907466,144047.97784885453,581618.5868270658,888584.101656708,327029.76856217015,58529.57753262453,503024.75556191336,414644.5650099587,250532.33342857636,85518.40031622999,78593.83126515234,44.317786798536766,19.962024072733765,44.62905104095822,36.803468343901734,15.18043282453184,56.60969565222425,60.420985723654475,25.448062369407538,18.954506557505397,5448882.0,3444735.8813832863,729591.6044930075,1274554.5141237061,1099637.717813407,377938.52933256776,55117.53186089291,666581.6566199464,4349244.282186593,3066797.352050719,674474.0726321146,607972.8575037597,63.21913158301623,17.478063399710678,23.391119758579944,34.3693675844519,12.72757427964276,60.61829690103953,70.5133387106249,18.027937459503978,13.978816043832328,6752110.666666667,4022297.983374033,873639.5823418621,1856173.1009507717,1988221.8194701152,704968.2978947379,113647.10939351743,1169606.4121818598,4763888.847196552,3317329.685479295,759992.4729483447,686566.688768912,59.57097242542283,17.844173268457855,27.490264786597667,35.4572256974134,13.882845153132987,58.82675668922966,69.63490945913806,18.639500226330526,14.411895633814838
Dec-Feb 1994,1301679.5,585776.0631672854,143231.01163974789,572672.4251929666,884292.6658446139,327538.0756721158,59201.27940453414,497553.310767964,417386.83415538596,258237.98749516965,84029.73223521373,75119.11442500263,45.0015586146425,19.647410373577078,43.994887005055126,37.039555830679035,15.307798036949386,56.265683295330305,61.87018045687375,24.55087856412722,17.997480581056628,5431356.25,3452018.0080745993,697915.7196344839,1281422.5222909173,1099800.873181581,370479.6807990073,52595.91546340696,676725.2769191668,4331555.376818419,3081538.327275592,645319.804171077,604697.2453717506,63.557200985934216,16.81751481895975,23.593048647672806,33.68606898149278,12.431800824263128,61.53161844302674,71.14161217393968,17.31538420327743,13.960279686321545,6733035.750000001,4037794.071241885,841146.7312742318,1854094.947483884,1984093.539026195,698017.7564711231,111797.19486794109,1174278.5876871308,4748942.210973806,3339776.314770762,729349.5364062907,679816.3597967532,59.9698890837151,17.24035534188987,27.53728060160506,35.180687943458274,13.805276709584033,59.18463845527534,70.32674154369035,17.92398571784935,14.315111230998781
Jan-Mar 1994,1300139.3333333335,585561.8250830751,143276.13635327073,571301.3718969877,888075.4109105159,329860.48736332543,59922.26940222093,498292.65414496954,412063.92242281756,255701.33771974963,83353.8669510498,73008.7177520181,45.038390122525975,19.658160514980803,43.94154974392393,37.14329698928719,15.373247882862112,56.109272706254266,62.05380374391895,24.584157919646444,17.717813615603085,5413784.5,3445683.1546839075,682538.0622553625,1285563.2830607304,1113209.911549874,375625.3570182711,52087.1579375486,685497.3965940543,4300574.588450126,3070057.797665636,630450.9043178139,600065.8864666761,63.64647788776793,16.533466265197077,23.74611111803084,33.742545149935296,12.178076655748292,61.57844890544191,71.3871538447621,17.036871281505054,13.953156121934217,6713923.833333334,4031244.979766982,825814.1986086332,1856864.6549577182,2001285.32246039,705485.8443815965,112009.42733976954,1183790.0507390238,4712638.510872943,3325759.1353853857,713804.7712688637,673074.6042186941,60.04305499792283,17.00234994634792,27.656921660903333,35.25163735844866,13.701538249134568,59.151488168796774,70.5710639106359,17.670342338019086,14.282330432639473
Feb-Apr 1994,1298697.1666666667,589569.3643695177,145368.60913731882,563759.19315983,889398.1663986911,333477.967353367,62774.404177652796,493145.7948676713,409299.00026797556,256091.3970161507,82594.20495966604,70613.39829215879,45.39698549452837,19.77971126511217,43.40959598817148,37.494789167788625,15.842026114596678,55.44713419687989,62.56829282467903,24.386689152957715,17.252277246200677,5396372.75,3442632.520575038,668262.5955440471,1285477.6338809147,1119842.956085755,380947.9258225436,52096.477868733025,686798.5523944783,4276529.7939142445,3061684.5947524942,616166.117675314,598679.0814864363,63.79530621888635,16.255890181283057,23.821142338266284,34.01797758804418,12.030285445248087,61.32989886323711,71.59273388225783,16.75342926762171,13.99917948282255,6695069.916666667,4032201.884944556,813631.204681366,1849236.8270407447,2009241.122484446,714425.8931759107,114870.88204638581,1179944.3472621497,4685828.7941822205,3317775.991768645,698760.3226349801,669292.4797785952,60.22643430364807,16.79032665040007,27.620874017122144,35.557001356438306,13.851601197363175,58.72587088020262,70.80446464215451,17.397087140210058,14.28333191792171
Mar-May 1994,1297065.0,583787.910129774,145615.09923016187,567661.9906400645,894408.8228957229,333905.85055307526,59492.57421960682,501010.39812304085,402656.1771042774,249882.05957669875,86122.52501055504,66651.59251702362,45.00837738507893,19.96360000734597,43.7651151361007,37.33257566400422,15.122728123271841,56.015815731890704,62.058419511588916,25.631354142488128,16.55297901955758,5378711.0,3421414.871071011,667694.4242215836,1289601.7047074065,1144140.5801350581,394252.3729026376,52030.186551849445,697858.020680571,4234570.419864943,3027162.498168373,615664.2376697342,591743.6840268355,63.61031241632077,16.32860302829854,23.976036353457296,34.45838559944258,11.658574920662032,60.99407999305414,71.48688528044178,16.900727987220286,13.974113672803407,6675776.0,4005202.7812007843,813309.5234517455,1857263.6953474707,2038549.403030781,728158.2234557129,111522.76077145626,1198868.4188036118,4637226.596969221,3277044.557745072,701786.7626802892,658395.276543859,59.99606309739548,16.87885123104183,27.820940896570985,35.719429824616235,13.281563220596246,58.809878093766734,70.66819982199856,17.63801242534866,14.198039771750004
