Quarter,LF2M,LF63,LF65,LF67,LF69,LFL8,LF6B,LF6D,LFL9,LFM2,LF6V,LF6X,LF6Z,LF73,LF75,LF77,LF79,LF7B,LF7D,LF7F,LFM2.1,LF6F,LFP7,LF6H,LFP8,LF8B,LF6J,LF7H,LF7J,LF7L,LF7N,LF7P,LF7R,LF7T,LFL9.1,LF6L,LF6N,LF6P,LF6R,LF8E,LF6T,LF7V,LF7X,LF7Z,LF83,LF85,LF87,LF89
Nov-Jan 1995,8805208.133879973,1520420.3085216642,2937399.00280055,219956.17762522856,2073763.8750894805,141358.09769572684,1124587.6678798334,787723.0042674877,6421881.862598866,2383326.2712811055,100.0,17.26728415051898,33.35979068454114,2.4980236046766326,23.551559980850634,1.6053918947335328,12.771846511529187,8.946103173149881,72.93276621013949,27.067233789860506,2383326.2712811055,346633.14611059206,844783.4403842564,134007.55317270017,556304.2054032624,141358.09769572684,360239.8285145676,100.0,14.544091184135983,35.445564065811325,5.622711199363708,23.34150435492968,5.931126568740538,15.11500262701877,6421881.862598866,1173787.1624110723,2092615.5624162944,85948.62445252843,1517459.6696862183,1124587.6678798334,427483.17575292016,100.0,18.277931415201294,32.58570629590242,1.3383713106448512,23.62951705050704,17.511808718086957,6.656665209657444
Dec-Feb 1995,8767408.268945053,1499107.3031747993,2903272.723572402,226376.68801657553,2073903.6669512666,142167.98846416053,1128723.628907481,793856.2698583688,6372280.462675523,2395127.80626953,100.0,17.098636874077965,33.11437809798426,2.5820251672141477,23.65469478930529,1.6215509088099878,12.874085411369759,9.054628751238596,72.6814614673154,27.3185385326846,2395127.80626953,349706.2305785082,841423.4222222316,137483.38589565328,566659.6948744999,142167.98846416053,357687.0842344769,100.0,14.600733608582841,35.130627268394875,5.74012733415621,23.658849995027452,5.93571616896681,14.93394562487182,6372280.462675523,1149401.072596291,2061849.30135017,88893.30212092226,1507243.9720767667,1128723.628907481,436169.18562389194,100.0,18.03751544409728,32.356537246392065,1.3949998378382538,23.653132985987902,17.713024960510996,6.844789525173504
Jan-Mar 1995,8735760.123577824,1496385.3055912917,2895077.469402603,229855.02036221445,2080165.048086909,133421.10532241935,1133379.8088675477,767476.3659448404,6362040.102850103,2373720.0207277224,100.0,17.12942302012788,33.14053303259537,2.6311965657325636,23.81206693705499,1.5272981793801284,12.974026219064264,8.785456046044821,72.82755035453586,27.172449645464162,2373720.0207277224,366085.1941770507,837660.8067943221,144016.38211677872,556882.0572117558,133421.10532241935,335654.4751053957,100.0,15.422425179900461,35.28894728441969,6.067117472119856,23.46030923398581,5.62075999517061,14.14044083440357,6362040.102850103,1130300.1114142414,2057416.6626082805,85838.63824543575,1523282.9908751533,1133379.8088675477,431821.8908394446,100.0,17.76631541363411,32.33894520228798,1.3492313292238016,23.943310105711916,17.81472280188567,6.787475147256532
Feb-Apr 1995,8718676.821114909,1494221.5431236718,2893497.8844286697,233698.79813386075,2077261.8356149609,129549.93887798741,1126701.1689029923,763745.6520327675,6366742.982133455,2351933.838981455,100.0,17.13816871276801,33.187351060211235,2.680438820348158,23.825425328121398,1.485889906645503,12.922845886136589,8.75988028576913,73.02418833457003,26.975811665429976,2351933.838981455,363767.87260844815,836761.8415688308,144781.37298586842,545093.124067681,129549.93887798741,331979.6888726395,100.0,15.466756189280561,35.577609697184535,6.155843782092461,23.17638000836549,5.508230577357193,14.115179745719757,6366742.982133455,1130453.6705152239,2056736.0428598386,88917.42514799234,1532168.7115472797,1126701.1689029923,431765.963160128,100.0,17.75560398287691,32.304367376404436,1.396592031396824,24.065188681982256,17.696664873464734,6.78158305387484
Mar-May 1995,8709086.68495372,1473988.3945143782,2890870.889429912,224085.2541422034,2109356.0600415613,125117.12041403077,1112218.0376479076,773450.9287637252,6389154.29183501,2319932.393118709,100.0,16.924718375589475,33.19373194923337,2.573005209941761,24.220175276080287,1.436627340386791,12.770776981350233,8.880964867418074,73.3619324615663,26.638067538433706,2319932.393118709,353646.15297527227,824541.9678841389,139016.19837413676,539529.8409030675,125117.12041403077,338081.1125680628,100.0,15.243812881109958,35.54163777918109,5.992252135729519,23.25627429934594,5.393136489026499,14.572886415607003,6389154.29183501,1120342.2415391062,2066328.921545773,85069.05576806667,1569826.219138494,1112218.0376479076,435369.81619566237,100.0,17.53506317684083,32.3411961452618,1.3314603448656777,24.570172317557677,17.40790700686727,6.814201008606744
Apr-Jun 1995,8716820.528804649,1479435.9079422983,2902793.618310261,223251.4959860245,2119885.141011402,127695.75304754401,1099596.604563733,764162.0079433861,6381417.517813132,2335403.0109915184,100.0,16.972196491295385,33.30105981553719,2.561157422575033,24.31947674047277,1.464934979739168,12.614652337169577,8.766522213210886,73.20808655777414,26.79191344222589,2335403.0109915184,360744.4927986539,843747.1661287234,141744.4882582858,531641.4330742491,127695.75304754401,329829.6776840622,100.0,15.446776898925735,36.128546643026816,6.069380213657718,22.764440679920828,5.467825143949331,14.123030420519573,6381417.517813132,1118691.4151436447,2059046.4521815383,81507.00772773876,1588243.7079371533,1099596.604563733,434332.330259324,100.0,17.530453257774184,32.266286392230285,1.2772555235607064,24.888572225586543,17.23122803819546,6.806204562652825
May-Jul 1995,8690961.469753506,1461095.0808658674,2891945.3996756948,228119.28002784148,2116721.631142945,128960.51211418654,1111972.6190071008,752146.9469198697,6374437.717422951,2316523.7523305556,100.0,16.811662161324794,33.27532183568312,2.6247876120697082,24.35543683526398,1.4838463219863307,12.794586915118824,8.654358318553243,73.34559863839488,26.654401361605128,2316523.7523305556,358799.8034854875,833578.8620825111,141356.45160601096,529408.4565669871,128960.51211418654,324419.6664753724,100.0,15.488716794918004,35.984041227459166,6.102093771488346,22.853573421570655,5.566984235945989,14.004590548617843,6374437.717422951,1102295.2773803798,2058366.5375931838,86762.82842183052,1587313.174575958,1111972.6190071008,427727.2804444974,100.0,17.29243152486262,32.29095065070833,1.361105595003082,24.901226507201248,17.44424635239275,6.710039369831955
Jun-Aug 1995,8657348.997860515,1449102.6905712613,2878971.9404373504,233959.22949158924,2120695.372974209,133194.59389385598,1107323.020262823,734102.1502294258,6362873.673288794,2294475.324571722,100.0,16.738411388167176,33.25465960941194,2.7024350011696123,24.495897918615675,1.5385147800645702,12.790555406007947,8.479525896563068,73.49679070187936,26.503209298120638,2294475.324571722,355484.51184292935,812963.2123908452,145509.44342389412,535293.7125495403,133194.59389385598,312029.8504706571,100.0,15.493063186865289,35.43133385156756,6.341730585010947,23.32967832850659,5.805013131649937,13.599180916399673,6362873.673288794,1093618.1787283323,2066008.728046506,88449.78606769512,1585401.6604246688,1107323.020262823,422072.2997587688,100.0,17.18748846640344,32.46974298294756,1.3900918140023022,24.916440932658315,17.40287607643919,6.633359727549191
Jul-Sep 1995,8646553.562002089,1422901.5314314961,2877660.3368437155,230738.775282977,2133428.8043641946,128113.99691408675,1102887.8710337477,750822.2461318704,6369682.974259509,2276870.587742579,100.0,16.45628540005281,33.281009782785645,2.668563533764197,24.673747627490602,1.481677017269552,12.7552308919992,8.683485746637984,73.66730488146798,26.332695118532,2276870.587742579,340942.1718490763,785351.5805128936,142940.24590066346,553274.4214500604,128113.99691408675,326248.171115799,100.0,14.974156795933933,34.492587533994914,6.2779257929798575,24.29977463052077,5.626757954702483,14.328797291868057,6369682.974259509,1081959.35958242,2092308.7563308217,87798.52938231351,1580154.3829141338,1102887.8710337477,424574.0750160714,100.0,16.98607864715905,32.8479261022258,1.3783814632080698,24.807425884454332,17.314643059797824,6.665544843154916
Aug-Oct 1995,8647238.55968243,1417750.4453245294,2874150.3024338065,230758.63769966323,2135613.539315465,130050.70224114529,1106698.9583186968,752215.9743491256,6374030.68002744,2273207.8796549896,100.0,16.395412657339666,33.23778201094708,2.668581838086098,24.697058194655558,1.5039564520343405,12.79829335897656,8.698915487960711,73.71174781445518,26.288252185544803,2273207.8796549896,342169.089437111,791053.6868784922,146843.86532363604,539942.2805736746,130050.70224114529,323148.25520093064,100.0,15.052256878902023,34.79900338012872,6.459764047004926,23.752437487398776,5.7210210911675805,14.215517115397983,6374030.68002744,1075581.3558874181,2083096.6155553136,83914.77237602713,1595671.2587417897,1106698.9583186968,429067.71914819494,100.0,16.87443016642003,32.680994493524246,1.316510330566308,25.033943807984937,17.362623650156834,6.731497551347647
