quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa
2007-07-01,4382993.321747918,3181192.8377776705,480810.62457412155,720989.8593961257,72.5803715463802,13.129715182337321,16.449713847809335
2007-10-01,4403297.4220263865,3223470.439527505,479898.2741904936,699928.708308388,73.20583032622112,12.958425457688213,15.8955582879133
2008-01-01,4380974.082957784,3189590.877129766,479325.531030201,712057.6747978162,72.80551805904173,13.064498552328482,16.253409888174357
2008-04-01,4383176.012551584,3165272.4359294907,502413.30801725807,715490.2686048354,72.21413027597964,13.698373936383593,16.323557770802964
2008-07-01,4406647.87936965,3161484.8298372487,538595.3510271804,706567.6985052212,71.7435319631094,14.556315666147302,16.03413110934319
2008-10-01,4327048.567259612,3081479.9122907906,582594.6211411267,662974.0338276944,71.21435926572788,15.90018477586605,15.321622198651824
2009-01-01,4335415.297695504,3002470.13265837,642072.1411502328,690873.0238869012,69.2544987386638,17.61736023106291,15.935567332018591
2009-04-01,4323920.8645435395,2932453.906296715,665641.3682999099,725825.5899469148,67.81932413109237,18.499826088527723,16.786282928967005
2009-07-01,4201598.681717332,2825806.27707919,656701.829596207,719090.5750419358,67.25550180161873,18.857151497721343,17.114689657795196
2009-10-01,4127331.6798514947,2798083.1483350154,631831.7820453714,697416.7494711077,67.79399780236935,18.421208539282915,16.89752129385932
2010-01-01,4178255.1402664925,2784979.008265911,660285.605560849,732990.5264397324,66.65411552843283,19.165018643588297,17.54298150382893
2010-04-01,4143840.4950127215,2817383.4699658696,625801.5244545073,700655.5005923449,67.98966980888149,18.175077013538573,16.90836076908877
2010-07-01,4242475.90267032,2867053.1986797336,641873.0441349576,733549.6598556284,67.57971676103428,18.292577264892245,17.290602862208697
2010-10-01,4226407.120642697,2807898.0405791076,677271.27302043,741237.8070431601,66.43699862383627,19.432951804597796,17.538249058468413
2011-01-01,4201204.853096919,2852469.002387723,650175.0430167455,698560.8076924505,67.89645118792588,18.562406987081282,16.62763021844808
2011-04-01,4222354.522524606,2864362.351025925,677467.9105422527,680524.2609564285,67.83803528921304,19.127622175837914,16.117174844653576
2011-07-01,4222361.904526912,2798590.93978804,737519.9207884455,686251.0439504266,66.28022426944483,20.85680992106138,16.2527765138909
2011-10-01,4180042.0354462434,2773565.5019139056,727590.8678323231,678885.6657000144,66.35257440940569,20.781444499865632,16.24112054240477
2012-01-01,4146614.848796131,2765567.313753954,705285.0730335717,675762.4620086052,66.69457894207052,20.320226688936017,16.29672604401145
2012-04-01,4205015.145234055,2811534.6478980687,711311.9221434782,682168.5751925082,66.86146305762179,20.19139658798962,16.222737650913693
2012-07-01,4153000.093517597,2836224.895152703,657318.2828617292,659456.915503165,68.2933982972877,18.815232827187163,15.879048896062125
2012-10-01,4186708.7993200216,2884937.9416645253,654801.0676570999,646969.7899983961,68.9070599353143,18.498569129891568,15.452944568379646
2013-01-01,4140452.469079174,2823082.012417189,671416.3950851245,645954.061576861,68.18293492075841,19.21352700129053,15.60105003984068
2013-04-01,4064858.856794752,2755603.8208982814,680701.658323555,628553.3775729154,67.79088568578608,19.809113666975332,15.46310461732849
2013-07-01,4148665.1666447464,2848473.1202866696,672293.7328024716,627898.313555605,68.65999076494252,19.0950937922117,15.134947949135674
2013-10-01,4141216.9066056525,2882799.9927708292,638435.1568731288,619981.7569616947,69.61238828549351,18.131000337699202,14.971004198615201
2014-01-01,4087938.968089821,2893710.977259808,575296.8503090146,618931.140520998,70.78655038267262,16.583901763986464,15.140420279077874
2014-04-01,4104348.1601933823,2962715.753056434,498333.68689350924,643298.7202434391,72.1848059039134,14.398340605637708,15.673590424968456
2014-07-01,4085103.0916214385,2949575.7470683735,496285.0109937226,639242.3335593422,72.20321448234597,14.402352440753477,15.648132231238682
2014-10-01,4106237.37620586,2959439.883014922,501919.009863567,644878.483327371,72.07181689406927,14.5006347332613,15.704851528170419
2015-01-01,4100067.976577484,2982735.39663418,476085.6284298367,641246.9515134671,72.74843767648964,13.764390379841213,15.639910244823445
2015-04-01,4052762.6446818835,2983326.112714744,466593.5708834663,602842.961083673,73.61215976044204,13.524766188087506,14.874864726527612
2015-07-01,4039437.72877812,3003047.3449358125,431277.1277142159,605113.2561280918,74.34320186547838,12.557844523683853,14.98013577031007
2015-10-01,4002143.9654592676,2989063.092548147,407817.0800797514,605263.792831369,74.68654596999575,12.005636329651729,15.123488761402207
2016-01-01,4040870.3423203225,2998610.5607603467,414550.0880033921,627709.693556584,74.20704716396577,12.145636571590732,15.534022138313514
2016-04-01,4023942.021563746,3005588.3197446694,410260.2504274503,608093.4513916264,74.69263482520721,12.010492912652092,15.11188402151269
