quarter,total,employed,unemployed,economically_inactive
Apr-Jun 2009,4323920.8645435395,2932453.906296715,665641.3682999099,725825.5899469148
Jul-Sep 2009,4201598.681717332,2825806.27707919,656701.829596207,719090.5750419358
Oct-Dec 2009,4127331.6798514947,2798083.1483350154,631831.7820453714,697416.7494711077
Jan-Mar 2010,4178255.1402664925,2784979.008265911,660285.605560849,732990.5264397324
Apr-Jun 2010,4143840.4950127215,2817383.4699658696,625801.5244545073,700655.5005923449
Jul-Sep 2010,4242475.90267032,2867053.1986797336,641873.0441349576,733549.6598556284
Oct-Dec 2010,4226407.120642697,2807898.0405791076,677271.27302043,741237.8070431601
Jan-Mar 2011,4201204.853096919,2852469.002387723,650175.0430167455,698560.8076924505
Apr-Jun 2011,4222354.522524606,2864362.351025925,677467.9105422527,680524.2609564285
Jul-Sep 2011,4222361.904526912,2798590.93978804,737519.9207884455,686251.0439504266
Oct-Dec 2011,4180042.0354462434,2773565.5019139056,727590.8678323231,678885.6657000144
Jan-Mar 2012,4146614.848796131,2765567.313753954,705285.0730335717,675762.4620086052
Apr-Jun 2012,4205015.145234055,2811534.6478980687,711311.9221434782,682168.5751925082
Jul-Sep 2012,4153000.093517597,2836224.895152703,657318.2828617292,659456.915503165
Oct-Dec 2012,4186708.7993200216,2884937.9416645253,654801.0676570999,646969.7899983961
Jan-Mar 2013,4140452.469079174,2823082.012417189,671416.3950851245,645954.061576861
Apr-Jun 2013,4064858.856794752,2755603.8208982814,680701.658323555,628553.3775729154
Jul-Sep 2013,4148665.1666447464,2848473.1202866696,672293.7328024716,627898.313555605
Oct-Dec 2013,4141216.9066056525,2882799.9927708292,638435.1568731288,619981.7569616947
Jan-Mar 2014,4087938.968089821,2893710.977259808,575296.8503090146,618931.140520998
Apr-Jun 2014,4104348.1601933823,2962715.753056434,498333.68689350924,643298.7202434391
Jul-Sep 2014,4085103.0916214385,2949575.7470683735,496285.0109937226,639242.3335593422
Oct-Dec 2014,4106237.37620586,2959439.883014922,501919.009863567,644878.483327371
Jan-Mar 2015,4100067.976577484,2982735.39663418,476085.6284298367,641246.9515134671
Apr-Jun 2015,4052762.6446818835,2983326.112714744,466593.5708834663,602842.961083673
Jul-Sep 2015,4039437.72877812,3003047.3449358125,431277.1277142159,605113.2561280918
Oct-Dec 2015,4002143.9654592676,2989063.092548147,407817.0800797514,605263.792831369
Jan-Mar 2016,4040870.3423203225,2998610.5607603467,414550.0880033921,627709.693556584
Apr-Jun 2016,4023942.021563746,3005588.3197446694,410260.2504274503,608093.4513916264
Jul-Sep 2016,4009462.35099186,2984310.072409313,399674.0379362918,625478.2406462553
Oct-Dec 2016,3998338.8113857796,3003278.552995328,363879.16304039035,631181.0953500615
Jan-Mar 2017,3972113.349752885,3009661.1048760707,361372.86080276,601079.3840740542
Apr-Jun 2017,3972873.4150542114,3012842.292326236,357448.48424461595,602582.6384833592
Jul-Sep 2017,3943956.484509915,2958874.8451346364,344676.18014767417,640405.4592276048
Oct-Dec 2017,3951490.3788309516,2950539.1497466536,360758.1315770679,640193.0975072302
Jan-Mar 2018,3991361.3988872394,2988618.250408478,349444.09381191444,653299.0546668469
Apr-Jun 2018,3918099.2820655107,2943862.952713658,326578.91124765715,647657.4181041955
Jul-Sep 2018,3862402.2458398473,2919843.1993400054,307363.8613100376,635195.1851898038
Oct-Dec 2018,3901169.5669249063,2949739.090147094,343825.24428790197,607605.2324899104
Jan-Mar 2019,3883367.1792606823,2950329.8223252026,330057.7171988047,602979.6397366748
Apr-Jun 2019,3899704.013227326,2935378.884630836,355668.1443179506,608656.9842785392
Jul-Sep 2019,3846577.67092413,2849510.4828891167,352967.7062584503,644099.4817765632
Oct-Dec 2019,3891034.852298685,2929504.1999005806,339397.8739153972,622132.7784827072
Jan-Mar 2020,3851649.22652344,2862601.8085277868,356280.09346911544,632767.3245265378
Apr-Jun 2020,3920242.1237057606,2827243.04680648,363877.2024724238,729121.8744268571
Jul-Sep 2020,3633944.556464196,2647124.6844869256,406804.8106851438,580015.061292127
Oct-Dec 2020,3686025.4473718917,2687311.022011457,405141.90318132925,593572.5221791051
Jan-Mar 2021,3640296.971863999,2684594.1503852336,369831.91796703346,585870.9035117318
Apr-Jun 2021,3584583.9198325295,2723441.782207856,320490.5321582058,540651.605466468
Jul-Sep 2021,3585777.65941347,2686769.435527865,302837.88780270366,596170.3360829011
Oct-Dec 2021,3602632.717581495,2689906.5902614435,294305.9126333415,618420.2146867099
Jan-Mar 2022,3633385.502015832,2752445.776479964,278632.52658040717,602307.1989554605
Apr-Jun 2022,3669306.5591015276,2782289.5564715452,268826.44819697307,618190.5544330091
Jul-Sep 2022,3638378.2280821083,2751883.9275205396,252957.02821685263,633537.272344716
Oct-Dec 2022,3729826.040227146,2728780.9270034684,320620.8842369558,680424.2289867217
