quarter_start,age_16_to_24_unemployed_sa,age_16_to_24_unemployed_over_12_months_sa,age_16_to_24_unemployed_6_to_12_months_sa,age_16_to_24_unemployed_over_12_months_rate_sa,age_16_to_24_unemployed_6_to_12_months_rate_sa
2005-07-01,602772.0,74285.0,102179.0,12.3,17.0
2005-10-01,655962.0,85233.0,110846.0,13.0,16.9
2006-01-01,650950.0,83327.0,112837.0,12.8,17.3
2006-04-01,687714.0,92729.0,118143.0,13.5,17.2
2006-07-01,692541.0,101351.0,117246.0,14.6,16.9
2006-10-01,686285.0,88309.0,106156.0,12.9,15.5
2007-01-01,702012.0,101846.0,104486.0,14.5,14.9
2007-04-01,707409.0,105406.0,112627.0,14.9,15.9
2007-07-01,699366.0,109910.0,107318.0,15.7,15.3
2007-10-01,672789.0,111536.0,103373.0,16.6,15.4
2008-01-01,677003.0,107811.0,104210.0,15.9,15.4
2008-04-01,704997.0,114774.0,105663.0,16.3,15.0
2008-07-01,753421.0,119200.0,110046.0,15.8,14.6
2008-10-01,797715.0,118495.0,134865.0,14.9,16.9
2009-01-01,863640.0,137497.0,154131.0,15.9,17.8
2009-04-01,916110.0,162113.0,183460.0,17.7,20.0
2009-07-01,933343.0,193843.0,195317.0,20.8,20.9
2009-10-01,900496.0,184346.0,177666.0,20.5,19.7
2010-01-01,937580.0,212218.0,204379.0,22.6,21.8
2010-04-01,927298.0,206680.0,185765.0,22.3,20.0
2010-07-01,906846.0,217828.0,157095.0,24.0,17.3
2010-10-01,959563.0,234707.0,175284.0,24.5,18.3
2011-01-01,942973.0,224540.0,175192.0,23.8,18.6
2011-04-01,967094.0,229674.0,169195.0,23.7,17.5
2011-07-01,1040265.0,261402.0,206404.0,25.1,19.8
2011-10-01,1041562.0,246389.0,213560.0,23.7,20.5
2012-01-01,1026081.0,263186.0,216948.0,25.6,21.1
2012-04-01,1019068.0,267364.0,216171.0,26.2,21.2
2012-07-01,985780.0,272849.0,176195.0,27.7,17.9
2012-10-01,991116.0,280186.0,168109.0,28.3,17.0
2013-01-01,965793.0,274008.0,160292.0,28.4,16.6
2013-04-01,983420.0,277478.0,166876.0,28.2,17.0
2013-07-01,986563.0,285342.0,167935.0,28.9,17.0
2013-10-01,931496.0,259036.0,167399.0,27.8,18.0
2014-01-01,866543.0,247484.0,144480.0,28.6,16.7
2014-04-01,761745.0,205176.0,124165.0,26.9,16.3
2014-07-01,748424.0,208609.0,119248.0,27.9,15.9
2014-10-01,750907.0,201972.0,110972.0,26.9,14.8
2015-01-01,730536.0,172406.0,107080.0,23.6,14.7
2015-04-01,723580.0,160391.0,111059.0,22.2,15.3
2015-07-01,656878.0,133237.0,97001.0,20.3,14.8
2015-10-01,625042.0,125677.0,90749.0,20.1,14.5
2016-01-01,626670.0,103400.0,100588.0,16.5,16.1
2016-04-01,618215.0,100711.0,88721.0,16.3,14.4
2016-07-01,596800.0,102526.0,93138.0,17.2,15.6
2016-10-01,562105.0,93471.0,95246.0,16.6,16.9
2017-01-01,556580.0,86088.0,91477.0,15.5,16.4
2017-04-01,545451.0,78001.0,97089.0,14.3,17.8
2017-07-01,522231.0,92057.0,89188.0,17.6,17.1
2017-10-01,540660.0,78458.0,83492.0,14.5,15.4
2018-01-01,523238.0,72185.0,79524.0,13.8,15.2
2018-04-01,489658.0,79131.0,72208.0,16.2,14.7
2018-07-01,477171.0,66508.0,80693.0,13.9,16.9
2018-10-01,510072.0,84644.0,80051.0,16.6,15.7
2019-01-01,466605.0,70491.0,64026.0,15.1,13.7
2019-04-01,502243.0,78435.0,75405.0,15.6,15.0
2019-07-01,500355.0,70437.0,66087.0,14.1,13.2
2019-10-01,480537.0,59193.0,85431.0,12.3,17.8
2020-01-01,531333.0,69520.0,79753.0,13.1,15.0
2020-04-01,550253.0,62345.0,69217.0,11.3,12.6
2020-07-01,608836.0,103793.0,84587.0,17.0,13.9
2020-10-01,598065.0,90456.0,111513.0,15.1,18.6
2021-01-01,544609.0,109970.0,103365.0,20.2,19.0
2021-04-01,526053.0,98648.0,102188.0,18.8,19.4
2021-07-01,476778.0,84601.0,76573.0,17.7,16.1
2021-10-01,460784.0,93872.0,52559.0,20.4,11.4
2022-01-01,437683.0,77520.0,38161.0,17.7,8.7
2022-04-01,428959.0,61056.0,39020.0,14.2,9.1
2022-07-01,399497.0,61175.0,49646.0,15.3,12.4
2022-10-01,471011.0,58830.0,52396.0,12.5,11.1
2023-01-01,482298.0,,65971.0,,13.7
