ONS_CODE,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024
E14000627,60.8,63.2,57.8,73.6,69.5,82.0,100.0,100.0,100.0,,,,57.5
E14000628,82.1,100.0,85.7,84.6,82.9,84.1,100.0,100.0,,,,,
E14000629,55.1,55.2,50.7,65.1,52.0,49.5,50.9,,,,74.8,75.1,80.1
E14000630,73.9,77.6,74.4,71.4,85.4,87.6,89.9,100.0,100.0,100.0,100.0,100.0,
E14000631,76.8,76.6,100.0,100.0,92.1,90.4,82.6,56.5,76.7,73.1,,76.2,69.6
E14000632,67.7,55.6,46.8,64.5,74.7,75.6,71.2,,,,,,
E14000633,70.2,68.5,,,,,,,,,,,
E14000634,79.5,75.4,78.0,100.0,100.0,87.8,73.0,59.8,59.3,,100.0,100.0,100.0
E14000635,100.0,74.4,67.7,75.7,56.3,100.0,78.9,79.3,75.3,67.3,100.0,100.0,100.0
E14000636,66.8,73.0,87.8,70.3,80.7,75.3,55.3,43.4,,,,,
E14000637,88.7,90.1,100.0,100.0,100.0,81.4,59.4,58.3,36.6,35.4,,68.0,100.0
E14000638,77.7,79.2,90.4,100.0,100.0,100.0,100.0,70.3,75.7,,,,
E14000639,84.9,86.3,90.8,53.5,57.1,68.5,72.4,92.5,74.7,71.7,66.6,58.3,72.6
E14000640,100.0,90.3,88.8,82.2,73.2,,,,,,,,
E14000641,49.0,47.6,48.6,70.0,77.4,65.6,58.0,57.8,53.0,66.0,77.1,75.6,77.0
E14000642,72.3,68.3,100.0,57.1,51.6,,,76.4,78.0,82.4,,,
E14000643,88.2,89.7,87.7,91.9,81.3,79.7,82.3,64.1,69.1,74.8,83.4,87.8,90.6
E14000644,,49.9,44.5,57.8,59.1,88.5,84.3,81.2,84.5,,,68.6,
E14000645,76.7,65.0,70.2,60.0,46.4,70.7,69.2,74.2,87.1,87.7,94.5,74.7,78.3
E14000646,69.7,63.1,76.7,62.8,82.5,100.0,100.0,100.0,100.0,100.0,,,86.2
E14000647,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,80.6,83.5,72.6
E14000648,60.8,64.3,50.8,70.5,71.4,58.5,65.5,54.9,,100.0,92.5,90.5,92.6
E14000649,67.3,74.2,59.8,61.1,60.1,57.0,63.1,68.3,54.9,25.8,29.9,22.4,25.9
E14000650,74.2,68.6,74.3,80.0,87.4,84.6,83.7,84.2,85.3,87.1,89.2,90.6,76.4
E14000651,30.8,35.1,43.1,46.2,47.7,56.4,49.9,69.6,71.3,70.3,62.4,57.3,62.1
E14000652,85.8,75.0,79.9,62.1,69.8,66.9,54.5,66.0,51.1,77.9,77.3,85.3,86.8
E14000653,81.4,,100.0,100.0,100.0,100.0,81.6,,,,100.0,100.0,100.0
E14000654,62.1,50.1,41.8,58.2,57.0,57.1,82.7,67.2,67.3,67.3,72.3,75.6,88.5
E14000655,64.1,58.6,52.1,,,,,57.0,,,75.0,,
E14000656,90.8,85.8,94.9,100.0,100.0,100.0,,,,80.0,100.0,100.0,100.0
E14000657,52.1,59.0,51.8,70.1,72.5,66.6,100.0,82.3,88.3,86.8,88.5,100.0,86.8
E14000658,84.3,92.0,91.5,89.6,82.1,73.5,76.8,82.8,84.4,75.5,78.3,72.5,66.5
E14000659,88.2,88.9,84.4,83.7,83.2,83.5,92.9,100.0,100.0,100.0,100.0,88.1,86.8
E14000660,64.7,100.0,100.0,85.1,86.1,85.8,87.5,100.0,100.0,,,,56.9
E14000661,77.5,77.9,77.2,78.6,93.2,80.5,78.2,73.7,59.9,56.8,74.5,77.3,87.5
E14000662,81.0,80.0,72.8,77.4,67.2,65.4,71.9,77.4,67.3,69.9,70.4,71.0,81.3
E14000663,91.5,90.2,87.8,83.0,84.2,78.2,51.3,58.4,68.7,75.1,88.8,87.2,94.3
E14000664,,,,41.0,37.8,44.2,51.7,,,,,100.0,100.0
E14000665,100.0,100.0,79.5,76.1,,,,,,,,100.0,100.0
E14000666,74.0,72.3,73.8,68.2,61.1,61.6,78.1,82.6,87.2,100.0,79.9,71.2,74.7
