PCON22CD,Apr 2021-Mar 2022,Apr 2022-Mar 2023,Jan 2021-Dec 2021,Jan 2022-Dec 2022,Jul 2021-Jun 2022,Jul 2022-Jun 2023,Oct 2020-Sep 2021,Oct 2021-Sep 2022,Oct 2022-Sep 2023
E14000711,,55.2,,66.1,71.7,36.8,,66.2,45.6
E14000712,61.0,67.2,64.6,75.7,57.7,61.5,69.8,71.2,65.9
E14000713,,0.0,,0.0,,0.0,,0.0,63.0
E14000714,26.9,,0.0,,20.1,,0.0,,0.0
E14000715,,0.0,,0.0,56.4,,76.9,,0.0
E14000716,11.6,35.5,25.8,27.6,22.1,43.2,,35.0,22.9
E14000717,,0.0,,0.0,52.2,74.4,,59.5,78.8
E14000718,,0.0,56.7,,0.0,,45.6,,0.0
E14000719,,0.0,,0.0,,0.0,,0.0,0.0
E14000720,,0.0,,0.0,,0.0,,0.0,0.0
E14000721,,0.0,,0.0,,0.0,,0.0,0.0
E14000722,,0.0,,0.0,,0.0,,0.0,0.0
E14000723,23.1,,36.5,23.2,27.0,43.4,26.4,34.3,44.0
E14000724,82.0,55.0,47.5,65.5,78.9,64.8,,59.8,64.7
E14000725,54.1,20.0,59.6,33.3,41.6,,56.1,37.1,0.0
E14000726,,0.0,,0.0,37.6,,0.0,,0.0
E14000727,,0.0,,0.0,,0.0,,0.0,43.2
E14000728,26.7,25.3,,33.6,18.9,,0.0,34.5,0.0
E14000729,47.8,52.7,,0.0,,48.7,,0.0,49.6
E14000730,55.6,68.1,26.8,74.2,50.5,78.5,30.0,44.7,42.8
E14000731,63.2,,53.5,,65.4,,0.0,79.1,0.0
E14000732,39.2,55.7,,58.2,37.6,59.0,,65.4,0.0
E14000733,41.9,49.5,44.8,49.1,44.2,50.9,36.9,44.5,41.7
E14000734,,0.0,,0.0,,0.0,,0.0,0.0
E14000735,,65.7,,69.1,74.6,,33.5,67.4,0.0
E14000736,47.5,,45.5,,55.6,50.3,44.1,,41.3
E14000737,60.5,,50.1,,54.8,,0.0,38.4,0.0
E14000738,46.9,33.3,75.1,,38.4,40.2,,55.9,0.0
E14000739,43.9,,29.3,,0.0,,0.0,,0.0
E14000740,50.6,45.9,35.9,53.9,56.7,36.8,38.1,63.8,24.5
E14000741,,0.0,,0.0,,0.0,,0.0,0.0
E14000742,44.0,,56.0,,43.6,,54.5,,0.0
E14000743,48.6,64.0,41.0,59.1,58.1,60.8,48.8,62.5,44.2
E14000744,80.9,63.7,40.3,70.9,69.9,68.1,25.4,78.0,56.1
E14000745,26.1,,33.6,29.0,39.2,,38.5,24.4,0.0
E14000746,,0.0,,56.2,45.3,,0.0,54.1,43.5
E14000747,37.4,,68.5,,0.0,44.9,64.5,,50.3
E14000748,57.3,27.5,44.0,38.8,46.0,44.8,22.5,36.2,0.0
E14000749,72.7,,72.2,,55.8,,65.6,58.3,0.0
E14000750,,42.9,,68.3,,53.9,,43.8,53.3
E14000751,,0.0,65.1,,0.0,,0.0,,0.0
E14000752,,33.7,29.4,40.9,,51.4,44.0,43.2,42.6
E14000753,,59.1,,0.0,,0.0,,0.0,0.0
E14000754,,0.0,19.1,42.6,,0.0,30.7,,37.3
E14000755,44.2,,40.9,22.3,31.2,,44.1,15.6,58.0
E14000756,,0.0,,0.0,,77.1,,0.0,68.4
E14000757,24.2,53.8,,55.5,26.3,51.8,,39.9,67.1
E14000758,,0.0,,0.0,,0.0,,0.0,0.0
E14000759,50.3,,37.5,,0.0,,44.4,,0.0
E14000760,34.5,,0.0,37.3,25.2,,0.0,31.9,0.0
E14000761,100.0,,100.0,,0.0,,0.0,,0.0
E14000762,41.4,57.4,38.4,44.4,36.9,59.3,42.7,41.4,60.8
E14000763,,0.0,,0.0,,0.0,,0.0,0.0
E14000764,,0.0,,0.0,,0.0,,0.0,0.0
E14000765,51.1,35.1,48.6,40.9,55.3,30.8,31.2,43.5,36.7
E14000766,,0.0,,0.0,,0.0,57.8,,0.0
E14000767,22.9,60.4,,52.0,46.8,54.5,,48.3,47.9
E14000768,,28.3,,0.0,,24.6,13.6,,0.0
E14000769,51.8,75.8,65.1,,53.1,66.0,35.2,,55.7
E14000770,56.9,24.2,50.9,30.6,36.5,61.8,32.5,40.2,88.8
E14000771,24.5,,31.3,,23.1,,20.8,22.0,0.0
E14000772,46.9,29.3,30.6,54.8,38.7,29.6,36.6,58.3,21.7
E14000773,,51.1,,40.8,,48.6,,0.0,0.0
E14000774,48.8,73.4,50.1,74.8,66.0,52.3,50.0,71.6,0.0
E14000775,40.3,52.4,30.2,37.5,37.4,46.4,42.6,23.6,70.2
E14000776,,0.0,,0.0,,0.0,,0.0,0.0
E14000777,,0.0,,0.0,,0.0,,0.0,0.0
E14000778,42.3,58.6,27.2,53.8,69.4,31.1,,52.8,29.1
E14000779,,35.1,,29.2,,45.9,,22.1,0.0
E14000780,,0.0,,0.0,56.0,,0.0,,0.0
E14000781,,0.0,,0.0,,0.0,,0.0,0.0
E14000782,,19.6,,22.8,,0.0,,25.1,0.0
E14000783,30.1,19.8,21.7,29.2,29.6,,20.8,24.6,30.0
E14000784,37.2,49.6,,64.7,46.5,59.5,,47.3,45.0
E14000785,61.3,,53.1,49.1,57.8,,39.2,65.6,0.0
E14000786,68.0,61.1,68.2,62.3,42.5,48.7,66.3,64.7,0.0
E14000787,,62.4,,66.6,,62.5,,31.1,0.0
E14000788,46.7,,50.4,,0.0,,84.6,,0.0
E14000789,,52.4,,40.2,,48.6,,0.0,0.0
E14000790,,0.0,,0.0,,0.0,,0.0,0.0
E14000791,,0.0,,0.0,,0.0,,0.0,84.8
E14000792,41.0,,47.8,,0.0,,72.6,,62.4
E14000793,31.6,,0.0,55.2,,0.0,,0.0,0.0
E14000794,,0.0,,0.0,,56.6,,0.0,61.4
E14000795,,0.0,,0.0,,0.0,,0.0,0.0
E14000796,54.7,,52.1,,46.0,,48.3,,44.4
E14000797,51.1,,0.0,,0.0,,0.0,,0.0
E14000798,,46.0,42.2,52.1,31.4,,47.7,54.5,0.0
E14000799,46.3,88.4,39.2,87.8,71.1,93.5,67.5,64.9,100.0
E14000800,40.1,43.2,35.5,18.6,46.7,43.8,,46.1,42.7
E14000801,51.2,,30.7,,50.4,,30.6,51.3,0.0
E14000802,72.4,,83.2,,0.0,,70.0,,0.0
E14000803,39.6,36.2,39.1,23.5,37.4,44.5,35.0,30.0,57.5
E14000804,,0.0,,0.0,,0.0,,57.7,0.0
E14000805,65.3,68.1,53.8,79.5,61.7,76.0,53.8,62.3,51.2
E14000806,85.3,,85.3,,85.0,,77.0,,0.0
E14000807,,0.0,,0.0,,0.0,,0.0,0.0
E14000808,,0.0,,0.0,,0.0,,51.9,0.0
E14000809,,55.1,,58.2,28.8,68.6,,46.9,62.4
E14000810,40.9,60.8,,52.5,39.5,59.2,40.3,43.0,60.7
E14000811,78.4,40.2,78.7,,55.1,54.0,83.1,48.0,83.3
E14000812,42.7,46.0,37.4,49.2,40.5,36.1,45.1,39.9,45.9
E14000813,29.8,81.1,21.5,90.4,50.3,66.7,28.4,62.9,69.3
E14000814,36.6,,15.9,46.5,,0.0,28.6,44.7,0.0
E14000815,32.4,62.5,35.4,63.7,,40.3,39.1,37.8,59.1
E14000816,57.4,,0.0,44.2,40.8,34.2,29.1,43.8,45.9
E14000817,,0.0,,0.0,,0.0,,0.0,0.0
E14000818,23.4,,24.7,,0.0,,30.6,,0.0
E14000819,40.8,29.4,41.5,31.2,34.9,33.2,48.1,33.5,52.3
E14000820,36.6,55.5,31.1,52.4,58.1,45.5,33.1,61.1,45.0
E14000821,43.7,58.9,51.0,62.0,44.1,59.6,48.3,57.3,66.4
E14000822,27.9,55.0,45.1,57.2,34.9,51.2,35.6,41.8,50.3
E14000823,,0.0,,0.0,,0.0,25.8,,0.0
E14000824,37.3,,44.7,,40.7,,25.7,52.4,0.0
E14000825,73.1,31.8,88.7,46.0,70.9,53.2,67.1,55.7,0.0
E14000826,43.9,55.1,39.9,53.3,35.5,74.5,69.9,34.0,0.0
E14000827,60.0,43.7,70.3,40.8,61.5,30.7,63.9,53.6,31.6
E14000828,35.7,81.5,41.9,77.6,38.2,78.4,50.3,50.8,0.0
E14000829,,0.0,,42.0,,0.0,34.7,39.3,0.0
E14000830,47.7,59.5,44.9,55.6,40.1,73.2,48.6,51.0,44.0
E14000831,,24.2,,0.0,,36.3,,0.0,44.8
E14000832,83.6,31.3,79.9,29.1,51.3,27.6,75.5,43.8,0.0
E14000833,55.9,78.0,44.4,54.2,48.9,88.6,,0.0,100.0
E14000834,36.8,,38.7,,0.0,,51.3,,0.0
E14000835,35.8,74.2,,70.9,63.6,53.1,,62.2,52.0
E14000836,39.3,,36.5,,33.6,,20.7,29.1,66.5
E14000837,57.5,,50.6,,82.0,,0.0,100.0,0.0
E14000838,34.7,80.4,57.7,67.5,42.7,64.9,67.6,59.4,0.0
E14000839,,32.5,,29.7,42.2,30.8,,39.3,0.0
E14000840,,0.0,43.1,,71.5,,46.9,43.7,0.0
E14000841,32.4,46.2,37.9,38.6,34.3,53.2,36.6,34.1,52.3
E14000842,,79.7,,71.1,50.0,,0.0,64.2,0.0
E14000843,70.6,,90.3,67.0,67.0,,79.8,54.8,0.0
E14000844,74.3,71.4,53.6,77.0,85.8,61.3,34.8,80.2,58.4
E14000845,,82.0,44.2,66.9,,87.7,52.9,,82.7
E14000846,31.0,34.7,36.5,24.6,34.6,46.1,32.6,31.4,43.9
E14000847,64.4,70.7,62.1,79.7,83.1,56.0,50.1,75.7,62.8
E14000848,,68.3,,62.8,53.6,,0.0,61.3,0.0
E14000849,,0.0,,0.0,,26.4,14.6,,33.6
E14000850,61.2,77.0,58.6,69.7,66.3,76.4,53.7,65.5,77.0
E14000851,58.1,40.3,58.8,44.8,63.8,27.4,51.6,64.4,24.6
E14000852,,70.3,,0.0,,0.0,,0.0,0.0
E14000853,46.5,60.4,45.4,72.1,68.0,50.5,43.6,70.7,62.2
E14000854,,31.5,,23.6,,51.2,,0.0,75.4
E14000855,49.8,55.2,48.4,68.2,66.3,55.3,46.9,67.1,58.0
E14000856,24.1,40.3,26.8,50.6,34.1,31.8,,60.9,39.8
E14000857,,0.0,42.0,,0.0,73.8,45.6,,0.0
E14000858,57.9,100.0,72.3,64.3,50.7,,63.3,52.5,0.0
E14000859,35.8,60.0,31.8,,48.9,,0.0,51.5,0.0
E14000860,54.5,53.5,32.8,53.9,64.4,55.9,26.5,47.0,51.9
E14000861,53.7,,50.5,,42.6,,45.1,,0.0
E14000862,,62.2,68.0,70.4,76.2,55.9,73.1,,73.1
E14000863,,48.7,,61.2,62.9,41.4,56.0,75.2,0.0
E14000864,,0.0,,0.0,,0.0,,0.0,0.0
E14000865,,0.0,,0.0,,27.1,,0.0,27.4
E14000866,38.3,,32.1,,0.0,,34.2,34.4,0.0
E14000867,,50.7,26.9,58.9,,62.2,32.7,42.8,0.0
E14000868,,73.3,,67.7,,100.0,,72.4,100.0
E14000869,,0.0,,0.0,,0.0,,0.0,53.4
E14000870,30.8,36.6,29.1,24.2,19.9,52.5,37.6,27.1,50.0
E14000871,16.4,,15.6,23.2,18.0,,24.8,19.6,0.0
E14000872,,0.0,,0.0,,0.0,,0.0,0.0
E14000873,,0.0,,0.0,,0.0,22.7,,0.0
E14000874,,0.0,,0.0,,76.3,,0.0,92.3
E14000875,61.9,,88.7,,51.7,,81.5,45.2,0.0
E14000876,31.2,58.4,23.1,58.9,34.5,72.4,28.7,50.5,74.9
E14000877,84.4,,81.9,,0.0,,81.7,,0.0
E14000878,,29.0,,24.9,,0.0,,19.7,0.0
E14000879,71.6,42.4,,37.0,,47.7,47.9,51.2,45.6
E14000880,36.8,,28.0,,38.8,,27.7,,45.6
E14000881,35.2,36.0,33.4,27.9,35.8,47.6,40.9,29.8,43.2
E14000882,,0.0,,0.0,,0.0,,0.0,0.0
E14000883,33.8,40.2,51.1,33.2,32.3,63.3,40.3,44.3,60.7
E14000884,31.1,51.9,33.3,38.5,32.7,55.0,42.8,38.2,0.0
E14000885,,0.0,,0.0,,0.0,,0.0,0.0
E14000886,35.1,68.3,37.7,55.1,38.0,74.1,24.7,53.9,73.2
E14000887,34.4,,35.0,,0.0,,45.4,,0.0
E14000888,34.0,,0.0,75.6,,0.0,,0.0,0.0
E14000889,38.4,56.7,44.7,46.8,35.7,61.1,34.9,43.6,49.2
E14000890,60.1,41.4,50.3,35.5,42.6,49.6,52.5,38.8,60.9
E14000891,49.2,54.4,42.2,58.5,52.2,61.1,50.7,48.9,56.4
E14000892,,56.0,,69.7,49.2,32.8,22.5,53.0,0.0
E14000893,39.5,,40.9,,55.6,,0.0,66.4,0.0
E14000894,71.1,,62.9,,73.6,73.8,58.0,67.5,77.2
E14000895,62.7,,60.5,,50.4,,81.3,46.9,0.0
E14000896,,22.0,,0.0,,43.7,,0.0,39.6
E14000897,20.6,,27.9,10.6,15.6,,23.7,11.1,0.0
E14000898,58.1,44.2,52.8,61.5,53.5,39.3,65.0,44.6,33.8
E14000899,30.3,89.4,34.2,53.5,35.7,54.0,31.0,37.3,52.5
E14000900,47.5,56.8,45.4,33.1,44.5,55.0,34.5,34.1,66.3
E14000901,37.8,26.1,37.4,20.4,37.6,35.1,,32.2,38.6
E14000902,,91.3,15.4,79.9,45.6,48.0,,48.4,48.4
E14000903,41.1,31.3,44.2,40.9,24.6,74.3,44.8,33.0,41.7
E14000904,,60.5,,0.0,,0.0,,0.0,0.0
E14000905,,36.0,,45.9,48.2,,15.2,53.9,0.0
E14000906,34.7,,28.8,,23.3,,27.8,,0.0
E14000907,57.5,,55.9,,47.1,,57.0,,0.0
E14000908,42.1,,23.3,57.4,38.1,,19.9,55.4,0.0
E14000909,14.3,72.6,49.3,76.7,64.7,50.3,43.5,71.7,45.6
E14000910,35.0,,45.1,,0.0,,33.9,,0.0
E14000911,,46.3,,52.8,38.6,43.6,,44.2,0.0
E14000912,45.1,49.8,62.0,48.7,42.0,53.2,50.4,37.2,49.1
E14000913,52.9,58.0,80.9,47.6,53.7,58.7,68.0,52.7,39.7
E14000914,36.6,55.4,26.7,47.4,59.8,,39.7,55.2,50.6
E14000915,75.4,86.4,45.9,85.1,75.9,72.0,45.1,77.6,68.4
E14000916,71.5,,43.7,,69.8,,28.0,61.1,0.0
E14000917,,0.0,,0.0,,29.2,,0.0,34.8
E14000918,,0.0,,0.0,,0.0,,0.0,0.0
E14000919,75.4,,69.6,,0.0,,49.0,,0.0
E14000920,37.5,,50.1,,0.0,,56.2,,0.0
E14000921,,0.0,,0.0,,0.0,,0.0,42.1
E14000922,50.1,,27.1,,39.1,,0.0,45.9,0.0
E14000923,75.2,51.4,47.2,49.8,76.5,53.8,,58.6,0.0
E14000924,,38.5,,56.2,100.0,35.4,,77.3,43.2
E14000925,,0.0,,0.0,,0.0,34.2,,0.0
E14000926,,0.0,,0.0,,47.6,,0.0,44.4
E14000927,53.2,58.0,55.7,60.8,58.6,61.0,64.0,71.2,0.0
E14000928,,64.3,,0.0,,0.0,,0.0,0.0
E14000929,54.3,,54.8,43.9,68.1,,63.9,54.4,0.0
E14000930,26.6,37.9,25.7,49.5,30.2,44.3,16.8,30.0,42.2
E14000931,49.3,,47.5,18.7,52.3,34.3,62.3,27.3,38.4
