PCON22CD,Average Progress 8 Score,Average Attainment 8 Score,Percentage Achieving Grade 4 English & Maths,Percentage Achieving Grade 5 English & Maths,suffix
E14000578,0.12,48.7,69.6,50.6,%
E14000579,0.0,44.6,61.5,41.1,%
E14000580,-0.46,41.1,55.7,37.0,%
E14000581,-0.94,34.2,43.3,22.9,%
E14000582,-0.35,39.6,50.0,28.0,%
E14000583,0.17,47.6,71.1,49.6,%
E14000584,0.26,53.7,76.4,60.8,%
E14000585,0.13,44.6,64.5,47.9,%
E14000586,-0.02,46.6,64.6,44.5,%
E14000587,-0.37,39.4,51.0,33.4,%
E14000588,-0.5,37.7,49.8,30.4,%
E14000589,-0.04,43.0,58.3,38.2,%
E14000590,-0.23,42.1,60.7,35.9,%
E14000591,0.64,46.7,59.1,45.0,%
E14000592,0.66,52.3,71.9,55.4,%
E14000593,0.48,51.2,74.4,56.9,%
E14000594,0.01,49.3,72.9,50.9,%
E14000595,-0.32,40.7,54.8,32.8,%
E14000596,0.15,46.9,68.5,46.5,%
E14000597,-0.55,35.2,47.0,27.1,%
E14000598,0.18,52.1,78.8,60.5,%
E14000599,0.2,44.4,58.0,37.5,%
E14000600,-0.09,46.3,64.9,43.8,%
E14000601,-0.48,38.3,52.3,30.4,%
E14000602,0.31,51.5,74.7,54.8,%
E14000603,0.01,47.0,68.4,47.0,%
E14000604,-0.13,47.9,69.6,50.0,%
E14000605,-0.1,47.2,72.0,50.9,%
E14000606,-0.08,46.2,68.5,46.5,%
E14000607,0.09,49.2,72.2,49.8,%
E14000608,0.09,48.8,70.2,50.1,%
E14000609,-0.38,37.7,49.4,32.5,%
E14000610,-0.18,42.4,56.5,36.1,%
E14000611,-0.16,44.4,63.9,39.2,%
E14000612,-0.11,45.4,64.7,41.6,%
E14000613,-0.1,43.8,63.6,39.8,%
E14000614,-0.11,44.9,63.7,42.4,%
E14000615,0.61,51.8,71.6,57.5,%
E14000616,-0.25,42.5,55.4,34.0,%
E14000617,0.67,56.5,77.3,62.9,%
E14000618,-0.23,42.9,57.4,35.2,%
E14000619,-0.19,47.7,68.2,49.4,%
E14000620,-0.25,42.2,57.5,33.3,%
E14000621,0.43,58.4,79.4,65.9,%
E14000622,-0.34,43.1,58.4,38.3,%
E14000623,0.07,48.2,71.2,51.4,%
E14000624,0.09,46.8,69.3,48.7,%
E14000625,-0.25,45.1,65.7,44.7,%
E14000626,-0.41,40.0,55.7,36.2,%
E14000627,0.23,51.2,74.8,53.5,%
E14000628,0.32,56.8,78.1,63.0,%
E14000629,0.58,57.6,82.2,66.8,%
E14000630,0.4,53.7,73.4,58.6,%
E14000631,0.31,55.8,77.0,63.5,%
E14000632,0.1,47.8,68.6,49.3,%
E14000633,-0.12,43.0,62.1,39.6,%
E14000634,0.09,52.7,75.3,57.1,%
E14000635,-0.08,46.7,67.1,44.1,%
E14000636,0.66,59.0,83.6,68.8,%
E14000637,-0.03,47.2,68.1,50.2,%
E14000638,0.13,46.8,70.0,46.8,%
E14000639,0.47,56.6,79.6,62.8,%
E14000640,0.07,47.4,66.3,44.1,%
E14000641,0.13,49.7,67.1,50.8,%
E14000642,-0.34,38.1,48.1,28.9,%
E14000643,-0.2,45.1,64.2,38.7,%
E14000644,0.08,50.7,68.5,51.3,%
E14000645,0.33,48.9,71.8,47.7,%
E14000646,-0.07,48.0,69.4,46.0,%
E14000647,-0.25,44.3,62.6,40.1,%
E14000648,-0.08,42.2,58.1,37.4,%
E14000649,0.0,42.8,57.6,37.8,%
E14000650,0.1,45.9,64.5,44.5,%
E14000651,-0.17,43.5,61.9,41.7,%
E14000652,-0.27,41.9,59.4,35.9,%
E14000653,-0.37,41.3,57.7,35.7,%
E14000654,-0.08,44.5,60.6,41.6,%
E14000655,-0.07,44.0,61.7,40.6,%
E14000656,0.2,49.0,71.8,53.5,%
E14000657,0.01,46.2,62.2,44.3,%
E14000658,-0.19,45.9,64.3,45.6,%
E14000659,0.2,52.3,73.5,58.8,%
E14000660,-0.17,44.3,65.4,40.7,%
E14000661,-0.35,41.6,57.2,34.6,%
E14000662,-0.12,42.8,58.9,38.1,%
E14000663,-0.35,38.8,52.2,34.8,%
E14000664,0.05,49.3,72.7,49.9,%
E14000665,-0.17,42.7,60.7,37.9,%
E14000666,0.11,45.1,64.1,46.2,%
E14000667,0.03,45.3,63.1,43.0,%
E14000668,-0.02,44.9,64.0,42.3,%
E14000669,0.01,42.8,59.7,39.0,%
E14000670,-0.51,40.4,55.3,37.3,%
E14000671,-0.13,40.2,55.4,34.0,%
E14000672,-0.01,43.6,61.4,39.9,%
E14000673,0.05,51.3,71.5,52.4,%
E14000674,0.91,57.3,78.1,63.7,%
E14000675,0.46,50.1,70.7,53.3,%
E14000676,0.7,51.7,75.6,58.3,%
E14000677,-0.22,43.7,60.0,37.6,%
E14000678,-0.14,45.0,62.9,44.9,%
E14000679,0.3,51.9,73.2,54.1,%
E14000680,0.05,49.3,74.4,50.6,%
E14000681,-0.37,42.0,59.1,34.8,%
E14000682,0.17,48.5,72.0,50.0,%
E14000683,-0.23,43.1,61.8,37.1,%
E14000684,-0.15,42.8,62.0,38.2,%
E14000685,-0.1,46.6,66.4,44.5,%
E14000686,0.06,45.5,64.1,47.7,%
E14000687,0.18,46.4,62.5,48.1,%
E14000688,-0.36,39.9,56.9,31.1,%
E14000689,0.32,50.3,74.1,55.8,%
E14000690,0.06,49.4,70.3,53.2,%
E14000691,0.18,46.4,65.5,45.8,%
E14000692,0.34,49.4,70.6,52.0,%
E14000693,-0.03,45.9,67.7,44.3,%
E14000694,0.45,56.6,80.1,65.6,%
E14000695,-0.35,42.1,60.9,39.1,%
E14000696,-0.33,41.8,58.4,36.8,%
E14000697,0.26,52.7,76.3,58.3,%
E14000698,0.17,46.0,70.0,49.5,%
E14000699,-0.16,46.5,67.5,47.5,%
E14000700,-0.45,41.8,56.4,34.8,%
E14000701,0.41,48.1,68.6,52.7,%
E14000702,0.11,47.5,68.0,46.6,%
E14000703,0.69,57.9,79.1,67.0,%
E14000704,-0.3,43.1,59.6,38.5,%
E14000705,-0.01,43.9,62.6,37.6,%
E14000706,-0.23,46.1,67.9,43.5,%
E14000707,0.2,50.7,74.0,53.7,%
E14000708,-0.77,34.3,45.0,24.2,%
E14000709,-0.04,47.4,68.6,48.8,%
E14000710,0.02,46.5,68.1,46.3,%
E14000711,-0.14,43.0,58.1,35.3,%
E14000712,0.2,52.8,73.2,57.8,%
E14000713,-0.58,37.6,51.5,29.6,%
E14000714,0.46,53.9,73.9,58.0,%
E14000715,0.0,46.3,67.6,47.4,%
E14000716,-0.84,33.4,41.5,22.2,%
E14000717,-0.16,42.6,57.6,37.1,%
E14000718,-0.11,44.6,61.5,43.6,%
E14000719,0.49,54.4,76.6,58.8,%
E14000720,0.09,48.8,67.9,49.4,%
E14000721,0.52,53.1,74.2,56.1,%
E14000722,-0.07,42.7,55.7,34.9,%
E14000723,0.11,50.4,68.4,51.4,%
E14000724,-0.01,48.4,72.5,48.0,%
E14000725,-0.23,43.4,60.0,40.0,%
E14000726,0.27,49.9,69.1,53.7,%
E14000727,-0.05,46.1,66.1,45.1,%
E14000728,0.12,48.7,73.6,50.7,%
E14000729,-0.57,39.4,50.7,30.1,%
E14000730,0.06,49.5,70.3,50.3,%
E14000731,0.43,52.1,71.8,56.8,%
E14000732,0.58,52.4,71.4,55.1,%
E14000733,-0.46,41.3,59.9,37.7,%
E14000734,-0.29,40.1,53.8,33.5,%
E14000735,-1.02,33.5,45.4,25.3,%
E14000736,-0.5,39.8,53.7,32.4,%
E14000737,0.41,49.1,71.7,54.2,%
E14000738,-0.37,41.0,56.7,39.1,%
E14000739,-0.26,43.4,63.3,40.8,%
E14000740,0.03,45.0,64.3,43.1,%
E14000741,0.53,53.7,76.0,60.8,%
E14000742,0.05,48.2,74.5,56.6,%
E14000743,-0.25,43.9,62.5,40.9,%
E14000744,0.2,52.5,78.6,57.3,%
E14000745,0.06,50.0,70.8,53.5,%
E14000746,-0.1,48.6,68.2,50.9,%
E14000747,-0.3,43.0,57.7,38.7,%
E14000748,-0.16,44.3,61.5,40.0,%
E14000749,0.44,56.7,81.3,66.4,%
E14000750,0.01,49.2,69.2,52.5,%
E14000751,-0.02,48.5,72.0,50.2,%
E14000752,0.34,51.8,72.4,55.6,%
E14000753,0.39,52.4,76.4,56.6,%
E14000754,-0.7,41.4,57.9,39.0,%
E14000755,0.04,48.7,71.7,49.5,%
E14000756,-0.09,42.1,56.9,38.8,%
E14000757,0.1,45.0,62.7,39.7,%
E14000758,-0.27,43.3,62.6,38.9,%
E14000759,0.3,51.6,73.5,58.9,%
E14000760,0.71,54.3,78.4,62.9,%
E14000761,-0.03,42.3,61.2,39.8,%
E14000762,-0.24,41.0,57.9,36.4,%
E14000763,-0.09,43.9,60.8,41.4,%
E14000764,0.04,50.0,71.0,52.9,%
E14000765,-0.42,42.8,58.0,34.2,%
E14000766,-0.3,40.6,52.3,33.0,%
E14000767,0.43,54.4,78.6,57.3,%
E14000768,0.33,55.7,78.4,60.5,%
E14000769,0.19,47.0,64.7,45.2,%
E14000770,0.51,56.0,78.6,62.6,%
E14000771,-0.7,39.2,50.5,31.3,%
E14000772,0.02,47.6,64.8,47.5,%
E14000773,-0.58,40.9,57.4,35.4,%
E14000774,-0.04,43.2,60.7,38.2,%
E14000775,-0.88,32.8,39.8,18.3,%
E14000776,0.0,50.8,73.3,55.9,%
E14000777,0.07,38.4,50.0,31.0,%
E14000778,-0.49,37.9,48.8,28.7,%
E14000779,0.34,49.2,73.1,56.1,%
E14000780,-0.09,46.6,64.7,46.7,%
E14000781,0.14,45.0,64.2,46.8,%
E14000782,0.42,48.6,67.0,49.7,%
E14000783,0.12,44.6,59.5,42.4,%
E14000784,-0.18,41.8,51.6,30.7,%
E14000785,-0.32,44.0,63.3,39.7,%
E14000786,0.13,46.8,70.0,46.7,%
E14000787,0.02,43.2,58.3,42.1,%
E14000788,0.3,50.6,71.9,54.8,%
E14000789,-0.04,45.8,59.4,42.8,%
E14000790,-0.01,48.0,66.9,53.2,%
E14000791,0.1,48.5,71.5,48.9,%
E14000792,-0.31,41.2,59.4,36.2,%
E14000793,-0.16,47.3,67.9,48.9,%
E14000794,-0.94,34.4,42.7,22.7,%
E14000795,0.06,50.5,68.2,52.2,%
E14000796,-0.49,40.3,52.2,32.8,%
E14000797,0.1,48.5,70.0,50.9,%
E14000798,-0.02,46.7,66.2,42.8,%
E14000799,-0.3,45.2,65.6,40.0,%
E14000800,0.09,43.9,62.9,44.5,%
E14000801,0.06,44.6,59.8,41.6,%
E14000802,0.09,49.6,72.0,51.0,%
E14000803,0.2,49.9,73.9,53.6,%
E14000804,-0.05,50.4,72.8,54.1,%
E14000805,-0.3,44.5,65.2,42.0,%
E14000806,-0.41,43.0,59.7,35.7,%
E14000807,0.06,46.4,59.9,40.1,%
E14000808,0.32,47.6,67.2,46.7,%
E14000809,-0.03,47.7,69.1,49.6,%
E14000810,-0.2,41.0,54.6,34.4,%
E14000811,-0.14,46.3,66.7,45.1,%
E14000812,-0.47,41.8,57.2,36.3,%
E14000813,-0.09,46.6,68.3,48.4,%
E14000814,0.05,50.4,75.2,55.2,%
E14000815,0.05,48.1,70.3,49.3,%
E14000816,0.13,47.2,69.4,46.1,%
E14000817,0.21,49.3,71.8,52.1,%
E14000818,0.15,45.1,66.9,45.4,%
E14000819,-0.5,39.2,54.8,32.9,%
E14000820,-0.17,46.6,66.5,45.5,%
E14000821,-0.25,45.2,67.0,43.9,%
E14000822,-0.08,44.2,63.8,42.5,%
E14000823,0.36,44.1,60.2,40.2,%
E14000824,0.0,49.6,73.1,51.3,%
E14000825,-0.62,34.6,43.6,21.1,%
E14000826,0.3,50.3,73.3,52.3,%
E14000827,-0.44,42.8,61.2,38.1,%
E14000828,-0.09,48.9,70.0,49.2,%
E14000829,0.13,48.9,73.2,51.8,%
E14000830,0.37,50.4,72.3,50.6,%
E14000831,-0.58,39.7,52.5,33.2,%
E14000832,-0.4,42.5,57.7,38.4,%
E14000833,-0.19,46.5,64.9,49.4,%
E14000834,-0.43,40.9,58.3,32.6,%
E14000835,-0.38,41.2,57.7,33.9,%
E14000836,0.19,44.4,62.2,42.2,%
E14000837,-0.22,42.7,59.6,38.8,%
E14000838,-0.15,44.8,63.2,42.5,%
E14000839,-0.18,44.3,64.6,43.4,%
E14000840,-0.17,45.1,61.9,42.0,%
E14000841,0.08,44.2,62.7,39.0,%
E14000842,-0.38,38.7,54.3,31.0,%
E14000843,-0.39,43.6,64.6,41.9,%
E14000844,0.09,51.6,78.3,56.0,%
E14000845,0.11,46.3,65.3,43.6,%
E14000846,0.14,47.4,67.7,47.1,%
E14000847,-0.28,46.1,68.0,44.0,%
E14000848,-0.12,43.8,65.9,43.6,%
E14000849,-0.31,42.9,57.9,36.5,%
E14000850,0.11,49.8,73.3,50.5,%
E14000851,-0.09,42.2,63.4,42.0,%
E14000852,-0.62,38.1,53.1,25.4,%
E14000853,-0.49,41.7,53.9,31.9,%
E14000854,-0.38,40.4,56.6,34.5,%
E14000855,0.19,46.9,67.1,42.1,%
E14000856,-0.17,46.8,63.9,43.0,%
E14000857,-0.23,44.6,63.7,41.2,%
E14000858,-0.58,39.6,54.3,32.4,%
E14000859,-0.18,40.5,56.2,36.0,%
E14000860,0.15,47.6,71.1,49.8,%
E14000861,0.17,43.8,60.6,42.1,%
E14000862,-0.2,43.5,60.5,41.0,%
E14000863,-0.21,43.3,60.7,37.5,%
E14000864,0.09,46.3,67.8,47.3,%
E14000865,-0.39,41.0,55.1,34.2,%
E14000866,-0.47,36.3,43.8,22.3,%
E14000867,0.07,48.4,69.9,48.2,%
E14000868,-0.12,43.0,59.2,40.9,%
E14000869,0.09,53.3,76.0,58.7,%
E14000870,-0.23,43.8,61.5,40.2,%
E14000871,-0.13,42.4,60.2,36.8,%
E14000872,0.05,55.2,74.3,58.8,%
E14000873,-0.22,40.4,53.4,38.3,%
E14000874,0.23,50.7,70.8,52.7,%
E14000875,-0.25,38.7,53.1,31.0,%
E14000876,0.09,48.1,67.3,46.4,%
E14000877,-0.06,46.8,69.1,45.3,%
E14000878,-0.08,40.1,54.6,32.4,%
E14000879,-0.48,36.9,47.5,25.2,%
E14000880,0.08,52.1,70.4,57.0,%
E14000881,0.43,53.9,79.4,58.3,%
E14000882,-0.02,46.6,66.3,49.6,%
E14000883,-0.5,37.6,51.0,29.4,%
E14000884,-0.41,39.5,54.4,34.6,%
E14000885,0.15,42.8,59.0,41.0,%
E14000886,0.11,49.4,71.1,52.2,%
E14000887,0.38,49.8,70.6,54.1,%
E14000888,-0.24,43.4,63.1,40.0,%
E14000889,0.26,56.0,76.6,61.2,%
E14000890,-0.26,40.7,54.7,36.3,%
E14000891,-0.42,44.4,64.6,44.2,%
E14000892,-0.02,41.9,56.9,35.3,%
E14000893,0.17,50.4,73.7,55.2,%
E14000894,-0.15,47.0,66.7,45.6,%
E14000895,-0.07,44.2,61.8,39.5,%
E14000896,0.65,61.4,84.7,71.6,%
E14000897,-0.26,40.0,54.9,34.0,%
E14000898,0.14,50.4,69.0,52.6,%
E14000899,-0.21,48.5,63.6,48.1,%
E14000900,-0.18,46.3,69.7,47.3,%
E14000901,0.03,48.0,70.5,48.8,%
E14000902,-0.35,45.0,64.3,45.0,%
E14000903,-0.32,43.0,61.2,41.1,%
E14000904,0.05,44.4,61.7,39.6,%
E14000905,0.09,50.2,71.8,54.9,%
E14000906,0.2,50.1,71.5,52.1,%
E14000907,0.3,53.9,80.1,61.4,%
E14000908,0.36,53.8,77.1,58.1,%
E14000909,0.03,47.3,68.6,47.0,%
E14000910,-0.13,47.2,69.3,46.6,%
E14000911,-0.63,38.7,51.8,32.6,%
E14000912,0.05,50.4,69.7,52.1,%
E14000913,-0.26,40.8,58.6,38.0,%
E14000914,-0.35,39.6,57.7,32.9,%
E14000915,-0.28,44.9,59.9,38.7,%
E14000916,-0.46,43.9,62.4,38.9,%
E14000917,0.07,48.1,70.4,49.3,%
E14000918,-0.22,41.8,60.9,37.4,%
E14000919,0.06,47.8,69.6,49.7,%
E14000920,-0.29,40.5,55.2,34.5,%
E14000921,-0.49,36.3,47.8,28.4,%
E14000922,0.35,53.0,78.4,61.7,%
E14000923,-0.12,40.7,54.5,35.7,%
E14000924,-0.3,41.7,55.7,33.7,%
E14000925,-0.1,44.3,63.8,42.6,%
E14000926,-0.29,43.6,61.5,38.0,%
E14000927,-0.5,41.2,56.5,35.4,%
E14000928,0.15,50.4,71.3,51.8,%
E14000929,-0.07,46.6,66.6,44.1,%
E14000930,0.19,53.1,72.3,56.5,%
E14000931,0.26,49.9,74.0,54.5,%
E14000932,-0.26,42.5,60.3,40.5,%
E14000933,-0.55,38.8,55.1,35.3,%
E14000934,0.36,52.5,75.2,56.7,%
E14000935,0.03,46.4,68.0,48.5,%
E14000936,-0.58,36.9,49.6,29.4,%
E14000937,0.33,50.1,71.1,52.0,%
E14000938,-0.29,40.8,54.8,31.7,%
E14000939,0.07,44.3,59.3,36.8,%
E14000940,-0.3,42.0,62.2,41.5,%
E14000941,0.3,48.9,71.2,48.7,%
E14000942,0.04,47.9,71.5,48.6,%
E14000943,0.1,49.3,73.9,50.8,%
E14000944,-0.28,44.1,61.1,38.5,%
E14000945,-0.11,44.4,61.9,38.6,%
E14000946,-0.08,44.8,61.4,40.4,%
E14000947,-0.05,45.9,63.6,42.5,%
E14000948,-0.34,44.1,62.6,44.0,%
E14000949,-0.11,43.6,64.4,40.5,%
E14000950,-0.11,46.2,66.9,45.3,%
E14000951,0.4,55.5,84.2,64.7,%
E14000952,0.0,41.0,56.1,33.4,%
E14000953,0.25,52.9,76.5,57.0,%
E14000954,-0.06,45.6,63.5,38.6,%
E14000955,-0.56,38.9,49.4,29.9,%
E14000956,-0.33,44.3,60.7,40.7,%
E14000957,0.24,57.0,79.7,64.8,%
E14000958,-0.14,45.4,65.0,43.8,%
E14000959,0.0,47.7,66.9,44.9,%
E14000960,0.49,55.1,80.2,61.6,%
E14000961,0.11,46.6,64.7,40.2,%
E14000962,-0.46,40.7,53.9,33.7,%
E14000963,-0.31,43.9,62.5,40.6,%
E14000964,-0.14,45.1,65.2,43.3,%
E14000965,0.02,46.7,63.9,44.2,%
E14000966,-0.29,43.6,64.2,40.8,%
E14000967,-0.41,41.6,58.9,36.7,%
E14000968,0.07,46.0,65.6,43.8,%
E14000969,-0.19,45.3,64.0,44.4,%
E14000970,-0.44,41.7,60.6,40.0,%
E14000971,-0.08,47.6,71.1,50.6,%
E14000972,0.08,47.4,64.3,43.9,%
E14000973,-0.58,38.4,51.4,29.1,%
E14000974,-0.3,40.1,51.8,32.3,%
E14000975,0.13,48.6,70.7,50.2,%
E14000976,-0.16,43.3,61.4,37.1,%
E14000977,0.33,56.1,79.6,61.5,%
E14000978,0.06,45.6,64.1,45.9,%
E14000979,-0.06,50.9,69.8,53.2,%
E14000980,0.1,51.8,71.9,55.5,%
E14000981,-0.3,42.4,59.2,32.7,%
E14000982,-0.34,46.5,63.7,44.2,%
E14000983,0.18,50.4,73.2,54.8,%
E14000984,0.52,58.5,83.8,68.7,%
E14000985,0.1,54.9,77.7,62.4,%
E14000986,-0.41,40.0,55.0,30.9,%
E14000987,-0.17,47.7,70.0,50.9,%
E14000988,-0.17,44.1,62.4,40.1,%
E14000989,-0.42,41.3,55.2,35.0,%
E14000990,0.17,45.9,67.3,44.8,%
E14000991,0.19,50.0,73.1,52.5,%
E14000992,-0.19,48.9,65.3,46.1,%
E14000993,0.04,45.7,67.1,43.9,%
E14000994,-0.01,45.7,63.9,42.3,%
E14000995,-0.05,45.0,63.6,44.7,%
E14000996,0.2,51.2,73.0,54.1,%
E14000997,0.3,55.4,75.8,60.1,%
E14000998,0.33,51.9,73.4,59.4,%
E14000999,-0.11,48.6,69.3,53.6,%
E14001000,-0.3,41.9,60.3,39.2,%
E14001001,-0.15,46.2,65.6,44.6,%
E14001002,-0.08,41.0,53.0,32.1,%
E14001003,0.02,46.5,66.1,46.7,%
E14001004,0.23,52.3,77.2,59.3,%
E14001005,0.33,54.9,78.6,64.1,%
E14001006,0.15,49.8,74.6,53.4,%
E14001007,0.19,47.2,67.4,48.4,%
E14001008,0.01,44.2,62.4,45.9,%
E14001009,0.22,47.0,67.2,48.4,%
E14001010,-0.62,34.5,42.1,19.4,%
E14001011,-0.4,37.2,45.6,25.0,%
E14001012,0.14,50.0,68.0,50.5,%
E14001013,0.03,46.3,66.6,48.2,%
E14001014,-0.14,44.8,65.8,44.0,%
E14001015,0.22,48.2,68.0,48.9,%
E14001016,0.22,44.9,59.2,39.1,%
E14001017,-0.16,44.9,65.5,42.8,%
E14001018,-0.04,49.4,71.4,48.5,%
E14001019,-0.09,45.0,64.5,42.7,%
E14001020,-0.48,41.2,54.6,34.6,%
E14001021,0.27,55.2,78.0,62.1,%
E14001022,-0.27,41.0,59.1,35.5,%
E14001023,-0.05,46.1,68.3,45.7,%
E14001024,-0.1,47.6,69.5,48.2,%
E14001025,0.02,43.7,61.1,37.0,%
E14001026,-0.07,45.5,63.6,42.6,%
E14001027,0.26,48.7,68.6,48.3,%
E14001028,-0.24,41.1,54.2,33.5,%
E14001029,-0.17,42.6,55.9,36.8,%
E14001030,-0.44,39.6,49.9,31.5,%
E14001031,-0.01,45.8,65.9,40.0,%
E14001032,0.22,50.5,71.0,54.4,%
E14001033,-0.4,43.4,63.0,40.9,%
E14001034,-0.16,42.4,58.2,36.9,%
E14001035,0.05,46.5,66.4,42.2,%
E14001036,0.49,52.4,73.2,57.7,%
E14001037,0.01,48.0,68.5,45.9,%
E14001038,-0.14,43.2,60.6,38.9,%
E14001039,-0.56,43.1,55.8,36.6,%
E14001040,0.69,56.1,80.5,61.8,%
E14001041,0.26,52.8,77.2,58.6,%
E14001042,0.14,50.2,74.9,55.3,%
E14001043,-0.11,48.9,67.4,48.1,%
E14001044,0.23,51.5,74.6,59.8,%
E14001045,-0.13,44.8,66.7,41.6,%
E14001046,0.19,49.4,71.4,52.6,%
E14001047,0.19,50.5,72.1,53.2,%
E14001048,0.41,53.7,78.1,62.0,%
E14001049,-0.17,43.5,54.2,33.0,%
E14001050,0.03,44.1,55.8,36.1,%
E14001051,0.0,48.8,66.7,48.3,%
E14001052,0.0,45.5,65.2,46.3,%
E14001053,-0.36,42.2,59.6,37.0,%
E14001054,-0.33,42.9,58.3,40.9,%
E14001055,0.26,46.3,67.1,48.2,%
E14001056,0.45,56.6,77.8,63.4,%
E14001057,-0.12,47.3,68.8,46.0,%
E14001058,-0.27,41.8,56.4,38.5,%
E14001059,-0.42,44.5,58.2,41.9,%
E14001060,-0.28,43.1,60.8,39.3,%
E14001061,0.09,48.7,68.2,47.1,%
E14001062,0.13,49.7,72.6,52.9,%
