ONS_CODE,Apr 2020-Mar 2021,Jul 2020-Jun 2021,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024
E14000581,,,,,,,11.7,18.2,,,,,
E14000582,,,,,,47.2,,,,,,,
E14000583,,,,,,,,,,,,,
E14000584,27.6,26.9,15.6,15.9,,,,25.3,16.6,16.7,13.6,,
E14000585,,,,,,,,,,27.8,30.5,28.9,36.2
E14000586,9.9,18.4,16.5,14.9,14.6,,,,20.3,19.9,19.6,15.2,14.8
E14000587,,,,,,,,,,,,,
E14000588,,,,,,,,,,,,,
E14000589,,,,,,,,,,,59.8,61.9,56.2
E14000590,,,,,,,,,,,,,
E14000591,,,,,,,,,,,,,
E14000592,,,,38.3,27.6,,,,,,,,
E14000593,,,,,,,,,,,,,
E14000594,,,,,,,,,,,,,
E14000595,,,,,,,,,,,,,
E14000596,,,,,,,,,,,,,
E14000597,,,,29.8,28.4,29.1,32.0,,,,,,
E14000598,23.8,23.9,,,,,,,17.5,,,,
E14000599,,,,,,,,,,,,,
E14000600,,,30.3,30.2,,,,,,,,,
E14000601,36.9,35.7,,,,,,,,25.8,,,21.1
E14000602,16.2,,17.0,,,,,,,,,,
E14000603,,,,,,,,,,,,,
E14000604,25.0,30.5,,,,,,,,,,,
E14000605,,,,,20.7,31.0,28.5,,,,,,
E14000606,,26.5,36.3,37.5,,,,,,,,,
E14000607,44.5,41.7,18.8,,,,,,,,,,37.3
E14000608,,,,,,,,,,,,,
E14000609,,,,,,,,,,,,,
E14000610,,,,,,,,,,,,,
E14000611,,,,,,,,,,,,,
E14000612,30.3,22.0,21.2,18.3,23.6,,18.0,,,,,,
E14000613,,,,,,,,,,17.3,19.6,17.5,
E14000614,,,,,,,,,,,,,
E14000615,,22.1,,,,,,,,,,,
E14000616,,,,,,,,,,,,,
E14000617,,,,,,,,,20.8,29.9,,,
E14000618,,,,,,,,,,,,,
E14000619,,,,,,,,,,,,,
E14000620,,,,,,,,,,,,,
E14000621,,19.3,23.0,22.6,30.0,,,,,30.8,,,
E14000622,,,,,30.6,24.6,22.5,,,,,,
E14000623,,,,,,,,,,,,,
E14000624,35.5,44.5,25.8,21.9,,,,,,,,,
E14000625,36.0,36.1,31.0,,,,,,,,,,
E14000626,,,,,,,,,,,,,
E14000627,,,,,,,,,,,,,
E14000628,,,,,,,,,,,,,
E14000629,,,,,,,,,,,,,
E14000630,,,,,,,,,,,,,
E14000631,,,,,,,,,,,,,
E14000632,29.7,26.6,24.7,,,,,,,,,,
E14000633,,,,,,,,,,,,,
E14000634,33.1,50.8,40.7,30.7,,,,,,,,,
E14000635,,,,,,,,,,,,,
E14000636,,37.2,39.2,35.0,30.7,,,,,,,,
E14000637,,,,,,,,,,,,,
E14000638,,13.8,16.5,12.6,21.3,,33.3,33.6,32.4,,,,
E14000639,,,20.9,,,32.2,,,,,,,
E14000640,,,,,,,,,,,,,
E14000641,,23.0,,,22.5,,,,,,,,
E14000642,,,,,,,,,,,,,
E14000643,,,,,,,,,,,,,19.7
E14000644,,,,,,,,,,,,,
E14000645,,,,,17.1,,,,,,,,
E14000646,42.2,43.4,37.3,,,,,,,,,,
E14000647,,,,,,,,,,,,,
E14000648,,,,,,,,,,,,,
E14000649,21.1,25.8,31.4,29.1,24.3,19.7,14.4,,,,,,
E14000650,,20.7,22.0,28.3,40.4,21.2,,,,,,,33.0
E14000651,,,,,11.6,21.7,26.7,30.4,37.6,27.2,24.2,27.0,21.5
E14000652,,,,,,,,,,,,,
E14000653,,,,,,,,,,,,,
E14000654,,21.0,21.7,25.0,,,,,,,40.3,37.9,56.6
E14000655,34.8,44.1,,,,,,,,,,,
E14000656,31.8,50.7,36.6,30.2,,,63.3,46.1,46.6,,,,
E14000657,,,,,,,,,,,,,
E14000658,17.4,18.4,18.0,13.5,11.2,8.5,3.6,,,,,,7.3
E14000659,,,,,,,,,,,,,
E14000660,17.8,,,,,,,,,,,,
E14000661,,41.6,24.5,14.2,13.8,,,,,,,,
E14000662,,,,,,,,,20.3,24.0,17.0,25.5,
E14000663,35.7,34.2,20.6,,,,,,,,,,
E14000664,,,,,,,,,,,,,
E14000665,,,,,,,,,,,,,
E14000666,,,,,,,,,,,,,
E14000667,,,22.7,,,,,,,,,,
E14000668,39.9,37.0,22.9,23.4,18.0,19.8,,,,,,,
E14000669,,,,,,,,,45.4,39.0,34.4,,
E14000670,,,,,,,,,,,,,
E14000671,,,,,,,,,,,,,
E14000672,29.6,26.5,,,,,,,,,,,
E14000673,,,,,,,,,,,,,
E14000674,,,,,,,,,,,,,
E14000675,,,,,,,,,,,,,
E14000676,,,,,,,,,,,,,
E14000677,,,,,,,,,,,,,
E14000678,15.4,20.4,,,,,,,,,,,
E14000679,,,,,,,,,,,,,
E14000680,,,,,,,,,,,,,
E14000681,,,,,,,,,,,,,
E14000682,,,27.7,,,,,,,,,,
E14000683,,,,,,,,,,,,,
E14000684,,,,,,,,,,,,,
E14000685,,,,,,,,,,,,,
E14000686,,,,,,,,,,,,,
E14000687,,,,,,,,,,,,,
E14000688,,,,,,,,,,,,,
E14000689,,,55.1,36.1,24.5,26.8,,,,,,,
E14000690,,,,,,,,,,,,,
E14000691,,,,,,,,,,,,,
E14000692,,35.0,34.7,22.0,,,,,,,,,
E14000693,,,,,,,,,,,,,
E14000694,,,,,,,,,,,,,
E14000695,,,,,,,,,,,,,
E14000696,20.1,,,,,,,,,,,,
E14000697,30.3,31.1,33.7,,,,,,,,,,
E14000698,,,,,,,,,,,,,
E14000699,,,,,,,,,,,,,
E14000700,,,,,,,,,,,,,
E14000701,,,,,,45.3,,,,,,,
E14000702,,,,,,,,,,,,,
E14000703,,,,,,,,,,,,,
E14000704,,,,,,,,,,,,38.2,
E14000705,,,,,,,,,,,,,
E14000706,,,,,,,,,,,,,
E14000707,,,,,,,,,,,,,
E14000708,32.3,30.2,,26.9,,,,,,,,,
E14000709,21.7,26.6,29.8,29.8,18.1,15.9,28.3,24.2,31.2,28.2,16.1,,
E14000710,34.9,37.7,26.5,30.6,,,,,,,,,
E14000711,,,,,,,,,,,35.9,,
E14000712,35.6,28.9,,,,,,,,,,,
E14000713,,,,,,,,,,,,,
E14000714,,,,,,,,,,,,,44.0
E14000715,,,,,,,,,,,,,
E14000716,14.4,,,,,,,,,,,,31.2
E14000717,37.2,,,,,,,,,30.5,27.5,,
E14000718,32.2,,30.4,38.9,30.9,34.7,,,,,,,
E14000719,,,,,,,,,,,,,
E14000720,,,,,,,,,,,,,
E14000721,,,,,,,,,,,,,
E14000722,,,,,,,,,,,,,
E14000723,,,,,,,,,,,,,
E14000724,,,,,,17.9,,,,,,,
E14000725,16.5,16.3,13.8,12.3,,,,,,,,,29.0
E14000726,,,,,,,,,,,,,
E14000727,,,,,,,,,,,,,
E14000728,,,,,,,15.7,16.8,19.5,21.2,,,
E14000729,,,26.7,,,,,,44.7,38.8,34.6,45.7,
E14000730,,,,,,,,,,,,,
E14000731,,,,84.2,56.2,42.6,59.4,,,,,,
E14000732,48.3,,,,,,,,,41.3,52.2,,
E14000733,18.3,11.7,11.3,12.0,15.0,14.9,15.5,11.8,,,,,13.6
E14000734,32.6,45.3,42.6,,,,,,,,,,
E14000735,,,,,,,,,,,,,71.1
E14000736,,,,,,,,,,,,,
E14000737,64.0,,,34.1,36.2,22.2,,,,,,,
E14000738,20.1,,,25.2,,,,,,,44.8,,27.7
E14000739,,,,,,,,,,,,,
E14000740,,,,17.9,17.1,,,,,,,,
E14000741,,,60.6,51.3,53.2,24.9,27.4,,,,,,
E14000742,,,,,,,,,,,,,
E14000743,,,,,,,,,,,,,
E14000744,,33.3,,,,,,,,,,,
E14000745,,,,,,,,,,,,,
E14000746,,,,,,,,,,,,,
E14000747,17.9,16.2,17.1,12.0,,,,,,,,,
E14000748,,,,,,,,,,,,,
E14000749,35.1,25.8,,,,,,,,,,,
E14000750,,,,,,,,,,,,,
E14000751,,,,,,,,,,,,,
E14000752,,,,,,,,,,,,,
E14000753,,,,,,,,,,,,,
E14000754,24.1,23.9,,,,,,,,,,,
E14000755,25.1,17.0,20.7,26.2,15.5,21.5,,,,,,,63.4
E14000756,,,,,,,,,,,,22.4,20.4
E14000757,,,,,,,,,,,,,14.8
E14000758,,,,,,,,,,,,,
E14000759,,,,,34.6,,,,,,,,
E14000760,,,,,,,,,,,,,
E14000761,,,,,,,,,,,,,
E14000762,14.8,16.7,16.0,22.1,25.7,17.3,11.7,10.6,13.0,17.8,,,
E14000763,31.9,47.0,40.7,30.7,,,,,,,,,
E14000764,,,,,,,,,35.2,31.8,,,
E14000765,13.5,,,,,,,,,16.6,18.4,14.8,15.0
E14000766,,,,,,,,,,,,,
E14000767,,,,,,,,,,,,,
E14000768,23.5,27.6,,,,,,,,,,33.2,
E14000769,,,,,,,,,,,,,
E14000770,18.2,30.9,,20.9,21.8,,,,,,,,
E14000771,29.5,32.8,,,,,,,,,,,
E14000772,,,,,,,39.5,35.7,31.0,27.4,,,
E14000773,,,,,,,,,,,,,
E14000774,,,,,,,,,,,,,
E14000775,18.6,17.3,15.8,15.3,,,,,,,,15.1,18.2
E14000776,,,,,,,,,,,,,
E14000777,,,,,,,,,,,,,
E14000778,,,,,,,,,,,,,
E14000779,,,,,,,,,,,,,
E14000780,,,,,,,,,,,,,
E14000781,,,,,,,,,,,,,
E14000782,,,,,,,17.1,14.4,30.0,39.2,,,
E14000783,34.8,29.3,17.2,,,,12.8,,,,,34.2,10.3
E14000784,,32.0,30.7,,,,,,35.8,41.6,41.2,,
E14000785,,,,,,,23.3,,,,,,
E14000786,23.6,25.8,26.1,,,,,,,,,,
E14000787,,,,,,,,,41.2,41.9,,,
E14000788,33.2,64.2,75.2,62.1,54.9,,,,,,,,
E14000789,,,,,,,,,,,,,
E14000790,,,,,,,,,,,,,
E14000791,32.6,32.1,,,,,,,,,,,
E14000792,24.8,24.8,,,,,,,,,,,
E14000793,,19.3,,,,,,22.1,25.2,,,,
E14000794,,,,,,,,,,,,,
E14000795,,,,,,,,,,,,,
E14000796,,,,,,,,,,,,,
E14000797,,,,,,,,,,,,,
E14000798,,,,34.5,28.4,,,,,,,,
E14000799,,,,,,,,,,,,,
E14000800,,,,,,,,35.0,13.6,19.2,19.5,,
E14000801,17.9,17.4,20.2,17.2,15.8,12.5,,,,,,,
E14000802,,,,,,,,,,,,,
E14000803,20.5,16.6,13.8,16.0,8.4,,11.4,5.7,7.0,7.5,,,
E14000804,,,,,,,,,,,,,
E14000805,,,,,,,,,,,,,
E14000806,,39.5,,,,,,,,,,,
E14000807,,,,,,28.6,30.7,26.3,31.3,,,,
E14000808,,,,,,,32.8,42.6,,,,,
E14000809,,,,,,,,,,,,,
E14000810,,,,,,,,,,,,,
E14000811,,,,22.4,15.1,,,,,,,,
E14000812,,,,,,,19.4,16.2,13.8,,,,
E14000813,,,,,,,,,,,,,
E14000814,,,,,,,,,,,,,
E14000815,,,,,,,,,,29.3,29.1,22.6,22.1
E14000816,33.4,23.3,,28.4,15.7,20.7,,,,,,,
E14000817,,,,,,,,,,,,,
E14000818,,,,,,,,,,,,,
E14000819,15.1,14.9,13.3,13.7,14.4,,,,,,,25.1,23.0
E14000820,23.3,20.9,25.2,21.1,15.0,15.6,,,,,,20.1,26.6
E14000821,12.8,9.2,,,,,,,,,,,
E14000822,19.2,22.9,,,,,,13.0,11.9,,,,
E14000823,,,,,,,,,,,,,
E14000824,,,,,,,,,,,,,
E14000825,,,,,,,,,,,,,
E14000826,,,,,,,,,,,,,
E14000827,,,,,,,,,,,,,
E14000828,,,33.7,38.0,45.8,,,,,,,,
E14000829,,,,,,,,,,,,,
E14000830,22.1,20.8,14.2,13.1,,,9.2,8.7,,,,,
E14000831,,,,,,,,,,,,,
E14000832,,,,,,,,,,15.8,,,
E14000833,,,,,,,,,,,,,
E14000834,,,,,,,,,,,,,
E14000835,,,,,,,,,,,,,
E14000836,,,26.0,20.0,20.8,20.6,,,,,,,
E14000837,35.5,24.8,,,,,,,,,,,
E14000838,,,,,,,,,,,,,
E14000839,,,,,,,,,,,,,
E14000840,,,,,,,,,,,,,
E14000841,,,,,,,,8.7,16.4,14.6,22.3,27.1,20.8
E14000842,,,,,,,,,,,,,
E14000843,,,,,,,,,,,,,
E14000844,,,13.4,17.2,,16.5,21.0,20.8,31.1,20.0,13.8,,
E14000845,,,,,,,,,,29.8,35.6,,
E14000846,11.8,10.7,16.7,11.3,,,,,,,,,
E14000847,22.3,18.3,21.2,44.6,28.6,24.1,21.2,19.9,18.2,,,,
E14000848,,,,,,,,,,,,,
E14000849,,,,,,,,,,,,,
E14000850,,,,,,,,10.2,8.9,11.3,14.4,,
E14000851,9.2,8.8,15.4,14.2,15.1,18.7,16.1,24.4,28.2,36.0,18.5,20.6,
E14000852,,,,,,,,,,,,,
E14000853,9.4,16.7,16.7,26.7,27.8,12.7,16.1,23.4,18.6,,32.1,32.6,41.9
E14000854,,,,,,,,,,,,,
E14000855,,,,,,,15.0,,,,,,
E14000856,,,,,,,,,,,,,
E14000857,,,,,,,,,,,,,
E14000858,,,,,,,,,,,,,
E14000859,,,,,,,,,,,,,
E14000860,,,,,,,,,,,,,
E14000861,,,,40.4,44.4,,,,,,,,
E14000862,,,,27.4,,,,,,,,,
E14000863,,,50.4,,,,,,,,,,
E14000864,,,,,,,,,,,,,
E14000865,,,,,,,,,,,,,
E14000866,31.2,27.4,11.7,,,,,,,,,,
E14000867,31.4,21.4,12.0,9.7,,,,,,,,,
E14000868,,,,,,,,,,,,,
E14000869,,,,,,,,,,,,,
E14000870,26.2,14.6,12.7,,,,,,,,,,
E14000871,,,,,,,,,,,,,
E14000872,,,,,,,,,,,,,
E14000873,,,,,,,,,,,,,
E14000874,,,,,,,,,,26.2,17.7,19.4,23.0
E14000875,,,,,,,,,,,,,
E14000876,,,,,,,,49.1,38.7,37.8,25.7,,
E14000877,,,,,,,,,,,,,
E14000878,16.3,,,,,,,,,32.6,,,
E14000879,,,,,,,,,,,,,
E14000880,12.5,19.7,,,,,,,,,,,
E14000881,10.5,14.9,14.4,14.0,15.3,,,,,,,,
E14000882,,19.7,20.1,19.2,15.1,,,,,,,46.0,
E14000883,13.5,16.6,15.5,25.2,21.2,17.1,,,,,,,
E14000884,,13.3,,,,17.2,14.8,,,,,,
E14000885,,,,,,,,,,,,,
E14000886,,,,,,,,,,,,,
E14000887,,,,,,,,,,,,,
E14000888,,,,,,,,,,,,,
E14000889,,,,,,,,,,,,,
E14000890,24.3,33.6,30.2,21.2,16.4,,,,,,,,
E14000891,,14.2,,,,,10.0,9.4,17.8,14.2,,,25.4
E14000892,,,,,,,,,,,,,
E14000893,,,,,,,,,,,,,
E14000894,,,,,,,,,,,,,
E14000895,,,,,,,,,,,,,
E14000896,,,,,,,,,,,,,
E14000897,27.0,18.8,12.1,20.3,10.3,12.7,,,,,,,
E14000898,,,,,,,,,,,22.9,21.5,18.1
E14000899,32.8,26.5,24.3,16.5,,,,,,,15.3,18.6,
E14000900,17.7,,,,,,,,,,,,
E14000901,,,,,,,,,,,,,
E14000902,,,,,,,,25.7,28.0,,,,
E14000903,16.9,22.3,23.7,18.8,18.3,,,,,,,,
E14000904,,,,,,,,,,,,,
E14000905,12.9,,,,,,,,,,,,
E14000906,,,,,,,,,,,,,
E14000907,,,,,,,,,,,,,
E14000908,38.5,,,,,,,,,,,,
E14000909,23.4,32.7,40.1,30.1,,,,,,,,,10.2
E14000910,,,,,,,,,,,,,
E14000911,22.7,21.1,,,,,24.7,24.8,,21.8,,,
E14000912,31.1,28.1,29.7,,,,,,,,,,
E14000913,,,28.7,,,22.9,,,,,,,
E14000914,30.8,21.1,,,,,,,,,,,13.2
E14000915,,,,,,,,,,,,,
E14000916,,,,,,,,,,,,,
E14000917,,,,,,,,,,,,,
E14000918,,,,,,,,,,,,,
E14000919,,22.4,24.7,24.7,27.9,,,,,,,,
E14000920,,,,,,,,,,,,,
E14000921,,,,35.7,,,,,,,,,
E14000922,,,,,,,,,,,,,
E14000923,,,,,,,,,,,,,
E14000924,,,,,,,,,,,,,
E14000925,,,,,,,,,,,,,
E14000926,,,,,,,,,,41.5,21.7,27.2,25.3
E14000927,,,32.3,,,,,,,,,,
E14000928,,,,,,,,,,,,,
E14000929,,,,,,,,,,,,,
E14000930,26.0,21.6,15.9,20.3,15.7,17.4,16.7,29.9,42.7,38.8,42.2,,
E14000931,15.8,13.8,15.5,,9.5,9.8,,,,,26.5,22.8,19.7
E14000932,,,,,,,,,,,,,
E14000933,,22.6,,36.3,29.7,,30.2,42.6,21.8,26.6,26.5,,
E14000934,,,,16.5,17.4,15.9,25.8,,,,,,
E14000935,,,,,,,,20.6,21.1,18.3,,,
E14000936,,,,,,,,,,,,,
E14000937,,,,,,44.3,,,,,,,
E14000938,,,20.0,23.3,22.5,,,,,,,,
E14000939,,,,,,,,,,,,,
E14000940,42.9,42.9,47.9,51.3,45.8,37.9,,,,,,,
E14000941,,,,,,,,,,,,,
E14000942,12.2,17.1,,,,,,,,,,,
E14000943,,,,,,,,39.5,,,,,
E14000944,32.8,33.5,27.2,18.0,19.6,16.8,,,30.7,32.8,39.7,28.0,18.3
E14000945,,,,,,,,,,,,,
E14000946,,,,,,,,,,,,,
E14000947,,,19.1,14.4,,9.2,,,,,,,
E14000948,,53.4,,,65.2,,,,,,,,
E14000949,,,,,,,,,,,,,
E14000950,18.4,29.2,50.0,46.0,,,,,,,,,
E14000951,,,,,,,,,,,,,
E14000952,,,,,,,,,,,,,
E14000953,,,,,,,,,,,,,
E14000954,,,,,,,,,,,,,
E14000955,,,,,,,,,,,,,
E14000956,,,,16.6,,,13.0,19.5,14.6,19.3,,,
E14000957,,11.1,10.2,,,,,,,,,,
E14000958,,,,,,,,,,,,,
E14000959,,,,,,,,,,,,,
E14000960,,,,,,,,,,,,,
E14000961,,23.1,,21.3,,,,,,,,,
E14000962,,,,,,,19.8,21.4,16.7,,,,
E14000963,12.8,13.9,21.0,20.4,14.1,,,,,,19.2,,
E14000964,,,,,,,,,,,,,
E14000965,,,,,,,,,,,,,
E14000966,,,,,,,,,,,,,
E14000967,,,,,,,,,,,,,
E14000968,23.1,,,,,,,,,,,,
E14000969,39.4,40.0,,,,,,32.7,,,46.4,57.6,65.5
E14000970,19.5,21.6,21.9,21.1,25.9,31.5,25.0,31.8,16.3,,,,
E14000971,25.2,21.4,20.8,8.6,10.5,10.7,,,,,,,
E14000972,,24.9,,,,,,,,,,,
E14000973,20.6,19.9,,,,,,,,,,,
E14000974,,,,,,,,,,,,,
E14000975,,,,,,,,,,,,,
E14000976,14.7,,,,,,,,,,,,
E14000977,,22.8,19.5,,,,,,,,,,
E14000978,,,,,,,,,,,,,
E14000979,,,,,,,,,,,,,
E14000980,,,,16.3,16.0,15.0,11.2,,,,,,
E14000981,,,,,,,,,,,,,
E14000982,,,,,,,,,,,,,
E14000983,,,,,,,,,,,,,
E14000984,19.9,,,,,,,,,,,,
E14000985,,,,,,,,,,,,,
E14000986,,,,,,,,,,,,,
E14000987,,,,,,,,,,,,,
E14000988,,,,,,,,,,,,,
E14000989,23.9,15.9,12.0,,,,,,,,,,
E14000990,37.8,36.0,30.0,,,,,,,,,,
E14000991,,,,,,,,,,,,,
E14000992,18.9,20.0,16.0,16.9,19.9,,,,,,,,
E14000993,,,,,,,,,,,,,
E14000994,,,,,,,,,,,,,
E14000995,22.5,18.3,30.1,27.4,21.7,25.5,18.3,7.2,17.4,23.5,16.7,16.9,6.8
E14000996,,,,,,,,,,,,,
E14000997,,,,,,,,,,,,,
E14000998,,,,,,,,,,,,,
E14000999,,,6.9,5.5,,,,,,,,,
E14001000,,,,,,,,,,,,,
E14001001,,,,,,,,,,,,,
E14001002,,,,,,,,,,,,,
E14001003,,,,,,,,,,,,,
E14001004,,,,,,,,,,,,,
E14001005,,23.1,20.7,29.7,,,,,,,,,
E14001006,27.7,35.0,33.2,31.3,23.8,20.8,25.3,17.7,20.4,,,,
E14001007,,,,,,,29.7,33.5,,43.9,,,
E14001008,,,,,,,,,,,,,
E14001009,,,,,,,,,,,,,
E14001010,,,,,,,,,,,,,
E14001011,,,,,,,,,,,,,
E14001012,18.1,23.8,26.8,,,,,,,,,,
E14001013,,,,,,,34.6,45.1,49.7,77.9,,,
E14001014,36.4,29.5,19.6,,,,25.4,17.7,24.5,27.7,,,
E14001015,,,,,,,,,,,,,
E14001016,,,,,,,,,,,,,
E14001017,,,,,,,,,,,,,
E14001018,13.8,23.4,25.2,21.4,,,,,,,,,
E14001019,,,,10.6,13.4,16.5,13.5,,,,,,
E14001020,18.4,14.5,15.3,,,,,,,,20.4,16.5,17.8
E14001021,,,21.3,28.3,,,,,,,,,
E14001022,40.2,40.2,,,,,,,,,,,
E14001023,16.2,,,,,14.8,24.4,,,,,,
E14001024,8.5,11.8,14.7,11.8,15.0,,,,,,,,
E14001025,,,,,,,,,,,,,
E14001026,,,,,,,,,,,,,
E14001027,,15.7,,,,,,,,,,,
E14001028,,,,,17.8,,,,,,,,
E14001029,,,,,28.9,,,,,,,,
E14001030,,,,,,,,18.2,19.2,,,,
E14001031,,,20.0,22.6,,,,,,,,,
E14001032,,,,,,,,,,,,,
E14001033,,,,,,,,,,,,,
E14001034,,,,,,,,,,,,,
E14001035,,,13.2,16.6,15.9,,,,,,,,
E14001036,,,,,,,,,,,,,
E14001037,,,,,,,,,,,,,
E14001038,,,,,,,,,14.5,14.5,15.5,17.5,
E14001039,,,,,,,,22.8,17.3,,,,
E14001040,,,,21.6,26.9,22.1,,,,47.5,46.4,54.7,49.5
E14001041,,,,,,,,,,,,,
E14001042,23.1,23.1,29.9,23.3,23.6,22.2,9.7,15.6,8.3,,,,
E14001043,,,,,,,,,,,,,
E14001044,,,,,,,,37.5,58.5,,,,
E14001045,,,,,,,,,,,,,
E14001046,,,,,,,,,,,,,
E14001047,,,,,,,,,,,,,
E14001048,,,,,,,,,,,,,
E14001049,,,,,,,,,72.4,,,,
E14001050,,,,,,,28.7,46.1,53.5,41.9,,,
E14001051,,,,,,,,,,,,,
E14001052,,,,,,,,,,,,,
E14001053,,,,,,,,,,,,21.9,
E14001054,,,,,,,,39.7,36.5,38.8,37.4,,
E14001055,,,,,,,,,,,,,
E14001056,37.2,,23.0,,,37.4,,,,,,,
E14001057,,,,,,,,,,,,,
E14001058,,,,,,,,,,,,,
E14001059,,21.9,33.0,32.2,40.9,27.2,,,,,,,
E14001060,,,,,,,,,,,,,
E14001061,,,,,,,,,,,,,
E14001062,,,,,,,,,,,15.7,15.1,
E14001063,,,,,,,,,,,,,
E14001064,12.4,20.1,26.7,20.4,20.1,13.5,25.1,16.8,27.9,23.1,27.6,27.5,
E14001065,20.7,19.4,20.9,,,,,,,,,,
E14001066,,,,,,17.7,,,,,,,
E14001067,,,,,,,,,,,,,
E14001068,,,,,,,,,,,,,36.3
E14001069,,32.2,22.4,24.9,,,,,,,,,
E14001070,,,24.5,21.9,28.8,20.1,,,,,,,
E14001071,,,,,,,,,,,,,
E14001072,,,,,,,,,,,,,
E14001073,,,,,,,,,,,,,
E14001074,,,,,,,,,,,,,
E14001075,,7.8,13.0,11.0,21.3,18.8,,,,,16.0,28.6,
E14001076,,,,,,,,,,,,,
E14001077,,,,,,,,,,,,,
E14001078,,,27.8,,,,,,,,,,
E14001079,,,,,,,,,,,,,
E14001080,,,,,18.5,,,,,,,,
E14001081,,,,,,,,,,,,,
E14001082,,,,,,,,,,,,,
E14001083,,,42.0,38.2,33.7,35.7,,,,,,74.1,
E14001084,,,43.8,,,,,,,,,,
E14001085,,,,,,,,,,,,,
E14001086,31.4,32.7,,,,,,,,23.1,,,
E14001087,,,,,,14.3,15.7,16.4,,,,,
E14001088,,,,,,,,,,,,,
E14001089,19.1,21.8,22.2,21.7,31.3,,,,,,,,
E14001090,,,,,,,,,,,,,
E14001091,,,15.6,15.2,17.0,29.8,,,,,,,
E14001092,,,,,,,33.5,,,,,,
E14001093,,,,,,37.1,39.8,,36.7,,,,
E14001094,,48.2,46.6,44.2,53.3,49.6,,100.0,42.2,48.7,48.0,,
E14001095,,,,,,,,,,,,,
E14001096,31.8,24.9,30.7,33.4,,,,25.2,32.3,41.0,,,
E14001097,,,,,,,,,,,,,
E14001098,,,,,,,,,,25.1,,51.3,48.5
E14001099,,,,,15.7,17.5,13.9,,,,,,
E14001100,,,,80.3,,82.6,73.6,57.2,39.0,,,,
E14001101,23.1,24.3,,,,,42.6,33.1,32.5,30.5,,34.9,27.1
E14001102,25.9,25.5,16.2,12.9,12.0,12.7,,,,,,,24.5
