quarter_index,quarter_start,people_age_16_to_24_neet_total_sa,people_age_16_to_24_neet_unemployed_sa,people_age_16_to_24_neet_economically_inactive_sa,people_age_16_to_24_population,people_age_16_to_24_neet_total_rate_sa,people_age_16_to_24_neet_unemployed_rate_sa,people_age_16_to_24_neet_economically_inactive_rate_sa,men_age_16_to_24_neet_total_sa,men_age_16_to_24_neet_unemployed_sa,men_age_16_to_24_neet_economically_inactive_sa,men_age_16_to_24_population,men_age_16_to_24_neet_total_rate_sa,men_age_16_to_24_neet_unemployed_rate_sa,men_age_16_to_24_neet_economically_inactive_rate_sa,women_age_16_to_24_neet_total_sa,women_age_16_to_24_neet_unemployed_sa,women_age_16_to_24_neet_economically_inactive_sa,women_age_16_to_24_population,women_age_16_to_24_neet_total_rate_sa,women_age_16_to_24_neet_unemployed_rate_sa,women_age_16_to_24_neet_economically_inactive_rate_sa,quarter_label,quarter_axis_label
16,2005-10-01,1003309.9597883904,430760.0297188063,572549.9300695842,6968374.0,14.398049814610848,6.181643375037078,8.216406439573769,442573.0552740877,276252.6651521782,166320.3901219095,3488512.0,12.686585434537353,7.918925465991752,4.7676599685456,560736.9045143026,154507.36456662804,406229.5399476746,3479862.0,16.113768434331664,4.440042868557088,11.67372556577458,Oct-Dec 2005,Oct-Dec\n2005
17,2006-01-01,984064.7907113692,403539.1027958046,580525.6879155645,6992414.0,14.073319896553166,5.771098547594645,8.302221348958522,423880.08155987074,250514.92001361735,173365.16154625337,3500957.0,12.107548923333557,7.15561259431685,4.951936329016705,560184.7091514984,153024.18278218727,407160.5263693112,3491457.0,16.044439589303217,4.382817339070401,11.661622250232815,Jan-Mar 2006,Jan-Mar\n2006
18,2006-04-01,1021538.7232947624,448522.27624014777,573016.4470546148,7016368.0,14.559366374380057,6.392513565995224,8.166852808384833,461318.305352717,279397.7802620383,181920.5250906787,3513350.0,13.130439761273912,7.952460764285889,5.177978996988023,560220.4179420456,169124.49597810948,391095.9219639361,3503018.0,15.99250754469562,4.827965370948979,11.16454217374664,Apr-Jun 2006,Apr-Jun\n2006
19,2006-07-01,1005929.199937571,445932.4555942026,559996.7443433683,7045916.0,14.276769690946796,6.328949360086078,7.947820330860719,428293.3520367792,273391.767600802,154901.58443597722,3529984.0,12.133011142168892,7.744844384586502,4.388166757582392,577635.8479007918,172540.6879934006,405095.1599073912,3515932.0,16.429096123041965,4.907395478450682,11.521700644591284,Jul-Sep 2006,Jul-Sep\n2006
20,2006-10-01,978938.8680692984,414958.3175127061,563980.5505565923,7078427.0,13.829892828862944,5.862295641569887,7.967597187293057,425567.9695442957,248474.80287478765,177093.16666950803,3548958.0,11.991349842525487,7.001345264575902,4.990004577949585,553370.8985250026,166483.51463791844,386887.38388708426,3529469.0,15.678587870441776,4.716956421431055,10.961631449010724,Oct-Dec 2006,Oct-Dec\n2006
21,2007-01-01,1000350.8649591104,442815.98363869946,557534.8813204111,7110781.0,14.06808710546859,6.227388856986306,7.840698248482285,435131.3157871886,276045.05720553524,159086.25858165335,3567799.0,12.19607146555029,7.73712468683172,4.45894677871857,565219.5491719219,166770.92643316422,398448.6227387577,3542982.0,15.95321537540755,4.707078004719308,11.246137370688242,Jan-Mar 2007,Jan-Mar\n2007
22,2007-04-01,1004191.146454427,438791.72815247474,565399.4183019523,7143214.0,14.057973713995228,6.14277730098069,7.915196413014539,438518.8911013123,270936.460922042,167582.43017927028,3586678.0,12.226324501427568,7.5539666767421565,4.672357824685413,565672.2553531147,167855.2672304327,397816.988122682,3556536.0,15.90514633770373,4.719627953447756,11.185518384255971,Apr-Jun 2007,Apr-Jun\n2007
23,2007-07-01,983058.4554681577,413265.49082126,569792.9646468975,7166932.0,13.716586894757166,5.766281734238026,7.950305160519139,417036.3096830593,250953.1506502767,166083.1590327826,3597711.0,11.591712332732095,6.975356015262946,4.616356317469152,566022.1457850983,162312.34017098334,403709.805614115,3569221.0,15.858422490092329,4.547556460386828,11.3108660297055,Jul-Sep 2007,Jul-Sep\n2007
24,2007-10-01,964893.8620835568,413765.1619194927,551128.7001640641,7185999.0,13.42741436623574,5.75793514470977,7.669479221525971,407683.6553245152,252325.5811707228,155358.07415379235,3604482.0,11.310464452992557,7.000328512411016,4.310135940581541,557210.2067590415,161439.58074876983,395770.6260102717,3581517.0,15.557938347327166,4.507575442159561,11.050362905167606,Oct-Dec 2007,Oct-Dec\n2007
25,2008-01-01,965483.2542019128,414831.21980720817,550652.0343947047,7205212.0,13.399789682828386,5.757377018291872,7.642412664536515,405607.79094595055,256038.53401862687,149569.25692732364,3611415.0,11.231270594654742,7.089701239503819,4.141569355150921,559875.4632559624,158792.68578858126,401082.777467381,3593797.0,15.578939579947404,4.418521296238526,11.160418283708877,Jan-Mar 2008,Jan-Mar\n2008
26,2008-04-01,998257.5327560898,433198.3371950262,565059.1955610636,7224304.0,13.81804437847701,5.996402382776614,7.821641995700397,419941.03643192427,263191.8523681784,156749.18406374584,3618151.0,11.60650941411578,7.274208632204085,4.332300781911695,578316.4963241655,170006.4848268478,408310.01149731776,3606153.0,16.03693732141053,4.71434475539024,11.322592566020292,Apr-Jun 2008,Apr-Jun\n2008
27,2008-07-01,1033817.7925594002,470426.99612593936,563390.7964334609,7234380.0,14.290344059330588,6.502658087160743,7.787685972169846,451931.6553921721,293005.93113994465,158925.72425222746,3621574.0,12.47887397557449,8.090568662684916,4.388305312889574,581886.1371672282,177421.06498599472,404465.0721812334,3612806.0,16.10621044050603,4.910893775807356,11.195316664698668,Jul-Sep 2008,Jul-Sep\n2008
28,2008-10-01,1025182.6513221568,505795.81957451394,519386.83174764266,7239831.0,14.160311909520493,6.986293182458457,7.174018727062036,443583.9024038042,316736.84740906744,126847.0549947368,3623049.0,12.243386782894856,8.742273356199915,3.5011134266949413,581598.7489183523,189058.97216544647,392539.77675290586,3616782.0,16.080558599283904,5.227270323880357,10.853288275403546,Oct-Dec 2008,Oct-Dec\n2008
29,2009-01-01,1096605.523454458,561407.8966608495,535197.6267936085,7245338.0,15.13532596346034,7.748539773587505,7.386786189872834,499297.39238386205,349390.09762507374,149907.2947587883,3624545.0,13.775450225721078,9.6395574513511,4.135892774369978,597308.1310705959,212017.7990357757,385290.3320348202,3620793.0,16.496610854876153,5.855562553169311,10.641048301706842,Jan-Mar 2009,Jan-Mar\n2009
30,2009-04-01,1127756.1306498982,573373.3763688598,554382.7542810383,7250999.0,15.553113862653936,7.907508694579324,7.64560516807461,517410.1024252001,359320.38353363593,158089.71889156415,3626180.0,14.268737415826024,9.909060872147435,4.359676543678587,610346.028224698,214052.9928352239,396293.0353894741,3624819.0,16.83797255048316,5.905205000173082,10.932767550310077,Apr-Jun 2009,Apr-Jun\n2009
31,2009-07-01,1121599.3199039106,565054.579101038,556544.7408028727,7262538.0,15.443627556976786,7.780400998948825,7.663226558027961,510007.88027431216,352233.9015402582,157773.97873405396,3634507.0,14.032381290621045,9.691380468940029,4.341000821681014,611591.4396295985,212820.67756077985,398770.7620688187,3628031.0,16.85739288417322,5.866010449215562,10.99138243495766,Jul-Sep 2009,Jul-Sep\n2009
32,2009-10-01,1082882.9267423723,542482.186117362,540400.7406250103,7277087.0,14.880719809208992,7.454661269232619,7.426058539976371,479947.8826549125,338896.8416070598,141051.04104785272,3646188.0,13.163004284335106,9.294552052912792,3.868452231422316,602935.0440874598,203585.3445103021,399349.6995771576,3630899.0,16.60566829557803,5.6070230681245095,10.99864522745352,Oct-Dec 2009,Oct-Dec\n2009
33,2010-01-01,1127920.372567398,567067.6485590287,560852.7240083693,7291831.0,15.46827364166007,7.776752485884941,7.69152115577513,507633.4778410081,356413.4838473538,151219.9939936543,3657866.0,13.877858779982866,9.743754523740176,4.134104256242691,620286.89472639,210654.16471167505,409632.7300147151,3633965.0,17.069148842280814,5.796813252512751,11.272335589768064,Jan-Mar 2010,Jan-Mar\n2010
34,2010-04-01,1073826.5508218738,539685.0308839668,534141.5199379069,7306442.0,14.696983166661337,7.386427359362695,7.310555807298639,483982.9664643767,333134.57698245306,150848.3894819236,3669669.0,13.188736271973758,9.078055186515543,4.110681085458214,589843.584357497,206550.4539015138,383293.1304559832,3636773.0,16.218872730233564,5.679498112791582,10.53937461744198,Apr-Jun 2010,Apr-Jun\n2010
35,2010-07-01,1119534.0587843023,565062.6125538824,554471.4462304198,7321531.0,15.29098297588718,7.717820392399928,7.573162583487249,495708.5549075305,334117.14607519435,161591.40883233614,3680762.0,13.467552504278476,9.077390661911702,4.390161842366775,623825.5038767718,230945.4664786881,392880.03739808366,3640769.0,17.13444340678499,6.343315559945937,10.79112784683905,Jul-Sep 2010,Jul-Sep\n2010
