quarter_index,lms_period,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,quarter_label
16,1996-05-01,3060.0,861.0,570.0,144.0,620.0,1139.0,72.0,40.1,15.7,14.3,14.6,53.1,2144.0,4251.0,Apr-Jun 1996
17,1996-08-01,3067.0,818.0,569.0,138.0,624.0,1153.0,72.0,38.8,15.7,14.5,14.6,54.7,2110.0,4260.0,Jul-Sep 1996
18,1996-11-01,3029.0,868.0,550.0,157.0,622.0,1123.0,72.1,40.4,15.4,15.3,14.8,52.3,2147.0,4201.0,Oct-Dec 1996
19,1997-02-01,3034.0,886.0,518.0,150.0,614.0,1125.0,72.8,41.0,14.6,14.5,14.7,52.1,2161.0,4166.0,Jan-Mar 1997
20,1997-05-01,3059.0,874.0,494.0,170.0,574.0,1134.0,74.1,40.1,13.9,16.3,13.9,52.1,2178.0,4127.0,Apr-Jun 1997
21,1997-08-01,3007.0,899.0,482.0,154.0,553.0,1193.0,74.4,40.0,13.8,14.7,13.7,53.1,2247.0,4042.0,Jul-Sep 1997
22,1997-11-01,3057.0,878.0,460.0,147.0,536.0,1197.0,75.4,39.5,13.1,14.3,13.2,53.9,2222.0,4053.0,Oct-Dec 1997
23,1998-02-01,3022.0,877.0,459.0,143.0,551.0,1210.0,74.9,39.3,13.2,14.0,13.7,54.3,2230.0,4033.0,Jan-Mar 1998
24,1998-05-01,2996.0,893.0,450.0,159.0,559.0,1192.0,74.8,39.8,13.1,15.1,14.0,53.1,2245.0,4005.0,Apr-Jun 1998
25,1998-08-01,2979.0,952.0,442.0,170.0,507.0,1196.0,75.8,41.1,12.9,15.2,12.9,51.6,2318.0,3928.0,Jul-Sep 1998
26,1998-11-01,2950.0,941.0,465.0,149.0,515.0,1227.0,75.1,40.6,13.6,13.7,13.1,52.9,2317.0,3930.0,Oct-Dec 1998
27,1999-02-01,2991.0,918.0,438.0,167.0,516.0,1217.0,75.8,39.9,12.8,15.4,13.1,52.9,2302.0,3945.0,Jan-Mar 1999
28,1999-05-01,2965.0,911.0,431.0,160.0,539.0,1242.0,75.4,39.4,12.7,15.0,13.7,53.7,2314.0,3935.0,Apr-Jun 1999
29,1999-08-01,2993.0,937.0,414.0,151.0,546.0,1210.0,75.7,40.8,12.1,13.9,13.8,52.7,2298.0,3954.0,Jul-Sep 1999
30,1999-11-01,3033.0,911.0,411.0,151.0,566.0,1185.0,75.6,40.5,11.9,14.2,14.1,52.8,2246.0,4009.0,Oct-Dec 1999
31,2000-02-01,3006.0,925.0,413.0,169.0,565.0,1183.0,75.5,40.6,12.1,15.4,14.2,52.0,2276.0,3984.0,Jan-Mar 2000
32,2000-05-01,2965.0,955.0,406.0,146.0,564.0,1228.0,75.4,41.0,12.0,13.3,14.3,52.7,2330.0,3935.0,Apr-Jun 2000
33,2000-08-01,2989.0,956.0,401.0,145.0,567.0,1228.0,75.5,41.0,11.8,13.1,14.3,52.7,2329.0,3956.0,Jul-Sep 2000
34,2000-11-01,2977.0,927.0,395.0,154.0,575.0,1288.0,75.4,39.1,11.7,14.2,14.6,54.4,2368.0,3946.0,Oct-Dec 2000
35,2001-02-01,2989.0,953.0,402.0,134.0,581.0,1285.0,75.3,40.2,11.8,12.4,14.6,54.2,2373.0,3971.0,Jan-Mar 2001
36,2001-05-01,3044.0,952.0,393.0,134.0,563.0,1287.0,76.1,40.1,11.4,12.4,14.1,54.2,2373.0,4000.0,Apr-Jun 2001
37,2001-08-01,3030.0,962.0,392.0,150.0,569.0,1299.0,75.9,39.9,11.4,13.4,14.3,53.9,2411.0,3991.0,Jul-Sep 2001
38,2001-11-01,3077.0,951.0,434.0,134.0,555.0,1287.0,75.7,40.1,12.4,12.3,13.7,54.3,2372.0,4066.0,Oct-Dec 2001
39,2002-02-01,3077.0,942.0,433.0,128.0,584.0,1308.0,75.2,39.6,12.3,12.0,14.3,55.0,2379.0,4095.0,Jan-Mar 2002
40,2002-05-01,3093.0,953.0,416.0,133.0,604.0,1310.0,75.2,39.8,11.9,12.2,14.7,54.7,2397.0,4112.0,Apr-Jun 2002
41,2002-08-01,3087.0,955.0,413.0,149.0,618.0,1323.0,75.0,39.3,11.8,13.5,15.0,54.5,2427.0,4117.0,Jul-Sep 2002
42,2002-11-01,3080.0,1003.0,411.0,159.0,612.0,1315.0,75.1,40.5,11.8,13.7,14.9,53.1,2476.0,4104.0,Oct-Dec 2002
43,2003-02-01,3060.0,988.0,447.0,146.0,632.0,1343.0,73.9,39.9,12.7,12.9,15.3,54.2,2477.0,4139.0,Jan-Mar 2003
44,2003-05-01,3081.0,962.0,423.0,152.0,648.0,1385.0,74.2,38.5,12.1,13.6,15.6,55.4,2500.0,4151.0,Apr-Jun 2003
45,2003-08-01,3131.0,941.0,420.0,158.0,649.0,1387.0,74.5,37.9,11.8,14.4,15.5,55.8,2486.0,4201.0,Jul-Sep 2003
46,2003-11-01,3161.0,958.0,406.0,145.0,648.0,1405.0,75.0,38.2,11.4,13.2,15.4,56.0,2509.0,4215.0,Oct-Dec 2003
47,2004-02-01,3189.0,977.0,405.0,167.0,619.0,1404.0,75.7,38.4,11.3,14.6,14.7,55.1,2547.0,4213.0,Jan-Mar 2004
48,2004-05-01,3169.0,980.0,410.0,163.0,653.0,1422.0,74.9,38.2,11.5,14.2,15.4,55.4,2565.0,4232.0,Apr-Jun 2004
49,2004-08-01,3174.0,979.0,442.0,145.0,668.0,1420.0,74.1,38.5,12.2,12.9,15.6,55.8,2545.0,4284.0,Jul-Sep 2004
50,2004-11-01,3169.0,999.0,443.0,152.0,675.0,1422.0,73.9,38.8,12.3,13.2,15.7,55.3,2573.0,4286.0,Oct-Dec 2004
51,2005-02-01,3185.0,977.0,429.0,155.0,678.0,1465.0,74.2,37.6,11.9,13.7,15.8,56.4,2596.0,4292.0,Jan-Mar 2005
52,2005-05-01,3165.0,977.0,448.0,159.0,700.0,1470.0,73.4,37.5,12.4,14.0,16.2,56.4,2606.0,4313.0,Apr-Jun 2005
53,2005-08-01,3153.0,973.0,457.0,146.0,694.0,1522.0,73.3,36.8,12.6,13.1,16.1,57.6,2641.0,4303.0,Jul-Sep 2005
54,2005-11-01,3113.0,938.0,488.0,168.0,720.0,1542.0,72.1,35.4,13.5,15.2,16.7,58.2,2647.0,4321.0,Oct-Dec 2005
55,2006-02-01,3152.0,968.0,466.0,185.0,724.0,1498.0,72.6,36.5,12.9,16.0,16.7,56.5,2651.0,4342.0,Jan-Mar 2006
56,2006-05-01,3132.0,992.0,506.0,181.0,711.0,1494.0,72.0,37.2,13.9,15.5,16.4,56.0,2667.0,4349.0,Apr-Jun 2006
57,2006-08-01,3166.0,982.0,517.0,176.0,698.0,1508.0,72.3,36.8,14.0,15.2,15.9,56.6,2665.0,4381.0,Jul-Sep 2006
58,2006-11-01,3169.0,995.0,483.0,203.0,738.0,1490.0,72.2,37.0,13.2,17.0,16.8,55.4,2689.0,4390.0,Oct-Dec 2006
59,2007-02-01,3196.0,939.0,515.0,187.0,718.0,1555.0,72.2,35.0,13.9,16.6,16.2,58.0,2682.0,4429.0,Jan-Mar 2007
60,2007-05-01,3163.0,942.0,514.0,194.0,716.0,1615.0,72.0,34.2,14.0,17.1,16.3,58.7,2750.0,4393.0,Apr-Jun 2007
61,2007-08-01,3181.0,950.0,481.0,219.0,721.0,1616.0,72.6,34.1,13.1,18.7,16.4,58.0,2784.0,4383.0,Jul-Sep 2007
62,2007-11-01,3223.0,955.0,480.0,193.0,700.0,1635.0,73.2,34.3,13.0,16.8,15.9,58.8,2783.0,4403.0,Oct-Dec 2007
63,2008-02-01,3190.0,984.0,479.0,198.0,712.0,1642.0,72.8,34.9,13.1,16.7,16.3,58.1,2824.0,4381.0,Jan-Mar 2008
64,2008-05-01,3165.0,968.0,502.0,203.0,715.0,1671.0,72.2,34.1,13.7,17.3,16.3,58.8,2841.0,4383.0,Apr-Jun 2008
65,2008-08-01,3161.0,935.0,539.0,215.0,707.0,1677.0,71.7,33.1,14.6,18.7,16.0,59.3,2828.0,4407.0,Jul-Sep 2008
66,2008-11-01,3081.0,950.0,583.0,215.0,663.0,1747.0,71.2,32.6,15.9,18.5,15.3,60.0,2913.0,4327.0,Oct-Dec 2008
67,2009-02-01,3002.0,912.0,642.0,222.0,691.0,1777.0,69.3,31.3,17.6,19.6,15.9,61.1,2910.0,4335.0,Jan-Mar 2009
68,2009-05-01,2932.0,878.0,666.0,250.0,726.0,1798.0,67.8,30.0,18.5,22.2,16.8,61.4,2927.0,4324.0,Apr-Jun 2009
69,2009-08-01,2826.0,900.0,657.0,277.0,719.0,1885.0,67.3,29.4,18.9,23.5,17.1,61.6,3061.0,4202.0,Jul-Sep 2009
70,2009-11-01,2798.0,913.0,632.0,269.0,697.0,1968.0,67.8,29.0,18.4,22.7,16.9,62.5,3150.0,4127.0,Oct-Dec 2009
71,2010-02-01,2785.0,905.0,660.0,277.0,733.0,1932.0,66.7,29.1,19.2,23.5,17.5,62.0,3114.0,4178.0,Jan-Mar 2010
72,2010-05-01,2817.0,920.0,626.0,301.0,701.0,1941.0,68.0,29.1,18.2,24.7,16.9,61.4,3163.0,4144.0,Apr-Jun 2010
73,2010-08-01,2867.0,919.0,642.0,265.0,734.0,1895.0,67.6,29.8,18.3,22.4,17.3,61.6,3079.0,4242.0,Jul-Sep 2010
74,2010-11-01,2808.0,895.0,677.0,282.0,741.0,1934.0,66.4,28.8,19.4,24.0,17.5,62.2,3111.0,4226.0,Oct-Dec 2010
75,2011-02-01,2852.0,856.0,650.0,293.0,699.0,2002.0,67.9,27.2,18.6,25.5,16.6,63.5,3151.0,4201.0,Jan-Mar 2011
76,2011-05-01,2864.0,857.0,677.0,290.0,681.0,1999.0,67.8,27.3,19.1,25.3,16.1,63.5,3145.0,4222.0,Apr-Jun 2011
77,2011-08-01,2799.0,825.0,738.0,303.0,686.0,2020.0,66.3,26.2,20.9,26.8,16.3,64.2,3147.0,4222.0,Jul-Sep 2011
78,2011-11-01,2774.0,857.0,728.0,314.0,679.0,2015.0,66.4,26.9,20.8,26.8,16.2,63.3,3185.0,4180.0,Oct-Dec 2011
79,2012-02-01,2766.0,884.0,705.0,321.0,676.0,2010.0,66.7,27.5,20.3,26.6,16.3,62.5,3214.0,4147.0,Jan-Mar 2012
80,2012-05-01,2812.0,904.0,711.0,308.0,682.0,1939.0,66.9,28.7,20.2,25.4,16.2,61.5,3151.0,4205.0,Apr-Jun 2012
81,2012-08-01,2836.0,876.0,657.0,328.0,659.0,1991.0,68.3,27.4,18.8,27.3,15.9,62.3,3195.0,4153.0,Jul-Sep 2012
82,2012-11-01,2885.0,840.0,655.0,336.0,647.0,1975.0,68.9,26.6,18.5,28.6,15.5,62.7,3151.0,4187.0,Oct-Dec 2012
83,2013-02-01,2823.0,858.0,671.0,294.0,646.0,2034.0,68.2,26.9,19.2,25.5,15.6,63.8,3187.0,4140.0,Jan-Mar 2013
84,2013-05-01,2756.0,861.0,681.0,303.0,629.0,2088.0,67.8,26.5,19.8,26.0,15.5,64.2,3252.0,4065.0,Apr-Jun 2013
85,2013-08-01,2848.0,826.0,672.0,314.0,628.0,2020.0,68.7,26.1,19.1,27.6,15.1,63.9,3160.0,4149.0,Jul-Sep 2013
86,2013-11-01,2883.0,824.0,638.0,293.0,620.0,2044.0,69.6,26.1,18.1,26.2,15.0,64.7,3161.0,4141.0,Oct-Dec 2013
87,2014-02-01,2894.0,832.0,575.0,291.0,619.0,2084.0,70.8,26.0,16.6,25.9,15.1,65.0,3207.0,4088.0,Jan-Mar 2014
88,2014-05-01,2963.0,841.0,498.0,263.0,643.0,2080.0,72.2,26.4,14.4,23.9,15.7,65.3,3184.0,4104.0,Apr-Jun 2014
89,2014-08-01,2950.0,867.0,496.0,252.0,639.0,2077.0,72.2,27.1,14.4,22.5,15.6,65.0,3197.0,4085.0,Jul-Sep 2014
90,2014-11-01,2959.0,866.0,502.0,249.0,645.0,2054.0,72.1,27.3,14.5,22.3,15.7,64.8,3169.0,4106.0,Oct-Dec 2014
91,2015-02-01,2983.0,885.0,476.0,254.0,641.0,2029.0,72.7,27.9,13.8,22.3,15.6,64.0,3169.0,4100.0,Jan-Mar 2015
92,2015-05-01,2983.0,900.0,467.0,257.0,603.0,2053.0,73.6,28.0,13.5,22.2,14.9,64.0,3209.0,4053.0,Apr-Jun 2015
93,2015-08-01,3003.0,967.0,431.0,226.0,605.0,2016.0,74.3,30.1,12.6,18.9,15.0,62.8,3209.0,4039.0,Jul-Sep 2015
94,2015-11-01,2989.0,973.0,408.0,217.0,605.0,2038.0,74.7,30.1,12.0,18.2,15.1,63.1,3228.0,4002.0,Oct-Dec 2015
95,2016-02-01,2999.0,953.0,415.0,212.0,628.0,2007.0,74.2,30.0,12.1,18.2,15.5,63.3,3172.0,4041.0,Jan-Mar 2016
96,2016-05-01,3006.0,928.0,410.0,208.0,608.0,2035.0,74.7,29.3,12.0,18.3,15.1,64.2,3171.0,4024.0,Apr-Jun 2016
97,2016-08-01,2984.0,922.0,400.0,197.0,625.0,2043.0,74.4,29.2,11.8,17.6,15.6,64.6,3163.0,4009.0,Jul-Sep 2016
98,2016-11-01,3003.0,925.0,364.0,198.0,631.0,2024.0,75.1,29.4,10.8,17.6,15.8,64.3,3148.0,3998.0,Oct-Dec 2016
99,2017-02-01,3010.0,911.0,361.0,195.0,601.0,2042.0,75.8,28.9,10.7,17.7,15.1,64.9,3148.0,3972.0,Jan-Mar 2017
100,2017-05-01,3013.0,879.0,357.0,188.0,603.0,2054.0,75.8,28.2,10.6,17.6,15.2,65.8,3121.0,3973.0,Apr-Jun 2017
101,2017-08-01,2959.0,855.0,345.0,178.0,640.0,2094.0,75.0,27.3,10.4,17.2,16.2,67.0,3126.0,3944.0,Jul-Sep 2017
102,2017-11-01,2951.0,863.0,361.0,180.0,640.0,2053.0,74.7,27.9,10.9,17.3,16.2,66.3,3096.0,3951.0,Oct-Dec 2017
103,2018-02-01,2989.0,859.0,349.0,174.0,653.0,2000.0,74.9,28.3,10.5,16.8,16.4,65.9,3033.0,3991.0,Jan-Mar 2018
104,2018-05-01,2944.0,891.0,327.0,163.0,648.0,2028.0,75.1,28.9,10.0,15.5,16.5,65.8,3083.0,3918.0,Apr-Jun 2018
105,2018-08-01,2920.0,881.0,307.0,170.0,635.0,2065.0,75.6,28.3,9.5,16.2,16.4,66.3,3116.0,3862.0,Jul-Sep 2018
106,2018-11-01,2950.0,880.0,344.0,166.0,608.0,2010.0,75.6,28.8,10.4,15.9,15.6,65.8,3056.0,3901.0,Oct-Dec 2018
107,2019-02-01,2950.0,889.0,330.0,137.0,603.0,2027.0,76.0,29.1,10.1,13.3,15.5,66.4,3052.0,3883.0,Jan-Mar 2019
108,2019-05-01,2935.0,875.0,356.0,147.0,609.0,1993.0,75.3,29.0,10.8,14.3,15.6,66.1,3014.0,3900.0,Apr-Jun 2019
109,2019-08-01,2850.0,859.0,353.0,147.0,644.0,2046.0,74.1,28.1,11.0,14.6,16.7,67.0,3053.0,3847.0,Jul-Sep 2019
110,2019-11-01,2930.0,860.0,339.0,141.0,622.0,1996.0,75.3,28.7,10.4,14.1,16.0,66.6,2998.0,3891.0,Oct-Dec 2019
111,2020-02-01,2863.0,929.0,356.0,175.0,633.0,1917.0,74.3,30.8,11.1,15.9,16.4,63.5,3022.0,3852.0,Jan-Mar 2020
112,2020-05-01,2827.0,840.0,364.0,186.0,729.0,1906.0,72.1,28.6,11.4,18.2,18.6,65.0,2932.0,3920.0,Apr-Jun 2020
113,2020-08-01,2647.0,833.0,407.0,202.0,580.0,2181.0,72.8,25.9,13.3,19.5,16.0,67.8,3216.0,3634.0,Jul-Sep 2020
114,2020-11-01,2687.0,774.0,405.0,193.0,594.0,2180.0,72.9,24.6,13.1,20.0,16.1,69.3,3147.0,3686.0,Oct-Dec 2020
115,2021-02-01,2685.0,754.0,370.0,175.0,586.0,2248.0,73.7,23.7,12.1,18.8,16.1,70.8,3176.0,3640.0,Jan-Mar 2021
116,2021-05-01,2723.0,802.0,320.0,206.0,541.0,2213.0,76.0,24.9,10.5,20.4,15.1,68.7,3221.0,3585.0,Apr-Jun 2021
117,2021-08-01,2687.0,927.0,303.0,174.0,596.0,2129.0,74.9,28.7,10.1,15.8,16.6,65.9,3229.0,3586.0,Jul-Sep 2021
118,2021-11-01,2690.0,1007.0,294.0,166.0,618.0,2037.0,74.7,31.4,9.9,14.2,17.2,63.4,3211.0,3603.0,Oct-Dec 2021
119,2022-02-01,2752.0,955.0,279.0,159.0,602.0,2070.0,75.8,30.0,9.2,14.3,16.6,65.0,3183.0,3633.0,Jan-Mar 2022
120,2022-05-01,2782.0,925.0,269.0,160.0,618.0,2069.0,75.8,29.3,8.8,14.8,16.8,65.6,3154.0,3669.0,Apr-Jun 2022
121,2022-08-01,2752.0,942.0,253.0,147.0,634.0,2113.0,75.6,29.4,8.4,13.5,17.4,66.0,3202.0,3638.0,Jul-Sep 2022
122,2022-11-01,2729.0,971.0,321.0,150.0,680.0,1986.0,73.2,31.3,10.5,13.4,18.2,63.9,3108.0,3730.0,Oct-Dec 2022
123,2023-02-01,2834.0,964.0,331.0,152.0,652.0,1909.0,74.3,31.9,10.4,13.6,17.1,63.1,3025.0,3816.0,Jan-Mar 2023
