quarter_index,lms_period,age_16_to_17_not_in_ft_education_in_employment_sa,age_18_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_in_employment_sa,men_16_to_24_not_in_ft_education_in_employment_sa,women_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_17_not_in_ft_education_unemployed_sa,age_18_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_unemployed_sa,men_16_to_24_not_in_ft_education_unemployed_sa,women_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_17_not_in_ft_education_economically_inactive_sa,age_18_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,men_16_to_24_not_in_ft_education_economically_inactive_sa,women_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_employment_rate_sa,age_16_to_17_not_in_ft_education_employment_rate_sa,age_18_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,men_16_to_24_not_in_ft_education_employment_rate_sa,women_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_17_not_in_ft_education_unemployment_rate_sa,age_18_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,men_16_to_24_not_in_ft_education_unemployment_rate_sa,women_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_economic_inactivity_rate_sa,age_16_to_17_not_in_ft_education_economic_inactivity_rate_sa,age_18_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,men_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,women_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_total_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_17_not_in_ft_education_total_sa,age_18_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_total_sa,men_16_to_24_not_in_ft_education_total_sa,women_16_to_24_not_in_ft_education_total_sa,unemployment_rate_sa,economic_inactivity_rate_sa,age_16_to_24_in_employment_sa,age_16_to_24_unemployed_sa,age_16_to_24_economically_inactive_sa,age_16_to_24_unemployment_rate_sa,quarter_label,quarter_axis_label
10,2002-07-01,230.0,2865.0,3096.0,1644.0,1451.0,948.0,86.0,337.0,424.0,259.0,164.0,140.0,75.0,526.0,601.0,177.0,424.0,1325.0,61.9,58.9,76.8,75.1,79.1,71.1,39.3,27.3,10.5,12.0,13.6,10.2,12.9,29.5,19.1,14.1,14.6,8.5,20.8,54.9,6533.0,2412.0,391.0,3729.0,4120.0,2080.0,2040.0,5.3,23.3,4043.0,563.0,1926.0,12.2,Jun-Aug 2002,Jun-Aug\n2002
11,2002-10-01,223.0,2856.0,3079.0,1652.0,1427.0,986.0,89.0,322.0,411.0,259.0,152.0,157.0,78.0,537.0,614.0,173.0,441.0,1320.0,61.9,57.2,76.9,75.0,79.3,70.6,40.0,28.5,10.1,11.8,13.6,9.6,13.8,29.4,19.9,14.4,15.0,8.3,21.8,53.6,6568.0,2464.0,390.0,3715.0,4104.0,2084.0,2020.0,5.2,23.2,4065.0,568.0,1934.0,12.3,Sep-Nov 2002,Sep-Nov\n2002
12,2003-01-01,232.0,2835.0,3067.0,1661.0,1406.0,992.0,95.0,333.0,429.0,274.0,155.0,153.0,76.0,562.0,637.0,181.0,456.0,1325.0,61.5,57.6,76.0,74.2,78.5,69.7,40.2,29.1,10.5,12.3,14.2,9.9,13.4,29.7,18.7,15.1,15.4,8.5,22.6,53.6,6604.0,2470.0,403.0,3730.0,4133.0,2116.0,2017.0,5.2,23.4,4059.0,582.0,1962.0,12.5,Dec-Feb 2003,Dec-Feb\n2003
13,2003-04-01,241.0,2847.0,3087.0,1682.0,1405.0,971.0,98.0,337.0,435.0,268.0,167.0,146.0,79.0,546.0,624.0,168.0,456.0,1375.0,61.1,57.7,76.3,74.5,79.4,69.3,39.0,28.9,10.6,12.3,13.7,10.6,13.1,30.1,18.9,14.6,15.1,7.9,22.5,55.2,6639.0,2493.0,417.0,3730.0,4146.0,2118.0,2028.0,5.1,23.3,4058.0,581.0,1999.0,12.5,Mar-May 2003,Mar-May\n2003
14,2003-07-01,255.0,2862.0,3117.0,1705.0,1412.0,936.0,92.0,339.0,431.0,259.0,171.0,158.0,88.0,569.0,656.0,197.0,460.0,1377.0,60.7,58.7,75.9,74.1,78.9,69.1,37.9,26.5,10.6,12.1,13.2,10.8,14.4,30.5,20.2,15.1,15.6,9.1,22.5,55.7,6675.0,2471.0,434.0,3770.0,4204.0,2161.0,2043.0,5.1,23.3,4053.0,589.0,2033.0,12.7,Jun-Aug 2003,Jun-Aug\n2003
15,2003-10-01,252.0,2907.0,3159.0,1719.0,1441.0,965.0,88.0,315.0,404.0,255.0,148.0,147.0,83.0,560.0,643.0,188.0,455.0,1394.0,61.5,59.6,76.9,75.1,79.5,70.5,38.5,25.9,9.8,11.3,12.9,9.3,13.2,30.3,19.6,14.8,15.3,8.7,22.3,55.6,6712.0,2506.0,423.0,3782.0,4205.0,2161.0,2044.0,5.0,23.4,4125.0,550.0,2037.0,11.8,Sep-Nov 2003,Sep-Nov\n2003
16,2004-01-01,232.0,2950.0,3183.0,1722.0,1461.0,971.0,84.0,320.0,404.0,250.0,155.0,159.0,75.0,544.0,619.0,173.0,445.0,1413.0,61.6,59.4,77.3,75.7,80.3,70.9,38.2,26.6,9.8,11.3,12.7,9.6,14.0,30.1,19.1,14.3,14.7,8.1,21.6,55.6,6748.0,2543.0,391.0,3814.0,4205.0,2145.0,2060.0,4.9,23.2,4154.0,563.0,2031.0,11.9,Dec-Feb 2004,Dec-Feb\n2004
17,2004-04-01,228.0,2964.0,3192.0,1736.0,1456.0,990.0,85.0,315.0,399.0,237.0,163.0,164.0,78.0,558.0,636.0,175.0,460.0,1404.0,61.6,58.4,77.3,75.5,80.8,70.0,38.7,27.1,9.6,11.1,12.0,10.1,14.2,30.1,19.9,14.5,15.0,8.2,22.1,54.9,6785.0,2558.0,391.0,3837.0,4227.0,2148.0,2079.0,4.8,23.4,4183.0,563.0,2039.0,11.9,Mar-May 2004,Mar-May\n2004
18,2004-07-01,227.0,2934.0,3162.0,1713.0,1449.0,992.0,91.0,337.0,428.0,258.0,170.0,151.0,81.0,581.0,662.0,193.0,469.0,1424.0,60.9,56.9,76.2,74.4,79.2,69.4,38.6,28.6,10.3,11.9,13.1,10.5,13.2,30.6,20.3,15.1,15.6,8.9,22.5,55.5,6819.0,2567.0,400.0,3853.0,4252.0,2164.0,2088.0,4.8,23.5,4153.0,580.0,2086.0,12.2,Jun-Aug 2004,Jun-Aug\n2004
19,2004-10-01,223.0,2958.0,3181.0,1725.0,1456.0,978.0,95.0,345.0,440.0,265.0,175.0,144.0,81.0,589.0,669.0,206.0,463.0,1437.0,60.7,56.0,76.0,74.1,78.5,69.5,38.2,29.8,10.4,12.1,13.3,10.7,12.8,30.8,20.2,15.1,15.6,9.4,22.1,56.2,6849.0,2559.0,399.0,3891.0,4290.0,2197.0,2093.0,4.7,23.4,4159.0,584.0,2106.0,12.3,Sep-Nov 2004,Sep-Nov\n2004
20,2005-01-01,230.0,2962.0,3192.0,1720.0,1472.0,984.0,90.0,355.0,445.0,272.0,172.0,160.0,85.0,577.0,662.0,198.0,463.0,1436.0,60.7,56.8,76.1,74.3,78.5,69.8,38.1,28.2,10.7,12.2,13.7,10.5,14.0,30.5,21.0,14.8,15.4,9.0,22.0,55.7,6879.0,2580.0,405.0,3894.0,4299.0,2191.0,2108.0,4.8,23.1,4176.0,605.0,2098.0,12.7,Dec-Feb 2005,Dec-Feb\n2005
21,2005-04-01,229.0,2934.0,3163.0,1712.0,1452.0,965.0,84.0,356.0,440.0,276.0,164.0,160.0,88.0,609.0,698.0,214.0,484.0,1482.0,59.8,57.1,75.2,73.5,77.8,69.1,37.0,26.8,10.8,12.2,13.9,10.2,14.2,31.5,22.0,15.6,16.2,9.7,23.0,56.8,6909.0,2607.0,402.0,3899.0,4301.0,2201.0,2100.0,4.8,23.4,4129.0,600.0,2180.0,12.7,Mar-May 2005,Mar-May\n2005
22,2005-07-01,210.0,2955.0,3165.0,1705.0,1460.0,971.0,90.0,361.0,451.0,283.0,168.0,145.0,92.0,603.0,695.0,217.0,477.0,1510.0,59.6,53.5,75.4,73.4,77.3,69.4,37.0,30.1,10.9,12.5,14.2,10.3,13.0,31.8,23.4,15.4,16.1,9.9,22.7,57.5,6936.0,2626.0,392.0,3919.0,4310.0,2206.0,2105.0,4.7,23.3,4136.0,596.0,2205.0,12.6,Jun-Aug 2005,Jun-Aug\n2005
23,2005-10-01,188.0,2940.0,3127.0,1687.0,1441.0,948.0,89.0,385.0,475.0,299.0,176.0,167.0,102.0,610.0,712.0,227.0,485.0,1532.0,58.6,49.5,74.7,72.5,76.2,68.6,35.8,32.3,11.6,13.2,15.1,10.9,15.0,32.2,26.9,15.5,16.5,10.3,23.1,57.9,6960.0,2647.0,379.0,3935.0,4314.0,2213.0,2101.0,5.1,23.3,4075.0,641.0,2244.0,13.6,Sep-Nov 2005,Sep-Nov\n2005
24,2006-01-01,188.0,2959.0,3147.0,1691.0,1456.0,962.0,91.0,385.0,476.0,293.0,183.0,174.0,97.0,628.0,725.0,234.0,491.0,1500.0,58.8,50.1,74.5,72.4,76.2,68.4,36.5,32.6,11.5,13.1,14.8,11.1,15.3,31.9,25.7,15.8,16.7,10.6,23.0,56.9,6984.0,2637.0,376.0,3972.0,4348.0,2218.0,2129.0,5.2,23.2,4109.0,650.0,2225.0,13.7,Dec-Feb 2006,Dec-Feb\n2006
25,2006-04-01,184.0,2953.0,3137.0,1682.0,1455.0,982.0,81.0,408.0,488.0,303.0,185.0,189.0,96.0,603.0,699.0,237.0,462.0,1513.0,58.8,51.1,74.5,72.5,75.7,69.2,36.6,30.5,12.1,13.5,15.3,11.3,16.2,31.6,26.5,15.2,16.2,10.7,22.0,56.4,7008.0,2684.0,361.0,3963.0,4324.0,2222.0,2102.0,5.5,23.0,4119.0,678.0,2212.0,14.1,Mar-May 2006,Mar-May\n2006
26,2006-07-01,179.0,3006.0,3184.0,1723.0,1461.0,980.0,80.0,426.0,507.0,304.0,202.0,178.0,105.0,577.0,682.0,214.0,468.0,1504.0,59.2,49.1,75.0,72.8,76.9,68.6,36.8,31.0,12.4,13.7,15.0,12.2,15.4,31.1,28.8,14.4,15.6,9.6,21.9,56.5,7035.0,2662.0,364.0,4009.0,4373.0,2242.0,2131.0,5.5,22.7,4165.0,684.0,2186.0,14.1,Jun-Aug 2006,Jun-Aug\n2006
27,2006-10-01,193.0,2973.0,3167.0,1698.0,1468.0,982.0,83.0,396.0,479.0,286.0,193.0,186.0,98.0,640.0,738.0,241.0,497.0,1515.0,58.7,51.6,74.2,72.2,76.3,68.0,36.6,30.1,11.8,13.1,14.4,11.6,15.9,31.9,26.2,16.0,16.8,10.8,23.0,56.5,7068.0,2683.0,375.0,4010.0,4384.0,2226.0,2159.0,5.5,23.0,4148.0,665.0,2254.0,13.8,Sep-Nov 2006,Sep-Nov\n2006
28,2007-01-01,192.0,3000.0,3192.0,1719.0,1473.0,943.0,84.0,426.0,510.0,311.0,199.0,191.0,89.0,638.0,728.0,231.0,496.0,1535.0,58.2,52.6,73.8,72.1,76.0,67.9,35.3,30.5,12.4,13.8,15.3,11.9,16.9,31.9,24.4,15.7,16.4,10.2,22.9,57.5,7100.0,2670.0,366.0,4065.0,4430.0,2261.0,2169.0,5.6,23.2,4136.0,702.0,2263.0,14.5,Dec-Feb 2007,Dec-Feb\n2007
29,2007-04-01,183.0,2990.0,3173.0,1715.0,1458.0,942.0,87.0,430.0,518.0,314.0,204.0,193.0,84.0,635.0,719.0,233.0,486.0,1588.0,57.7,51.6,73.7,72.0,75.8,67.9,34.6,32.4,12.6,14.0,15.5,12.3,17.0,32.3,23.8,15.6,16.3,10.3,22.6,58.3,7133.0,2723.0,354.0,4055.0,4410.0,2262.0,2148.0,5.5,23.1,4115.0,711.0,2307.0,14.7,Mar-May 2007,Mar-May\n2007
30,2007-07-01,182.0,2977.0,3159.0,1707.0,1452.0,957.0,77.0,412.0,489.0,298.0,190.0,216.0,94.0,622.0,717.0,232.0,484.0,1623.0,57.5,51.5,74.2,72.4,76.3,68.3,34.2,29.7,12.1,13.4,14.9,11.6,18.4,32.7,26.7,15.5,16.4,10.4,22.8,58.0,7161.0,2796.0,354.0,4011.0,4365.0,2238.0,2127.0,5.4,23.2,4116.0,705.0,2339.0,14.6,Jun-Aug 2007,Jun-Aug\n2007
31,2007-10-01,200.0,3032.0,3232.0,1718.0,1514.0,940.0,88.0,402.0,490.0,297.0,193.0,191.0,89.0,620.0,710.0,235.0,474.0,1617.0,58.1,53.0,74.8,72.9,76.3,69.4,34.2,30.6,11.7,13.2,14.7,11.3,16.9,32.4,23.7,15.3,16.0,10.5,21.7,58.8,7180.0,2748.0,377.0,4055.0,4431.0,2251.0,2181.0,5.3,23.1,4172.0,681.0,2327.0,14.0,Sep-Nov 2007,Sep-Nov\n2007
32,2008-01-01,186.0,3017.0,3203.0,1719.0,1484.0,983.0,73.0,403.0,476.0,292.0,183.0,195.0,94.0,605.0,699.0,233.0,466.0,1643.0,58.2,52.6,75.0,73.2,76.6,69.6,34.9,28.2,11.8,12.9,14.5,11.0,16.5,32.5,26.7,15.0,16.0,10.4,21.8,58.2,7199.0,2821.0,353.0,4025.0,4378.0,2244.0,2134.0,5.3,22.9,4187.0,670.0,2342.0,13.8,Dec-Feb 2008,Dec-Feb\n2008
33,2008-04-01,188.0,3011.0,3198.0,1721.0,1478.0,978.0,72.0,419.0,491.0,298.0,192.0,188.0,98.0,616.0,714.0,220.0,494.0,1649.0,57.9,52.5,74.4,72.6,76.8,68.3,34.7,27.8,12.2,13.3,14.8,11.5,16.2,32.7,27.4,15.2,16.2,9.8,22.8,58.6,7218.0,2815.0,358.0,4045.0,4403.0,2239.0,2164.0,5.2,22.9,4176.0,679.0,2363.0,14.0,Mar-May 2008,Mar-May\n2008
34,2008-07-01,180.0,2973.0,3153.0,1686.0,1466.0,939.0,88.0,437.0,525.0,330.0,195.0,212.0,90.0,626.0,716.0,222.0,494.0,1688.0,56.6,50.2,73.7,71.8,75.3,68.0,33.1,32.9,12.8,14.3,16.4,11.7,18.4,33.2,25.2,15.5,16.3,9.9,22.9,59.5,7233.0,2839.0,358.0,4035.0,4394.0,2239.0,2155.0,5.8,23.0,4091.0,737.0,2404.0,15.3,Jun-Aug 2008,Jun-Aug\n2008
35,2008-10-01,162.0,2941.0,3102.0,1653.0,1450.0,950.0,81.0,486.0,568.0,354.0,213.0,222.0,82.0,592.0,673.0,190.0,483.0,1722.0,56.0,49.8,73.2,71.4,75.2,67.5,32.8,33.5,14.2,15.5,17.7,12.8,18.9,33.1,25.1,14.7,15.5,8.7,22.5,59.5,7238.0,2895.0,325.0,4019.0,4344.0,2197.0,2146.0,6.2,22.9,4053.0,790.0,2396.0,16.3,Sep-Nov 2008,Sep-Nov\n2008
36,2009-01-01,154.0,2891.0,3045.0,1615.0,1430.0,927.0,79.0,520.0,598.0,373.0,225.0,212.0,78.0,601.0,679.0,203.0,476.0,1781.0,54.8,49.5,72.1,70.4,73.7,67.1,31.7,33.9,15.2,16.4,18.8,13.6,18.6,34.0,25.2,15.0,15.7,9.3,22.3,61.0,7244.0,2921.0,310.0,4012.0,4322.0,2191.0,2131.0,6.8,22.8,3972.0,811.0,2461.0,16.9,Dec-Feb 2009,Dec-Feb\n2009
37,2009-04-01,134.0,2806.0,2940.0,1544.0,1396.0,886.0,72.0,609.0,681.0,416.0,265.0,242.0,92.0,613.0,705.0,221.0,484.0,1795.0,52.8,44.9,69.7,68.0,70.8,65.1,30.3,34.9,17.8,18.8,21.2,15.9,21.5,34.5,30.9,15.2,16.3,10.1,22.6,61.4,7249.0,2923.0,298.0,4028.0,4326.0,2181.0,2145.0,7.7,23.0,3826.0,923.0,2500.0,19.4,Mar-May 2009,Mar-May\n2009
38,2009-07-01,104.0,2771.0,2875.0,1510.0,1365.0,887.0,63.0,601.0,664.0,415.0,248.0,270.0,83.0,638.0,722.0,232.0,489.0,1841.0,51.8,41.5,69.1,67.5,70.0,64.9,29.6,37.7,17.8,18.8,21.6,15.4,23.3,35.3,33.3,15.9,16.9,10.8,23.3,61.4,7258.0,2998.0,250.0,4010.0,4260.0,2158.0,2102.0,8.0,23.2,3762.0,933.0,2563.0,19.9,Jun-Aug 2009,Jun-Aug\n2009
39,2009-10-01,100.0,2690.0,2790.0,1463.0,1328.0,921.0,65.0,573.0,638.0,396.0,241.0,266.0,82.0,637.0,719.0,228.0,491.0,1939.0,51.0,40.6,69.0,67.3,70.1,64.4,29.5,39.4,17.6,18.6,21.3,15.4,22.4,36.5,33.1,16.3,17.3,10.9,23.8,62.0,7272.0,3125.0,248.0,3900.0,4147.0,2087.0,2060.0,7.9,23.4,3711.0,904.0,2658.0,19.6,Sep-Nov 2009,Sep-Nov\n2009
40,2010-01-01,106.0,2653.0,2759.0,1442.0,1317.0,926.0,67.0,589.0,656.0,408.0,249.0,258.0,83.0,656.0,739.0,228.0,511.0,1947.0,50.6,41.3,68.1,66.4,69.4,63.4,29.6,38.7,18.2,19.2,22.0,15.9,21.8,36.9,32.5,16.8,17.8,11.0,24.6,62.2,7287.0,3132.0,257.0,3899.0,4155.0,2078.0,2077.0,8.0,23.6,3686.0,915.0,2687.0,19.9,Dec-Feb 2010,Dec-Feb\n2010
41,2010-04-01,110.0,2722.0,2831.0,1507.0,1325.0,902.0,66.0,564.0,630.0,389.0,241.0,309.0,78.0,623.0,701.0,216.0,485.0,1929.0,51.1,43.3,69.6,68.0,71.4,64.6,28.7,37.5,17.2,18.2,20.5,15.4,25.5,36.0,30.8,15.9,16.8,10.2,23.7,61.4,7302.0,3140.0,254.0,3908.0,4162.0,2111.0,2051.0,8.1,23.4,3733.0,939.0,2629.0,20.1,Mar-May 2010,Mar-May\n2010
42,2010-07-01,101.0,2732.0,2833.0,1517.0,1316.0,935.0,62.0,581.0,643.0,388.0,255.0,286.0,94.0,636.0,730.0,237.0,493.0,1890.0,51.5,39.2,69.2,67.4,70.8,63.8,30.0,38.2,17.5,18.5,20.4,16.2,23.5,35.8,36.5,16.1,17.3,11.0,23.9,60.8,7316.0,3111.0,257.0,3949.0,4206.0,2142.0,2064.0,7.9,23.3,3768.0,929.0,2619.0,19.8,Jun-Aug 2010,Jun-Aug\n2010
43,2010-10-01,90.0,2715.0,2805.0,1527.0,1278.0,872.0,59.0,614.0,673.0,404.0,269.0,273.0,81.0,668.0,749.0,245.0,504.0,1960.0,50.1,38.9,67.9,66.4,70.2,62.3,28.1,39.9,18.4,19.4,20.9,17.4,23.9,36.9,35.3,16.7,17.7,11.3,24.6,63.1,7332.0,3105.0,231.0,3996.0,4227.0,2176.0,2051.0,8.0,23.5,3677.0,946.0,2709.0,20.5,Sep-Nov 2010,Sep-Nov\n2010
44,2011-01-01,94.0,2762.0,2856.0,1543.0,1313.0,872.0,62.0,599.0,661.0,400.0,260.0,299.0,77.0,628.0,705.0,238.0,468.0,1955.0,50.7,40.5,69.2,67.6,70.7,64.3,27.9,39.5,17.8,18.8,20.6,16.6,25.6,36.2,33.0,15.8,16.7,10.9,22.9,62.5,7347.0,3126.0,233.0,3989.0,4222.0,2181.0,2041.0,8.0,23.3,3727.0,960.0,2660.0,20.5,Dec-Feb 2011,Dec-Feb\n2011
45,2011-04-01,96.0,2775.0,2871.0,1549.0,1322.0,855.0,67.0,584.0,651.0,404.0,247.0,283.0,62.0,617.0,679.0,218.0,461.0,2023.0,50.6,42.6,69.8,68.3,71.3,65.1,27.0,41.2,17.4,18.5,20.7,15.7,24.9,36.7,27.5,15.5,16.2,10.0,22.7,64.0,7363.0,3161.0,225.0,3977.0,4201.0,2171.0,2030.0,8.0,23.4,3726.0,935.0,2702.0,20.1,Mar-May 2011,Mar-May\n2011
