,,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITL3,TLD45,Mid Lancashire,206250,212194,214300,213035,211702,220212,220578,223286,224128,231424,223491,226948,223713,224287,219965,224111,218302,231641,227232
ITL3,TLD46,East Lancashire,129922,127146,128393,126775,126193,125365,131115,124226,120699,126889,126769,122643,126831,129862,133330,127842,133026,133611,132692
ITL3,TLD47,Chorley and West Lancashire,87668,85538,90887,92425,92757,95609,92655,90361,93891,95443,94432,94251,95916,93354,98388,94952,96627,98282,100255
ITL3,TLD61,Warrington,119890,112814,114271,117307,120203,115403,120176,119776,123948,124861,124789,128276,130444,129093,142916,140032,139667,144205,146761
ITL3,TLD62,Cheshire East,173123,176540,175139,181322,187342,188574,186362,187788,186576,185895,188547,192892,199790,206224,195446,199411,202844,209723,206155
ITL3,TLD63,Cheshire West and Chester,159254,160522,161130,163030,160003,163077,163533,160957,164507,162910,161470,165503,169715,175924,184725,189403,185653,189156,182866
ITL3,TLD71,East Merseyside,178194,170709,175208,181517,178305,182269,181985,176489,179271,179897,184893,177443,188107,188574,192711,196554,195319,206230,202297
ITL3,TLD72,Liverpool,226036,229093,231291,238598,238342,239762,247696,246312,240105,241544,240412,242047,248913,251335,252519,260835,267417,279763,272205
ITL3,TLD73,Sefton,111538,111744,109739,108061,104057,103390,98922,99603,99014,97279,93699,98188,97825,96322,96295,99186,96490,96598,100015
ITL3,TLD74,Wirral,107764,111994,109380,108852,106713,106809,107383,106125,108319,107901,106738,108113,107951,112626,104705,115851,111102,110953,107414
ITL3,TLE11,"Kingston upon Hull, City of",122501,124941,133348,127823,126654,126135,122259,123847,122033,124482,124033,124369,124872,124206,125292,132161,134137,130686,132774
ITL3,TLE12,East Riding of Yorkshire,120480,127109,124666,122803,123644,127019,125633,133305,132652,131674,128541,127152,133650,132165,140478,140871,142061,141550,135735
ITL3,TLE13,North and North East Lincolnshire,139904,141970,149323,148123,148270,148926,150256,144760,146032,145215,142147,140927,144956,147362,148622,150592,151183,149657,151946
ITL3,TLE21,York,105092,108562,107160,105291,105886,107229,110825,109855,111596,113814,115231,111101,113831,111037,111074,114981,119594,117066,119686
ITL3,TLE22,North Yorkshire CC,286418,289945,278330,293857,300752,299713,302410,308725,305927,302011,309322,314601,309450,328822,330622,324183,328758,318767,311608
ITL3,TLE31,"Barnsley, Doncaster and Rotherham",287353,292280,311589,312695,315818,314368,307006,304019,302512,301319,300618,303211,312576,323786,332070,325567,331870,330592,333703
ITL3,TLE32,Sheffield,249913,256411,262076,265622,266127,267459,271165,268870,262515,266189,266058,261863,274356,270337,279777,276941,276293,283980,280631
ITL3,TLE41,Bradford,207804,209729,209427,209679,207640,211935,211609,214775,210638,211593,210106,214287,211127,218274,219377,222539,217533,216043,217141
ITL3,TLE42,Leeds,413149,416900,436675,434126,440386,431431,447343,426407,438994,439672,435428,440529,443297,462708,457737,471652,488858,496337,485173
ITL3,TLE44,Calderdale and Kirklees,252544,252414,267576,266440,265498,263133,255628,260043,260684,264887,261619,260552,276690,283260,286216,279478,279830,280409,267595
ITL3,TLE45,Wakefield,129814,136182,145652,145991,141214,153497,147541,145485,146290,144057,148931,151401,151645,155708,161228,159869,159856,163254,164529
ITL3,TLF11,Derby,121506,119171,125499,128330,125663,134043,127669,124213,124391,126620,128547,130765,132026,133395,133593,137521,142842,148891,148869
ITL3,TLF12,East Derbyshire,101007,107853,104515,106785,108502,104958,107661,103122,107793,114155,115401,111650,109062,116801,116926,116180,121973,114471,107924
ITL3,TLF13,South and West Derbyshire,196164,196918,197041,207242,206444,202211,207133,198062,204682,209776,216664,203204,198543,200060,204126,207402,213238,220098,205949
ITL3,TLF14,Nottingham,188308,189985,192740,194068,197236,197326,193975,192326,205890,204317,206143,215856,221397,231978,228982,207026,208276,210276,213431
ITL3,TLF15,North Nottinghamshire,170333,171334,174163,187871,185467,192657,189412,189496,185466,188276,184034,188632,200384,200253,201598,207953,210001,211286,209783
ITL3,TLF16,South Nottinghamshire,115295,108838,110124,121348,122657,127233,122561,121779,116768,115622,113443,114141,118165,119849,120769,129397,122276,121141,120213
ITL3,TLF21,Leicester,169688,169082,167088,170257,170327,170845,165718,167783,169808,169350,168569,173647,176175,186676,191007,180006,169873,189032,179657
ITL3,TLF22,Leicestershire CC and Rutland,284744,288224,299604,309212,318206,321072,326197,313818,313699,318670,321191,320999,322118,330078,338490,349611,351197,350904,359015
ITL3,TLF24,West Northamptonshire,186292,194784,200308,204101,199379,210282,210537,205377,210170,210410,213112,213286,213971,214171,218423,232196,232979,229245,228370
ITL3,TLF25,North Northamptonshire,126109,129683,131196,135612,132067,136816,135703,131260,133131,141616,142898,144544,145587,146067,154090,158316,155621,170816,170860
ITL3,TLF30,Lincolnshire,285920,293203,288661,297424,308144,321597,315714,310364,312975,322958,312754,310678,317292,319669,324975,335863,332299,329503,335433
ITL3,TLG11,"Herefordshire, County of",79495,84402,85656,85527,90397,92950,92984,91798,88181,88265,92503,96099,89731,90922,98003,99049,100188,101624,99011
ITL3,TLG12,Worcestershire,241318,259559,262213,257424,261531,261367,261390,256765,248427,248619,255981,253284,258911,264070,275187,288938,288104,287157,286474
ITL3,TLG13,Warwickshire,249785,246235,253152,264957,273945,281000,286839,283833,279760,291586,289238,288815,307970,308610,312937,328444,328292,331900,325952
ITL3,TLG21,Telford and Wrekin,84110,79977,83737,86572,86124,86585,87167,81762,83474,81524,84960,83763,88519,89053,89879,89834,90990,93634,91866
ITL3,TLG22,Shropshire CC,134789,133498,129609,135934,132358,130974,135767,139274,137953,136335,136734,138297,142368,141528,148669,149446,148260,153170,148693
ITL3,TLG23,Stoke-on-Trent,110220,114845,114411,110963,112308,108799,110970,112459,115941,113018,116504,119584,116119,119851,123269,123284,127929,127487,125947
ITL3,TLG24,Staffordshire CC,350088,350944,355324,354425,365254,360953,367647,363705,354834,349617,361535,369133,362436,379673,382532,379948,388929,383772,384880
ITL3,TLG31,Birmingham,512141,516036,514396,518078,522748,514934,515099,481669,490200,503328,504149,522100,532459,539196,545493,546863,554948,569989,571075
ITL3,TLG32,Solihull,106229,112563,111383,110726,108611,104877,101717,97676,98347,103106,109541,106830,110370,117061,121743,123614,146360,146199,144646
ITL3,TLG33,Coventry,152985,151434,149668,150365,150232,151211,150263,147812,149885,149415,153181,161578,164936,167210,160888,166413,171240,173404,174691
ITL3,TLG36,Dudley,132762,133148,130561,134870,129517,131756,130610,126876,123145,120068,119767,118243,119384,121647,121396,124009,124265,125437,120419
ITL3,TLG37,Sandwell,133138,129095,123730,128449,132231,133282,134377,128434,125135,119426,126131,126612,134199,137748,133931,133640,130482,130357,123094
ITL3,TLG38,Walsall,108654,107254,113785,111483,110565,110814,109525,101198,100365,98452,101550,102690,104448,114255,110908,116493,114688,111743,110133
ITL3,TLG39,Wolverhampton,109828,110071,107808,108831,119659,117541,114008,111487,118428,120033,118351,118186,107337,109702,108120,106748,113945,111567,112702
ITL3,TLH11,Peterborough,95269,99851,99661,97229,106653,109632,109776,102332,103944,100480,103311,105083,111313,117513,119251,124661,122055,116202,124550
ITL3,TLH12,Cambridgeshire CC,296244,293062,282451,290042,319598,318464,319762,312318,315727,311284,312020,328678,341216,347767,356126,358636,362240,369957,384642
ITL3,TLH14,Suffolk,325286,319905,332739,322981,342527,344124,338076,331825,345851,348938,342771,344743,352665,353875,349278,362651,371905,362142,372134
ITL3,TLH15,Norwich and East Norfolk,176653,180338,182869,183067,198435,195506,185739,185269,182426,179454,190041,187764,188419,188019,195091,194327,193969,192919,186439
ITL3,TLH16,North and West Norfolk,95640,97287,102370,99742,97749,98550,97417,101570,101136,99145,105455,98296,103058,105515,105812,107898,107088,103325,110505
ITL3,TLH17,Breckland and South Norfolk,90342,92752,99493,100157,102421,98274,98086,96578,95923,103561,105188,103512,107094,114612,110505,110951,115970,111959,114211
ITL3,TLH21,Luton,84300,90243,93454,93995,95304,95190,93665,93296,88753,90358,88188,92410,97885,94532,98630,100225,99922,98323,98287
ITL3,TLH23,Hertfordshire,552539,554680,561502,557416,551299,563699,582712,580105,565777,571239,584189,603236,631947,645594,656374,683053,697464,695715,696429
ITL3,TLH24,Bedford,69301,75554,77521,81114,75537,78706,77014,75426,75526,76806,75997,76587,80200,79967,81153,80656,81062,83934,86522
ITL3,TLH25,Central Bedfordshire,93750,95051,98744,99311,100899,102588,104694,96915,105591,104942,99820,105344,108910,108109,99577,97841,101270,118883,110837
ITL3,TLH31,Southend-on-Sea,76018,75003,75291,72873,72977,74929,74621,72322,71544,70868,72019,71294,73163,73503,74463,75728,79305,76370,77022
ITL3,TLH32,Thurrock,59900,61787,62761,59237,60330,61837,63130,63494,63265,63508,63025,65358,65754,69459,70140,71678,73927,71485,78338
ITL3,TLH34,Essex Haven Gateway,182448,183793,181053,180072,187222,193123,189475,184749,184339,186941,191056,185519,196340,197980,203539,207651,203120,205154,203729
ITL3,TLH35,West Essex,130643,133342,130107,133693,129985,130630,137429,131909,130669,133341,144396,136357,135148,141177,151206,154143,158796,156793,158281
ITL3,TLH36,Heart of Essex,147022,143943,145554,141463,144949,144531,148605,151255,149849,149449,153644,152077,150679,158503,158443,159795,163208,161733,160001
ITL3,TLH37,Essex Thames Gateway,123591,126197,128837,130967,131171,132393,134961,132389,130617,135611,141607,137454,140122,144550,144730,144594,146937,150293,145830
ITL3,TLI31,Camden and City of London,620702,606068,583544,603427,604553,624880,644380,659568,676805,722086,746423,776507,822920,851458,896111,933285,963011,994927,966549
ITL3,TLI32,Westminster,588189,588719,570451,583803,592650,602953,629139,629052,626466,634904,656865,680186,691173,696608,699963,686457,718886,740580,710292
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,254728,251469,248489,256489,259233,254374,261199,257079,261440,261407,273504,267514,272026,280096,284166,295464,294476,296539,297724
ITL3,TLI34,Wandsworth,124916,123316,121224,118144,124985,125748,126956,122377,114888,118067,128322,127217,125362,132510,133876,137544,135712,141888,138435
ITL3,TLI41,Hackney and Newham,178325,169960,169051,170286,164805,169749,170426,177975,176323,189930,197337,203867,228374,230853,245722,240854,267883,263567,273433
ITL3,TLI42,Tower Hamlets,157581,159781,183830,187897,198738,204428,216660,213479,216988,236157,238348,254971,261193,274635,277376,288513,308045,315747,303388
ITL3,TLI43,Haringey and Islington,239444,248561,245089,261623,257250,272994,279039,275599,261603,259044,269409,288438,301337,316275,313730,309033,320193,325596,323120
ITL3,TLI44,Lewisham and Southwark,240992,251087,262265,267662,278151,288483,316969,306481,292425,303014,327327,320003,347233,343543,357896,368729,381983,375222,373198
ITL3,TLI45,Lambeth,134754,136018,136231,133643,134690,133156,137743,146879,146624,141118,143359,159696,168612,170264,160083,171200,163542,170034,165471
ITL3,TLI51,Bexley and Greenwich,149554,148476,154368,153164,150810,150849,151979,150304,155123,150195,150602,156859,164499,167581,167184,176049,178104,183046,176206
ITL3,TLI52,Barking & Dagenham and Havering,140981,143461,139069,135632,134866,130022,137902,124566,129044,128066,131408,137339,139915,143034,149592,154188,156779,151035,158366
ITL3,TLI53,Redbridge and Waltham Forest,150388,150484,147413,151890,140743,141472,148428,145998,139766,139645,155598,156733,162653,163632,164157,168665,165930,174013,165914
ITL3,TLI54,Enfield,102814,107602,104844,110462,103690,104350,108924,105021,109397,103127,110608,112127,119597,122257,117867,114799,122943,124479,119657
ITL3,TLI61,Bromley,116851,121878,120408,118548,123134,132168,128093,117244,116995,112446,114703,122042,119143,114301,122287,122052,117376,122739,122582
ITL3,TLI62,Croydon,146864,148413,146428,143017,144802,146969,143258,131807,134666,127786,132502,123071,133548,133136,136235,141521,138144,133189,135767
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",225705,222321,236986,227457,243700,227793,244329,231566,230002,229527,234111,240403,241011,251099,253865,263241,258787,254622,254787
ITL3,TLI71,Barnet,132620,133849,128822,129771,134846,132116,138001,140318,137398,138338,145071,150394,155223,154849,154282,160317,156831,153922,155403
ITL3,TLI72,Brent,114083,115843,113831,112639,108063,107024,107037,107979,110567,108030,116044,118494,122727,125143,135090,142564,144883,143159,141713
ITL3,TLI73,Ealing,130576,132870,130210,130977,132972,135365,129028,125818,124130,138943,139322,143678,149014,149957,153705,153060,137142,145943,150760
ITL3,TLI74,Harrow and Hillingdon,257671,257849,265430,263467,278531,276375,278261,269446,262608,261533,275165,276460,290100,267248,271461,285035,277281,271852,279819
ITL3,TLI75,Hounslow and Richmond upon Thames,212477,212778,202526,215034,211747,217752,223866,218836,221818,230279,236845,248081,242524,266023,279772,266332,267277,266709,255882
ITL3,TLJ11,Berkshire,496246,494708,497304,484964,491970,504608,504972,491511,504433,512513,518109,514590,527288,535046,551589,550618,557508,564978,551103
ITL3,TLJ12,Milton Keynes,137236,138801,142497,137162,139056,145935,150759,146883,152141,155629,158472,166007,168683,179016,191712,186743,185872,191445,182825
ITL3,TLJ13,Buckinghamshire CC,239223,244155,255873,246868,245018,241776,248036,241951,234668,238098,247546,243420,256210,258094,271863,270015,264529,275681,271509
ITL3,TLJ14,Oxfordshire,344337,348715,354843,346502,365269,363380,372704,367073,357520,365952,373331,383517,395840,397196,413460,409995,404483,420666,414992
ITL3,TLJ21,Brighton and Hove,130174,133593,137299,140331,134507,138698,137935,134065,136082,142440,148121,148945,155024,157041,165602,165219,162706,162433,156305
ITL3,TLJ22,East Sussex CC,194870,197472,197060,200324,200546,207994,210343,212246,210435,197535,211558,213094,209015,223431,223200,224687,221332,232876,217117
ITL3,TLJ25,West Surrey,384239,396036,375937,389545,398402,403220,402021,402851,410296,409903,414418,409279,430662,432759,436000,433686,437050,446280,432374
ITL3,TLJ26,East Surrey,182886,186636,172450,177123,184963,185891,190313,183331,190370,195216,198103,193931,198928,197921,199957,187821,198576,209282,189450
ITL3,TLJ27,West Sussex (South West),185134,183779,180246,180218,186590,182908,179003,180925,184189,188471,197001,192434,198092,200589,202830,198429,207693,208797,206208
ITL3,TLJ28,West Sussex (North East),214434,200793,199902,198474,201837,197542,199909,202856,210668,205635,204979,210014,210673,217544,226886,230349,218113,230243,225609
ITL3,TLJ31,Portsmouth,120252,115459,120524,116694,114342,115076,118190,118876,118829,119678,119847,118011,116997,114876,120357,121187,119930,120141,116507
ITL3,TLJ32,Southampton,125290,120357,124710,125199,124060,125262,120262,119409,118232,114544,118662,121414,126477,127688,125830,124700,121794,123765,123563
ITL3,TLJ34,Isle of Wight,59280,57845,54989,55557,58498,58694,58458,56068,54591,57229,57551,58325,56354,58693,60059,59043,59413,59697,58103
ITL3,TLJ35,South Hampshire,176263,175609,180887,189052,181125,186520,193214,181388,190664,193259,191361,194521,197786,199617,197811,196754,190769,195766,194829
ITL3,TLJ36,Central Hampshire,251029,245405,255565,265880,262231,264313,262361,263682,274934,273680,280116,275228,284384,300013,291445,278393,289260,294075,287387
ITL3,TLJ37,North Hampshire,186269,183460,180111,182108,178145,183567,185300,176398,178584,186098,186527,188876,185719,193143,194303,187334,188820,187572,184932
ITL3,TLJ41,Medway,99659,96031,97278,101708,100418,98990,97017,92992,94904,93107,97633,94231,95193,96619,102261,103338,103896,100647,106948
ITL3,TLJ43,Kent Thames Gateway,129332,131639,128644,135979,127213,135471,135923,135446,140036,140365,142375,143469,145582,151670,162833,155980,157948,157993,166727
ITL3,TLJ44,East Kent,193923,197592,192588,195156,192925,203893,212359,197104,198682,201606,196787,202434,205122,203301,214504,217403,206988,218318,213093
ITL3,TLJ45,Mid Kent,129390,132679,133388,134652,137559,138935,137854,135659,138377,139941,138262,140679,143527,149467,149678,150943,159291,156553,149522
ITL3,TLJ46,West Kent,170388,161313,162510,163768,157372,160777,162535,167262,166424,174801,167309,170935,180437,188001,185188,184218,178714,190388,191138
ITL3,TLK11,"Bristol, City of",263511,247578,246383,249915,247072,251641,255999,255728,256526,261431,262717,270632,282322,287046,285701,297608,296590,307892,304589
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",288382,305333,318438,315749,312051,316858,320734,325128,329266,336195,325768,325353,337002,338587,346395,343197,353986,363840,367205
ITL3,TLK13,Gloucestershire,286326,293294,296051,283674,286641,293610,294275,299627,305419,309492,314113,313110,320629,323997,317080,317549,333570,338610,330044
ITL3,TLK14,Swindon,115093,112005,114690,117951,115926,117922,115936,119576,115248,116380,112323,116531,119066,120375,123321,119940,122227,121024,120654
ITL3,TLK15,Wiltshire,211459,220411,215345,217921,221992,226817,225991,221657,225410,224639,207037,216377,241795,241954,250474,241434,246022,255366,257346
ITL3,TLK23,Somerset,226605,229752,244236,249536,245976,247493,249797,244874,248986,248561,242830,257303,255901,259586,260842,264368,272388,268733,264765
ITL3,TLK24,"Bournemouth, Christchurch and Poole",168771,177244,174022,183524,180868,182848,184924,181823,185497,184066,189954,195978,199194,197296,199124,204172,211436,211538,205131
ITL3,TLK25,Dorset,148786,146079,146308,151201,156097,159052,165828,167246,165343,165503,166093,169314,168101,166120,170706,167944,175673,172415,169021
ITL3,TLK30,Cornwall and Isles of Scilly,225245,227569,226836,226784,239003,248939,255976,245738,250255,253082,248772,251639,258891,256037,260551,268790,267363,262693,268550
ITL3,TLK41,Plymouth,116256,119049,120108,121396,121526,123229,124070,118763,120934,124393,126232,124727,126101,128366,123407,123698,123264,126072,126024
ITL3,TLK42,Torbay,54427,54441,57904,56805,56560,57027,55846,54552,53493,55645,57485,56276,55697,54982,54128,55487,54211,55427,54221
ITL3,TLK43,Devon CC,338124,334502,350091,349710,362245,358459,356414,367615,367488,360047,366271,367428,375619,394702,387108,396848,401191,399858,396229
ITL3,TLL11,Isle of Anglesey,22146,23969,24310,25285,24836,25200,24734,24129,24262,23997,24843,23563,25022,25154,25350,24457,26457,25802,25014
ITL3,TLL12,Gwynedd,53812,56848,55097,57228,56120,55582,57289,59029,58839,57609,60993,61866,61055,64428,64851,64111,64152,63150,61978
ITL3,TLL13,Conwy and Denbighshire,80934,83118,84164,89620,85687,87004,90497,87903,86402,85589,88093,88716,89331,92475,94579,93314,93670,91496,93916
ITL3,TLL14,South West Wales,138295,144530,143601,158704,158865,156654,153914,164455,160024,158798,159727,161747,164167,166244,173343,164824,165477,168165,162834
ITL3,TLL15,Central Valleys,105400,98327,105033,106073,110065,109826,104742,102401,103351,101682,104829,103113,105994,105626,100983,101244,104908,102797,105131
ITL3,TLL16,Gwent Valleys,111391,109540,111654,111866,114552,114244,117213,115314,113704,110802,113085,116007,118932,117503,117891,114417,113839,119032,116058
ITL3,TLL17,Bridgend and Neath Port Talbot,99270,99158,98826,102907,103303,106104,108087,106829,105459,106718,108209,107559,113858,116192,113313,110038,112115,112067,109936
ITL3,TLL18,Swansea,104156,111993,111444,114453,113607,113465,112617,110993,113883,109825,106789,111786,118940,116425,116468,116897,118097,118606,115061
ITL3,TLL21,Monmouthshire and Newport,113055,118778,118571,117054,121040,117554,120598,114480,117041,115443,112666,109710,113836,116715,120285,123624,128142,125835,121193
ITL3,TLL22,Cardiff and Vale of Glamorgan,234812,236475,242899,246415,249995,250153,251067,252847,253106,250437,248905,249671,260451,261786,264507,273048,275876,275080,270071
ITL3,TLL23,Flintshire and Wrexham,121874,121881,125338,128244,130196,130939,131324,126341,129586,132770,133878,132590,140632,138122,137397,137188,143953,144714,143044
ITL3,TLL24,Powys,60199,63435,63254,60664,61870,61238,60402,60844,61405,62249,63370,64209,63408,67048,67881,64534,66142,64322,61959
ITL3,TLM50,Aberdeen City and Aberdeenshire,260820,262570,266286,262842,266228,277082,283057,279773,279756,289108,293827,297983,303687,298949,287047,294222,284770,285572,275812
ITL3,TLM61,Caithness and Sutherland and Ross and Cromarty,39600,42180,40897,41403,44022,44892,45906,42386,40196,41471,40511,43068,42685,39524,40804,39474,39503,40105,42471
ITL3,TLM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",92188,96570,95464,96129,99344,102082,105144,98475,100015,101891,98713,105747,104773,103508,107347,106772,106832,106742,105798
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",52932,55734,53701,55077,59004,57994,57115,52965,53107,51221,51280,51804,50564,50815,53509,52549,53351,54454,51745
ITL3,TLM64,Na h-Eileanan Siar,11277,12677,12612,12409,12498,12421,12879,11409,11889,11538,11576,12281,11681,12137,12246,11836,12762,12545,13337
ITL3,TLM65,Orkney Islands,10198,10320,10716,11092,11253,11620,11051,11462,11625,11270,11403,11380,11099,11469,12186,13153,12666,12578,12487
ITL3,TLM66,Shetland Islands,12105,13518,14319,15057,14249,14024,14390,15542,16757,14091,13164,14580,15123,15911,14065,14385,14466,14295,15970
ITL3,TLM71,Angus and Dundee City,116993,118064,117788,121261,120764,119094,121896,121322,116356,115129,113547,115390,115007,115430,117939,119780,116395,118595,116937
ITL3,TLM72,Clackmannanshire and Fife,163868,161767,164758,165664,165811,163976,154525,151970,151672,154082,153086,155655,160755,158067,161051,156552,155374,156128,156860
ITL3,TLM73,East Lothian and Midlothian,55253,57440,57910,59269,60398,62013,62091,58022,58265,59937,60320,63905,66461,65675,64317,66207,67336,65886,68718
ITL3,TLM75,City of Edinburgh,326691,331830,329702,332772,329618,328300,327790,324279,319681,331114,347445,334121,328422,333845,334956,341406,352774,357989,360613
ITL3,TLM76,Falkirk,59991,59834,61789,61579,62143,64154,63638,61653,58751,62723,62747,67572,66676,66978,67284,67420,65332,66665,67715
ITL3,TLM77,Perth and Kinross and Stirling,113578,109730,112174,117026,117102,120567,118508,118407,116700,111244,113013,117762,115626,115606,118169,119339,117406,125882,116410
ITL3,TLM78,West Lothian,71963,76596,76588,76066,79855,78844,80846,79245,78539,76137,78212,74996,79532,78028,77165,78235,78706,80608,82758
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",76908,72784,69874,72342,73707,74302,77395,70738,70749,69888,69619,71515,73314,70222,69713,70459,69624,70593,69453
ITL3,TLM82,Glasgow City,400685,398979,403657,422115,414554,413579,435831,422258,398871,401842,398765,372619,418779,418076,418740,421006,418523,427999,435942
ITL3,TLM83,"Inverclyde, East Renfrewshire and Renfrewshire",131939,133342,130239,132543,134611,136375,136970,130377,129535,128360,121452,126012,130546,141090,138974,138336,138410,136125,139473
ITL3,TLM84,North Lanarkshire,122952,122114,122546,129319,135941,138146,137109,129061,127691,122977,126212,128445,135905,135053,131420,136640,137893,134292,137828
ITL3,TLM91,Scottish Borders,50106,49457,48745,50827,49792,51135,53176,48539,47834,49002,47757,49723,47621,47307,48853,49486,48939,50592,50290
ITL3,TLM92,Dumfries and Galloway,63114,62609,64822,66039,68362,68264,69380,66458,65580,66557,65500,67851,66199,66930,69055,70341,70830,68872,65434
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,82930,85934,83136,83306,85624,85152,89130,81680,84400,83708,81223,82426,84011,84506,87303,89965,84414,84501,83330
ITL3,TLM94,South Ayrshire,48780,47657,50501,49245,52809,52913,53419,51215,49322,49380,47984,50240,47848,49055,49901,49319,48232,50003,47507
ITL3,TLM95,South Lanarkshire,116634,121846,125808,129717,133892,134432,129832,123412,118030,126043,124074,126162,122084,124967,123119,122829,120954,122178,128140
ITL3,TLN06,Belfast,223520,227251,231621,231604,234788,234014,238186,234262,247302,233232,227622,229910,230619,237384,242676,241219,241467,247925,250904
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",70115,71388,72507,75468,76222,77670,78969,76958,73761,76079,73896,78683,79777,80147,81610,83943,86584,88244,84019
ITL3,TLN08,"Newry, Mourne and Down",55550,56808,57709,60000,60438,62087,62960,61265,61738,60618,58695,60571,60402,60778,61619,64313,65778,66744,64178
ITL3,TLN09,Ards and North Down,43321,43932,45308,45898,46090,44915,44914,44745,43850,43492,41296,42852,43091,43989,44301,43667,43893,44024,47545
ITL3,TLN0A,Derry City and Strabane,58766,58879,59536,59390,59872,60093,61141,61039,64648,60533,60217,58137,59147,60173,61864,63040,64977,67854,71057
ITL3,TLN0B,Mid Ulster,47385,49694,50399,52972,53271,56058,56927,54595,55374,54889,53654,56583,57466,58942,59698,63054,65625,67597,67566
ITL3,TLN0C,Causeway Coast and Glens,47429,49016,50728,51022,51502,50578,50739,45722,46614,45404,45913,46480,48877,48007,46864,47088,48099,48790,47951
ITL3,TLN0D,Antrim and Newtownabbey,62731,60104,62385,64828,65225,63389,63673,63648,66054,63117,61820,62501,62493,62749,63714,66380,65264,68107,68079
ITL3,TLN0E,Lisburn and Castlereagh,56764,57457,59267,61443,61842,61812,62305,63072,58777,60288,57971,58304,61388,61172,62011,62739,64313,66018,66964
ITL3,TLN0F,Mid and East Antrim,52564,51490,52457,54926,55304,55334,56281,53839,46909,49860,49046,48763,49315,49348,50339,49317,49456,49815,52366
ITL3,TLN0G,Fermanagh and Omagh,45089,46749,47557,48586,48850,48727,49372,48130,47846,47506,46327,47106,49145,48293,48279,50114,50041,50784,47275
