geography_code,date,date_name,value,notes
E14000653,2024-03-01,Apr 2023-Mar 2024,9.1,Normal Value
E14000654,2024-03-01,Apr 2023-Mar 2024,18.6,Normal Value
E14000655,2024-03-01,Apr 2023-Mar 2024,16.8,Normal Value
E14000656,2024-03-01,Apr 2023-Mar 2024,11.6,Normal Value
E14000657,2024-03-01,Apr 2023-Mar 2024,20.2,Normal Value
E14000658,2024-03-01,Apr 2023-Mar 2024,14.9,Normal Value
E14000659,2024-03-01,Apr 2023-Mar 2024,14.8,Normal Value
E14000660,2024-03-01,Apr 2023-Mar 2024,23.6,Normal Value
E14000661,2024-03-01,Apr 2023-Mar 2024,24.2,Normal Value
E14000662,2024-03-01,Apr 2023-Mar 2024,23.2,Normal Value
E14000663,2024-03-01,Apr 2023-Mar 2024,20.4,Normal Value
E14000664,2024-03-01,Apr 2023-Mar 2024,18.8,Normal Value
E14000665,2024-03-01,Apr 2023-Mar 2024,12.8,Normal Value
E14000666,2024-03-01,Apr 2023-Mar 2024,32.1,Normal Value
E14000667,2024-03-01,Apr 2023-Mar 2024,23.5,Normal Value
E14000668,2024-03-01,Apr 2023-Mar 2024,25.9,Normal Value
E14000669,2024-03-01,Apr 2023-Mar 2024,14.9,Normal Value
E14000670,2024-03-01,Apr 2023-Mar 2024,26.1,Normal Value
E14000671,2024-03-01,Apr 2023-Mar 2024,21.5,Normal Value
E14000672,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000673,2024-03-01,Apr 2023-Mar 2024,15.3,Normal Value
E14000674,2024-03-01,Apr 2023-Mar 2024,19.7,Normal Value
E14000675,2024-03-01,Apr 2023-Mar 2024,16.7,Normal Value
E14000676,2023-06-01,Jul 2022-Jun 2023,16.8,Normal Value
E14000677,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000678,2024-03-01,Apr 2023-Mar 2024,15.8,Normal Value
E14000679,2024-03-01,Apr 2023-Mar 2024,23.4,Normal Value
E14000680,2024-03-01,Apr 2023-Mar 2024,9.1,Normal Value
E14000681,2024-03-01,Apr 2023-Mar 2024,20.2,Normal Value
E14000682,2024-03-01,Apr 2023-Mar 2024,19.8,Normal Value
E14000683,2024-03-01,Apr 2023-Mar 2024,29.6,Normal Value
E14000684,2024-03-01,Apr 2023-Mar 2024,17.4,Normal Value
E14000685,2024-03-01,Apr 2023-Mar 2024,19.0,Normal Value
E14000686,2024-03-01,Apr 2023-Mar 2024,23.3,Normal Value
E14000687,2024-03-01,Apr 2023-Mar 2024,33.8,Normal Value
E14000688,2024-03-01,Apr 2023-Mar 2024,31.8,Normal Value
E14000689,2024-03-01,Apr 2023-Mar 2024,26.4,Normal Value
E14000690,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000691,2024-03-01,Apr 2023-Mar 2024,33.6,Normal Value
E14000692,2024-03-01,Apr 2023-Mar 2024,21.6,Normal Value
E14000693,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000694,2024-03-01,Apr 2023-Mar 2024,10.3,Normal Value
E14000695,2024-03-01,Apr 2023-Mar 2024,13.7,Normal Value
E14000696,2024-03-01,Apr 2023-Mar 2024,14.7,Normal Value
E14000697,2024-03-01,Apr 2023-Mar 2024,22.6,Normal Value
E14000698,2024-03-01,Apr 2023-Mar 2024,18.0,Normal Value
E14000699,2024-03-01,Apr 2023-Mar 2024,12.6,Normal Value
E14000700,2024-03-01,Apr 2023-Mar 2024,26.2,Normal Value
E14000701,2024-03-01,Apr 2023-Mar 2024,28.4,Normal Value
E14000702,2024-03-01,Apr 2023-Mar 2024,10.1,Normal Value
E14000703,2024-03-01,Apr 2023-Mar 2024,13.8,Normal Value
E14000704,2024-03-01,Apr 2023-Mar 2024,21.5,Normal Value
E14000705,2024-03-01,Apr 2023-Mar 2024,15.8,Normal Value
E14000706,2024-03-01,Apr 2023-Mar 2024,29.9,Normal Value
E14000707,2024-03-01,Apr 2023-Mar 2024,25.5,Normal Value
E14000708,2024-03-01,Apr 2023-Mar 2024,28.3,Normal Value
E14000709,2024-03-01,Apr 2023-Mar 2024,20.8,Normal Value
E14000710,2024-03-01,Apr 2023-Mar 2024,22.4,Normal Value
E14000711,2024-03-01,Apr 2023-Mar 2024,19.5,Normal Value
E14000712,2024-03-01,Apr 2023-Mar 2024,9.4,Normal Value
E14000713,2024-03-01,Apr 2023-Mar 2024,20.6,Normal Value
E14000714,2024-03-01,Apr 2023-Mar 2024,25.6,Normal Value
E14000715,2024-03-01,Apr 2023-Mar 2024,13.2,Normal Value
E14000716,2024-03-01,Apr 2023-Mar 2024,28.8,Normal Value
E14000717,2024-03-01,Apr 2023-Mar 2024,28.2,Normal Value
E14000718,2024-03-01,Apr 2023-Mar 2024,9.8,Normal Value
E14000719,2024-03-01,Apr 2023-Mar 2024,15.5,Normal Value
E14000720,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000721,2024-03-01,Apr 2023-Mar 2024,12.5,Normal Value
E14000722,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000723,2024-03-01,Apr 2023-Mar 2024,27.0,Normal Value
E14000724,2024-03-01,Apr 2023-Mar 2024,19.0,Normal Value
E14000725,2024-03-01,Apr 2023-Mar 2024,25.5,Normal Value
E14000726,2024-03-01,Apr 2023-Mar 2024,15.4,Normal Value
E14000727,2024-03-01,Apr 2023-Mar 2024,39.8,Normal Value
E14000728,2024-03-01,Apr 2023-Mar 2024,15.6,Normal Value
E14000729,2024-03-01,Apr 2023-Mar 2024,27.2,Normal Value
E14000730,2024-03-01,Apr 2023-Mar 2024,18.8,Normal Value
E14000731,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000732,2024-03-01,Apr 2023-Mar 2024,19.1,Normal Value
E14000733,2024-03-01,Apr 2023-Mar 2024,30.0,Normal Value
E14000734,2024-03-01,Apr 2023-Mar 2024,20.8,Normal Value
E14000735,2024-03-01,Apr 2023-Mar 2024,16.7,Normal Value
E14000736,2024-03-01,Apr 2023-Mar 2024,33.6,Normal Value
E14000737,2024-03-01,Apr 2023-Mar 2024,32.8,Normal Value
E14000738,2024-03-01,Apr 2023-Mar 2024,19.7,Normal Value
E14000739,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000740,2024-03-01,Apr 2023-Mar 2024,37.1,Normal Value
E14000741,2024-03-01,Apr 2023-Mar 2024,32.0,Normal Value
E14000742,2024-03-01,Apr 2023-Mar 2024,14.6,Normal Value
E14000743,2024-03-01,Apr 2023-Mar 2024,16.5,Normal Value
E14000744,2024-03-01,Apr 2023-Mar 2024,19.3,Normal Value
E14000745,2024-03-01,Apr 2023-Mar 2024,26.4,Normal Value
E14000746,2024-03-01,Apr 2023-Mar 2024,23.9,Normal Value
E14000747,2024-03-01,Apr 2023-Mar 2024,26.9,Normal Value
E14000748,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000749,2024-03-01,Apr 2023-Mar 2024,18.3,Normal Value
E14000750,2024-03-01,Apr 2023-Mar 2024,29.0,Normal Value
E14000751,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000752,2024-03-01,Apr 2023-Mar 2024,28.7,Normal Value
E14000753,2024-03-01,Apr 2023-Mar 2024,21.3,Normal Value
E14000754,2024-03-01,Apr 2023-Mar 2024,24.1,Normal Value
E14000755,2024-03-01,Apr 2023-Mar 2024,12.5,Normal Value
E14000756,2024-03-01,Apr 2023-Mar 2024,17.0,Normal Value
E14000757,2024-03-01,Apr 2023-Mar 2024,9.8,Normal Value
E14000758,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000759,2024-03-01,Apr 2023-Mar 2024,20.7,Normal Value
E14000760,2024-03-01,Apr 2023-Mar 2024,27.2,Normal Value
E14000761,2024-03-01,Apr 2023-Mar 2024,18.2,Normal Value
E14000762,2024-03-01,Apr 2023-Mar 2024,25.7,Normal Value
E14000763,2024-03-01,Apr 2023-Mar 2024,21.1,Normal Value
E14000764,2024-03-01,Apr 2023-Mar 2024,16.6,Normal Value
E14000765,2024-03-01,Apr 2023-Mar 2024,26.1,Normal Value
E14000766,2024-03-01,Apr 2023-Mar 2024,22.7,Normal Value
E14000767,2024-03-01,Apr 2023-Mar 2024,21.4,Normal Value
E14000768,2024-03-01,Apr 2023-Mar 2024,32.2,Normal Value
E14000769,2024-03-01,Apr 2023-Mar 2024,25.1,Normal Value
E14000770,2024-03-01,Apr 2023-Mar 2024,10.1,Normal Value
E14000771,2024-03-01,Apr 2023-Mar 2024,24.6,Normal Value
E14000772,2024-03-01,Apr 2023-Mar 2024,31.3,Normal Value
E14000773,2024-03-01,Apr 2023-Mar 2024,26.9,Normal Value
E14000774,2024-03-01,Apr 2023-Mar 2024,17.2,Normal Value
E14000775,2024-03-01,Apr 2023-Mar 2024,21.9,Normal Value
E14000776,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000777,2024-03-01,Apr 2023-Mar 2024,34.1,Normal Value
E14000778,2024-03-01,Apr 2023-Mar 2024,39.4,Normal Value
E14000779,2024-03-01,Apr 2023-Mar 2024,16.3,Normal Value
E14000780,2024-03-01,Apr 2023-Mar 2024,20.9,Normal Value
E14000781,2024-03-01,Apr 2023-Mar 2024,18.4,Normal Value
E14000782,2024-03-01,Apr 2023-Mar 2024,29.2,Normal Value
E14000783,2024-03-01,Apr 2023-Mar 2024,25.9,Normal Value
E14000784,2024-03-01,Apr 2023-Mar 2024,21.5,Normal Value
E14000785,2024-03-01,Apr 2023-Mar 2024,25.9,Normal Value
E14000786,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000787,2024-03-01,Apr 2023-Mar 2024,20.3,Normal Value
E14000788,2024-03-01,Apr 2023-Mar 2024,15.5,Normal Value
E14000789,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000790,2024-03-01,Apr 2023-Mar 2024,30.7,Normal Value
E14000791,2024-03-01,Apr 2023-Mar 2024,14.9,Normal Value
E14000792,2024-03-01,Apr 2023-Mar 2024,25.1,Normal Value
E14000793,2024-03-01,Apr 2023-Mar 2024,31.3,Normal Value
E14000794,2024-03-01,Apr 2023-Mar 2024,27.8,Normal Value
E14000795,2024-03-01,Apr 2023-Mar 2024,21.7,Normal Value
E14000796,2024-03-01,Apr 2023-Mar 2024,23.3,Normal Value
E14000797,2024-03-01,Apr 2023-Mar 2024,23.3,Normal Value
E14000798,2024-03-01,Apr 2023-Mar 2024,18.8,Normal Value
E14000799,2024-03-01,Apr 2023-Mar 2024,20.8,Normal Value
E14000800,2024-03-01,Apr 2023-Mar 2024,29.4,Normal Value
E14000801,2024-03-01,Apr 2023-Mar 2024,23.4,Normal Value
E14000802,2024-03-01,Apr 2023-Mar 2024,10.7,Normal Value
E14000803,2024-03-01,Apr 2023-Mar 2024,14.0,Normal Value
E14000804,2024-03-01,Apr 2023-Mar 2024,23.9,Normal Value
E14000805,2024-03-01,Apr 2023-Mar 2024,32.4,Normal Value
E14000806,2024-03-01,Apr 2023-Mar 2024,7.7,Normal Value
E14000807,2024-03-01,Apr 2023-Mar 2024,30.3,Normal Value
E14000808,2024-03-01,Apr 2023-Mar 2024,36.5,Normal Value
E14000809,2024-03-01,Apr 2023-Mar 2024,27.4,Normal Value
E14000810,2024-03-01,Apr 2023-Mar 2024,28.4,Normal Value
E14000811,2024-03-01,Apr 2023-Mar 2024,24.9,Normal Value
E14000812,2024-03-01,Apr 2023-Mar 2024,20.7,Normal Value
E14000813,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000814,2024-03-01,Apr 2023-Mar 2024,11.6,Normal Value
E14000815,2024-03-01,Apr 2023-Mar 2024,12.4,Normal Value
E14000816,2024-03-01,Apr 2023-Mar 2024,32.8,Normal Value
E14000817,2024-03-01,Apr 2023-Mar 2024,20.9,Normal Value
E14000818,2024-03-01,Apr 2023-Mar 2024,25.1,Normal Value
E14000819,2024-03-01,Apr 2023-Mar 2024,32.6,Normal Value
E14000820,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
