ITL level,ITL code,Region name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ITL2,TLJ4,Kent,722693,719256,714409,731262,715487,738065,745688,728464,738423,749819,742365,751749,769862,789058,814463,811883,806837,823899,827430
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",1164771,1178620,1190907,1185211,1183682,1206848,1212935,1221717,1231869,1248138,1221959,1242003,1300814,1311959,1322971,1319728,1352395,1386732,1379838
ITL2,TLK2,Dorset and Somerset,544162,553074,564566,584261,582941,589394,600548,593943,599826,598130,598877,622595,623196,623002,630673,636484,659497,652685,638917
ITL2,TLK3,Cornwall and Isles of Scilly,225245,227569,226836,226784,239003,248939,255976,245738,250255,253082,248772,251639,258891,256037,260551,268790,267363,262693,268550
ITL2,TLK4,Devon,508808,507993,528103,527911,540331,538715,536329,540930,541915,540085,549988,548431,557417,578051,564644,576034,578666,581358,576473
ITL2,TLL1,West Wales and The Valleys,715405,727484,734130,766136,767036,768079,769092,771054,765924,755021,766568,774358,797297,804047,806777,789302,798716,801116,789928
ITL2,TLL2,East Wales,529939,540570,550062,552378,563101,559884,563390,554512,561137,560899,558819,556180,578327,583672,590071,598394,614114,609952,596268
ITL2,TLM5,North Eastern Scotland,260820,262570,266286,262842,266228,277082,283057,279773,279756,289108,293827,297983,303687,298949,287047,294222,284770,285572,275812
ITL2,TLM6,Highlands and Islands,218301,231000,227709,231166,240370,243032,246483,232239,233588,231482,226648,238859,235924,233364,240156,238169,239580,240720,241807
ITL2,TLM7,Eastern Scotland,908336,915261,920709,933637,935691,936948,929293,914898,899963,910365,928370,929401,932479,933629,940880,948939,953322,971754,970012
ITL2,TLM8,West Central Scotland,732485,727219,726317,756319,758814,762402,787305,752434,726847,723067,716048,698591,758544,764441,758847,766441,764450,769009,782695
ITL2,TLM9,Southern Scotland,361563,367503,373012,379135,390479,391895,394936,371304,365166,374690,366538,376402,367763,372765,378231,381940,373369,376146,374700
ITL2,TLN0,Northern Ireland,763233,772768,789474,806138,813404,814677,825469,807274,812874,795018,776455,789890,801720,810982,822974,834874,845496,865903,867905
