REF_AREA,country,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,HP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I,LP_I
CHL,Chile,,,,,,,,,,,,,,30.133333333333336,,29.96666666666667,,,30.96666666666667,,,27.5,,,28.566666666666666,,27.433333333333337,,25.900000000000002,,24.733333333333334,,27.733333333333334,,,32.43333333333334,33.23333333333333,30.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.03333333333333,,18.599999999999998,,,14.766666666666666,,,13.433333333333332,,,10.133333333333333,,9.833333333333334,,11.933333333333332,,12.466666666666667,,10.9,,,12.0,9.066666666666666,8.5,
COL,Colombia,,,,,,,,,,,,,,,,,,,,,,,28.7,28.099999999999998,27.266666666666666,28.0,27.3,26.46666666666667,27.099999999999998,26.400000000000002,26.066666666666666,25.866666666666664,25.066666666666666,24.8,24.96666666666667,25.400000000000002,25.166666666666668,27.099999999999998,27.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.133333333333336,16.833333333333332,16.066666666666666,15.266666666666666,16.5,15.566666666666668,14.466666666666667,13.066666666666668,13.1,11.433333333333335,10.6,10.033333333333333,12.033333333333333,13.1,11.700000000000001,12.366666666666667,12.833333333333334
CRI,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,18.433333333333334,19.900000000000002,18.766666666666666,17.066666666666666,18.766666666666666,17.833333333333332,18.900000000000002,16.7,16.7,18.366666666666667,18.366666666666667,20.599999999999998,18.166666666666668,19.833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.400000000000002,17.133333333333333,17.3,16.433333333333334,16.866666666666667,16.366666666666667,15.666666666666666,14.299999999999999,13.366666666666667,12.933333333333332,15.233333333333334,12.566666666666668,11.1,10.133333333333333
CYP,Cyprus,,,,,,,,,,,,,,,,,,21.666666666666668,,,,24.666666666666668,,,,28.0,,,,27.666666666666668,,,,27.0,28.2,28.7,29.266666666666666,28.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,22.8,,,,20.633333333333333,,,,18.2,,,,16.599999999999998,16.266666666666666,14.966666666666667,15.866666666666667,16.733333333333334,
CZE,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.433333333333334,16.966666666666665,,17.433333333333334,,17.5,18.7,19.266666666666666,20.099999999999998,20.533333333333335,20.23333333333333,20.233333333333334,20.233333333333334,20.466666666666665,20.599999999999998,20.566666666666666,20.133333333333336,20.3,20.633333333333333,21.0,20.099999999999998,20.166666666666668,19.933333333333334,18.566666666666666,17.966666666666665,17.400000000000002,17.5,17.599999999999998
DEU,Germany,,,,,,,,15.033333333333333,15.466666666666667,13.833333333333334,14.866666666666667,14.833333333333334,13.9,15.366666666666667,15.633333333333333,14.4,14.4,14.533333333333331,14.433333333333332,15.4,14.9,16.566666666666666,15.033333333333333,15.799999999999999,15.666666666666666,16.099999999999998,17.266666666666666,16.933333333333334,17.466666666666665,17.2,18.666666666666668,17.133333333333333,17.966666666666665,17.733333333333334,16.666666666666668,16.766666666666666,17.333333333333332,17.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,22.866666666666664,18.3,16.2,15.366666666666667,15.433333333333335,15.9,17.03333333333333,17.099999999999998,17.466666666666665,18.366666666666667,19.333333333333332,19.166666666666668,19.599999999999998,19.5,20.066666666666666,19.46666666666667,18.8,20.566666666666666,20.266666666666666,20.099999999999998,20.400000000000002,19.7,19.3,20.400000000000002,20.033333333333335,18.066666666666666,18.76666666666667,18.7,18.366666666666664,17.2,16.900000000000002,
DNK,Denmark,,,,,,,,,,,,,,,,,,1.9000000000000001,1.8333333333333333,1.9000000000000001,2.3333333333333335,2.2666666666666666,2.2666666666666666,2.3000000000000003,2.1999999999999997,2.5,2.6333333333333333,2.6666666666666665,2.766666666666667,2.6,2.6999999999999997,2.733333333333333,2.6,2.6666666666666665,,,2.466666666666667,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.966666666666666,8.033333333333333,7.233333333333333,6.8999999999999995,8.200000000000001,8.333333333333334,8.433333333333334,7.866666666666667,8.1,8.033333333333333,8.1,8.4,8.933333333333334,8.700000000000001,8.733333333333333,9.033333333333333,9.200000000000001,,,10.0,10.266666666666667,
ESP,Spain,,,,,,,,,,,,,,,,,,24.333333333333332,,,,24.0,,,,24.666666666666668,,,,25.666666666666668,,,,25.666666666666668,27.833333333333332,25.566666666666666,27.133333333333336,26.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.833333333333334,,,,11.166666666666666,,,,11.200000000000001,,,,10.4,,,,11.200000000000001,11.033333333333333,9.6,12.033333333333333,10.799999999999999,
EST,Estonia,,,,,,,,,,,,,,,,,,25.333333333333332,,,,25.666666666666668,,,,25.333333333333332,,,,23.666666666666668,,,,21.333333333333332,20.433333333333334,19.533333333333335,19.633333333333333,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,20.5,,,,21.0,,,,19.966666666666665,,,,19.433333333333334,20.099999999999998,19.233333333333334,19.7,19.233333333333334,
FIN,Finland,,,,,,,,,,,,,,,,,15.466666666666667,15.566666666666665,15.566666666666668,15.066666666666668,15.966666666666667,15.666666666666666,16.366666666666667,16.2,16.599999999999998,17.0,16.8,16.266666666666666,15.9,16.566666666666666,16.933333333333334,16.533333333333335,17.2,17.0,16.866666666666664,,16.966666666666665,16.53333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.233333333333333,7.666666666666667,6.5,7.066666666666666,7.033333333333334,7.666666666666667,8.1,8.633333333333333,8.533333333333333,8.166666666666666,9.333333333333334,8.966666666666667,9.066666666666666,8.466666666666667,7.8,7.099999999999999,7.6000000000000005,7.966666666666666,8.700000000000001,,8.466666666666667,8.966666666666667,
FRA,France,,,,,,,,,,,,,,,,,,20.0,,,,19.333333333333332,,,,21.0,,,,20.333333333333332,,,,21.0,22.433333333333334,23.099999999999998,21.933333333333334,22.133333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.299999999999999,,,,6.666666666666667,,,,5.933333333333334,,,,7.466666666666666,,,,7.966666666666666,6.466666666666666,5.366666666666667,10.0,8.299999999999999,
GBR,United Kingdom,,,,,,,,,,,,,25.2,25.5,25.4,25.7,26.0,25.9,26.0,26.1,26.7,26.5,26.3,26.7,26.5,26.5,26.9,26.7,26.6,26.4,26.1,26.0,25.9,25.7,25.5,25.9,24.9,24.0,23.1,31.133333333333336,29.63333333333333,29.433333333333334,30.366666666666664,28.433333333333334,24.933333333333334,23.066666666666666,21.400000000000002,22.666666666666668,23.333333333333332,22.733333333333334,22.400000000000002,22.5,22.2,23.03333333333333,23.133333333333336,23.366666666666664,23.599999999999998,23.8,23.666666666666668,23.366666666666664,22.46666666666667,22.566666666666666,22.266666666666666,22.166666666666668,22.633333333333336,22.366666666666664,24.666666666666668,24.933333333333334,24.333333333333332,24.566666666666666,24.666666666666668,24.5,24.3,24.266666666666666,24.433333333333334,24.333333333333332,24.233333333333334,24.633333333333336,24.066666666666666,24.233333333333334,24.166666666666668,24.0,24.066666666666666,24.0,23.566666666666666,22.766666666666666,22.46666666666667,22.46666666666667,21.53333333333333,22.366666666666664,20.03333333333333,24.7,23.5
GRC,Greece,,,,,,,,,,,,,,,,,,25.333333333333332,,,,20.0,,,,18.666666666666668,,,,20.666666666666668,,,,26.0,26.36666666666667,27.96666666666667,28.8,28.833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.033333333333333,,,,16.066666666666666,,,,12.700000000000001,,,,16.0,,,,16.566666666666666,15.9,12.133333333333333,13.5,10.5,
HRV,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,21.333333333333332,,,,18.666666666666668,,,,19.666666666666668,15.266666666666666,14.866666666666667,15.966666666666667,14.200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.066666666666663,,,,23.5,,,,18.46666666666667,21.133333333333333,20.266666666666666,20.766666666666666,19.2,
HUN,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.633333333333335,,,16.933333333333334,,,19.566666666666666,19.133333333333333,20.8,19.966666666666665,21.0,21.900000000000002,22.0,22.633333333333336,23.433333333333334,21.7,21.7,22.7,22.96666666666667,23.099999999999998,23.133333333333336,21.166666666666668,20.8,21.8,21.0,20.0,17.400000000000002,16.833333333333332,18.666666666666668,19.833333333333332,19.6,15.699999999999998,15.966666666666669,20.3,19.833333333333332,21.099999999999998,19.3,
IRL,Ireland,,,,,,,,,,,,,,,,,,25.333333333333332,,,,25.0,,,,24.0,,,,25.666666666666668,,,,28.333333333333332,27.733333333333334,29.3,29.666666666666668,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.666666666666668,,,,18.5,,,,17.933333333333334,,,,17.2,,,,15.066666666666668,15.033333333333333,15.533333333333333,15.700000000000001,16.566666666666666,
ISL,Iceland,,,,,,,,,,,,,,,,,,21.666666666666668,,,,26.666666666666668,,,,22.0,,,,20.333333333333332,,,,20.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.299999999999999,,,,7.566666666666666,,,,6.666666666666667,,,,8.433333333333332,,,,7.8,,,,,
ISR,Israel,,,,,,,,,,,,,,,,,27.366666666666664,27.166666666666668,26.933333333333334,26.633333333333336,26.733333333333334,27.46666666666667,27.733333333333334,27.066666666666666,27.3,27.633333333333336,26.7,28.266666666666666,28.03333333333333,27.96666666666667,28.5,28.400000000000002,27.866666666666664,27.166666666666668,27.5,26.633333333333336,26.73333333333333,25.599999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.733333333333334,25.133333333333336,24.433333333333337,24.399999999999995,24.099999999999998,23.7,23.2,22.366666666666664,23.03333333333333,22.233333333333334,23.2,22.7,22.933333333333334,24.066666666666666,24.46666666666667,23.8,23.266666666666666,23.166666666666668,21.833333333333332,25.666666666666668,24.099999999999998,24.03333333333333,
ITA,Italy,,,,,,,,,,,,,,,,,,16.333333333333332,,,,17.666666666666668,,,,17.333333333333332,,,,18.0,,,,18.333333333333332,19.766666666666666,20.533333333333335,22.166666666666668,20.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,,,,8.633333333333333,,,,8.366666666666667,,,,4.449999999999999,,,,5.8999999999999995,5.3,5.7,6.766666666666667,6.199999999999999,
JPN,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.166666666666666,11.133333333333335,10.766666666666666,10.5,10.200000000000001,,,,,,24.133333333333336,20.366666666666667,21.5,21.666666666666668,22.8,23.333333333333332,23.599999999999998,23.833333333333332,23.366666666666664,23.46666666666667,23.633333333333336,23.36666666666667,23.166666666666668,22.933333333333334,22.599999999999998,22.2,21.400000000000002,20.033333333333335,19.8,19.366666666666664,19.099999999999998,19.166666666666668,19.0,18.333333333333332,18.166666666666668,18.133333333333336,18.2,17.7,17.666666666666668,17.433333333333334,19.333333333333332,19.3,18.333333333333332,17.7,16.900000000000002,16.933333333333334,16.599999999999998,16.433333333333334,16.3,15.9,15.266666666666666,14.266666666666666,13.833333333333334,13.566666666666668,13.233333333333334,12.066666666666668,11.833333333333334,11.333333333333334,11.466666666666669
KOR,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.099999999999998,,,,,,,27.53333333333333,28.900000000000002,28.03333333333333,27.3,27.400000000000002,27.599999999999998,27.933333333333337,27.399999999999995,28.5,27.96666666666667,28.333333333333332,27.766666666666666,27.5,28.399999999999995,27.599999999999998,28.366666666666664,27.900000000000002,27.5,27.066666666666666,26.0,25.899999999999995,26.733333333333334,25.63333333333333,25.433333333333334,25.333333333333332,23.96666666666667,20.366666666666667,18.066666666666666,17.066666666666666,16.7,18.066666666666666,17.2
LTU,Lithuania,,,,,,,,,,,,,,,,,,29.0,,,,28.666666666666668,,,,29.0,,,,25.333333333333332,,,,22.666666666666668,22.7,21.8,23.46666666666667,22.866666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.566666666666666,,,,25.866666666666664,,,,23.566666666666666,,,,19.933333333333334,,,,21.566666666666666,20.633333333333333,21.733333333333334,21.666666666666668,21.599999999999998,
LUX,Luxembourg,,,,,,,,,,,,,,,,,,20.333333333333332,,,,21.333333333333332,,,,22.0,,,,24.333333333333332,,,,24.666666666666668,24.266666666666666,26.533333333333335,20.8,23.46666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.266666666666666,,,,16.433333333333334,,,,16.0,,,,11.699999999999998,,,,12.133333333333333,13.200000000000001,12.533333333333331,12.533333333333333,12.866666666666667,
LVA,Latvia,,,,,,,,,,,,,,,,,,34.666666666666664,,,,29.333333333333332,,,,32.666666666666664,,,,29.666666666666668,,,,25.333333333333332,26.066666666666666,26.8,26.96666666666667,25.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,30.066666666666666,,,,21.933333333333334,,,,21.46666666666667,,,,21.833333333333332,22.166666666666668,21.900000000000002,22.733333333333334,21.233333333333334,
MEX,Mexico,,,,,,,,,,,,,,,,,,,,,18.900000000000002,22.133333333333336,18.433333333333334,20.066666666666666,21.166666666666668,21.066666666666666,18.933333333333334,20.366666666666664,21.633333333333336,21.5,20.266666666666666,19.066666666666666,20.566666666666666,19.966666666666665,17.133333333333336,19.333333333333332,21.666666666666668,18.233333333333334,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.233333333333334,17.900000000000002,20.8,20.066666666666666,18.0,20.233333333333334,18.766666666666666,16.900000000000002,15.0,15.666666666666666,18.233333333333334,17.033333333333335,14.033333333333333,16.53333333333333,17.900000000000002,17.466666666666665,13.633333333333333,16.366666666666667,18.2
MLT,Malta,,,,,,,,,,,,,,,,,,19.666666666666668,,,,15.333333333333334,,,,17.0,,,,19.0,,,,20.666666666666668,21.8,23.766666666666666,26.0,28.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.866666666666667,,,,10.5,,,,14.1,,,,14.033333333333331,,,,16.566666666666666,15.6,16.3,17.0,17.766666666666666,
NLD,Netherlands,,,,,,,,,,,,,,,,,,19.333333333333332,,,,21.0,,,,22.666666666666668,,,,26.0,,,,27.0,26.599999999999998,26.599999999999998,27.099999999999998,27.133333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,10.700000000000001,,,,9.166666666666666,,,,7.766666666666667,,,,7.0,7.233333333333333,6.633333333333333,6.566666666666667,7.833333333333333,
NOR,Norway,,,,,,,,,,,,,9.0,9.533333333333333,9.733333333333333,10.466666666666667,10.5,10.866666666666665,10.933333333333332,10.966666666666667,11.4,11.9,12.033333333333333,12.433333333333332,12.733333333333334,12.700000000000001,13.033333333333331,13.066666666666668,13.533333333333333,13.566666666666665,13.033333333333333,12.733333333333334,12.666666666666666,12.966666666666667,12.9,12.933333333333332,12.966666666666667,13.466666666666667,13.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4666666666666668,1.3333333333333333,1.5,1.7333333333333334,2.1999999999999997,2.533333333333333,2.6333333333333333,2.8333333333333335,2.966666666666667,3.233333333333333,3.533333333333333,3.9,3.8000000000000003,4.033333333333333,4.233333333333333,4.466666666666667,4.533333333333333,4.733333333333333,7.366666666666667,7.900000000000001,7.900000000000001,7.666666666666667,7.666666666666667,7.533333333333334,7.566666666666666,7.233333333333333,6.8999999999999995
NZL,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.633333333333333,13.633333333333333,12.533333333333333,12.0,12.4,13.9,13.466666666666667,13.5,12.733333333333334,14.866666666666667,13.700000000000001,12.799999999999999,13.066666666666668,12.866666666666665,13.9,13.700000000000001,14.200000000000001,14.066666666666668,14.033333333333333,11.333333333333334,12.266666666666666,8.533333333333333,7.066666666666666,8.366666666666667,1.5999999999999999,2.6666666666666665,3.4333333333333336
POL,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,13.4,11.5,15.2,12.633333333333333,12.833333333333334,14.133333333333333,15.700000000000001,15.466666666666667,16.3,16.599999999999998,16.833333333333332,16.633333333333333,,18.333333333333332,19.766666666666666,,22.233333333333334,,23.53333333333333,,23.03333333333333,,22.7,,22.399999999999995,,22.666666666666668,,21.666666666666668,,21.133333333333336,,18.900000000000002,,18.53333333333333,
PRT,Portugal,,,,,,,,,,,,,,,,,,25.333333333333332,,,,29.0,,,,31.666666666666668,,,,31.0,,,,28.0,28.400000000000002,30.03333333333333,30.53333333333333,29.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.366666666666667,,,,20.900000000000002,,,,16.066666666666666,,,,11.466666666666667,,,,3.6500000000000004,3.8499999999999996,3.5999999999999996,3.9,5.45,
ROU,Romania,,,,,,,,,,,,,,,,,,28.0,,,,28.666666666666668,,,,28.666666666666668,,,,29.0,,,,27.0,27.933333333333334,29.333333333333332,31.233333333333334,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,27.099999999999998,,,,24.96666666666667,,,,24.0,,,,20.733333333333334,30.900000000000002,25.733333333333334,19.033333333333335,35.86666666666667,
SVK,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.333333333333332,18.0,18.333333333333332,18.0,18.333333333333332,18.333333333333332,19.333333333333332,20.0,20.0,20.0,19.666666666666668,20.0,20.0,19.666666666666668,19.0,18.333333333333332,18.0,16.333333333333332,15.666666666666666,15.333333333333334,15.0,15.666666666666666
SVN,Slovenia,,,,,,,,,,,,,,,,,,23.0,,,,24.0,,,,23.333333333333332,,,,23.666666666666668,,,,22.0,21.399999999999995,21.46666666666667,21.266666666666666,20.466666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,20.166666666666668,,,,17.933333333333334,,,,18.833333333333332,,,,17.2,16.3,15.633333333333333,14.4,15.666666666666666,
TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,,,31.666666666666668,,,,27.333333333333332,,,,28.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43333333333333335,,,,0.6999999999999998,,,,0.8000000000000002,,,,0.9666666666666667,,,,,
USA,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.566666666666663,23.8,25.233333333333334,25.266666666666666,25.366666666666664,25.53333333333333,23.866666666666664,23.7,23.666666666666668,23.900000000000002,21.53333333333333,22.7,24.833333333333332,24.399999999999995,24.53333333333333,25.0,24.3,23.7,23.233333333333334,23.733333333333334,24.46666666666667,25.666666666666668,25.8,25.700000000000003,25.433333333333334,25.099999999999998,25.0,25.233333333333334,24.266666666666666,23.96666666666667,23.7,24.3,24.366666666666664,24.599999999999998,24.933333333333334,24.866666666666664,25.166666666666668,25.599999999999998,25.400000000000002,25.633333333333336,25.3,25.233333333333334,25.333333333333332,25.233333333333334,24.833333333333332,24.400000000000002,23.7,24.099999999999998,22.96666666666667,22.96666666666667,23.566666666666666
