NUTS18CD,NUTS18NM,Hours Growth (%),Real GVA Growth (%)
UKI54,Enfield,6.62,12.47
UKI61,Bromley,4.36,9.40
UKI62,Croydon,3.69,4.75
UKI63,"Merton, Kingston upon Thames and Sutton",10.76,10.33
UKI71,Barnet,11.15,20.34
UKI72,Brent,28.64,24.55
UKI73,Ealing,10.25,18.15
UKI74,Harrow and Hillingdon,8.84,13.81
UKI75,Hounslow and Richmond upon Thames,22.40,52.14
UKJ11,Berkshire,13.90,19.75
UKJ12,Milton Keynes,25.78,47.34
UKJ13,Buckinghamshire CC,19.66,6.20
UKJ14,Oxfordshire,18.57,11.06
UKJ21,Brighton and Hove,21.31,25.67
UKJ22,East Sussex CC,9.17,6.22
UKJ25,West Surrey,7.84,17.64
UKJ26,East Surrey,-5.41,-5.87
UKJ27,West Sussex (South West),13.49,10.55
UKJ28,West Sussex (North East),10.82,9.21
UKJ31,Portsmouth,-5.96,4.95
UKJ32,Southampton,10.23,-6.57
UKJ34,Isle of Wight,16.44,0.99
UKJ35,South Hampshire,-0.94,12.17
UKJ36,Central Hampshire,11.36,11.29
UKJ37,North Hampshire,9.90,15.60
UKJ41,Medway,4.02,15.04
UKJ43,Kent Thames Gateway,16.38,10.82
UKJ44,East Kent,10.05,4.39
UKJ45,Mid Kent,9.03,13.61
UKJ46,West Kent,14.95,17.89
UKK11,"Bristol, City of",19.94,17.35
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",8.87,14.19
UKK13,Gloucestershire,15.16,6.53
UKK14,Swindon,8.64,16.40
UKK15,Wiltshire,12.70,14.67
UKK21,Bournemouth and Poole,17.56,9.33
UKK22,Dorset CC,7.15,14.69
UKK23,Somerset,11.59,13.42
UKK30,Cornwall and Isles of Scilly,6.46,16.95
UKK41,Plymouth,2.94,12.02
UKK42,Torbay,0.86,-4.16
UKK43,Devon CC,7.67,9.40
UKL11,Isle of Anglesey,16.07,5.06
UKL12,Gwynedd,5.82,4.26
UKL13,Conwy and Denbighshire,20.54,21.17
UKL14,South West Wales,8.81,10.88
UKL15,Central Valleys,6.61,3.60
UKL16,Gwent Valleys,0.13,14.05
UKL17,Bridgend and Neath Port Talbot,8.52,15.18
UKL18,Swansea,8.67,13.04
UKL21,Monmouthshire and Newport,13.13,16.39
UKL22,Cardiff and Vale of Glamorgan,14.69,19.94
UKL23,Flintshire and Wrexham,15.43,8.79
UKL24,Powys,10.33,13.10
UKM50,Aberdeen City and Aberdeenshire,5.68,6.21
UKM61,Caithness and Sutherland and Ross and Cromarty,4.44,8.23
UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",12.41,16.06
UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",3.03,3.97
UKM64,Na h-Eileanan Siar,25.39,-4.59
UKM65,Orkney Islands,-6.26,-14.20
UKM66,Shetland Islands,-14.33,-12.83
UKM71,Angus and Dundee City,-0.76,5.68
UKM72,Clackmannanshire and Fife,2.03,4.87
UKM73,East Lothian and Midlothian,24.25,31.37
UKM75,City of Edinburgh,9.22,23.15
UKM76,Falkirk,16.06,11.36
UKM77,Perth and Kinross and Stirling,0.11,7.32
UKM78,West Lothian,3.88,8.35
UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",3.96,18.62
UKM82,Glasgow City,8.58,9.61
UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",10.14,10.44
UKM84,North Lanarkshire,11.00,24.73
UKM91,Scottish Borders,8.82,20.62
UKM92,Dumfries and Galloway,4.26,10.36
UKM93,East Ayrshire and North Ayrshire mainland,1.57,0.24
UKM94,South Ayrshire,-1.40,4.43
UKM95,South Lanarkshire,7.42,10.25
