geography_code,Claimants percentage
E14000692,3.295904257855338
E14000693,2.135231316725979
E14000694,1.3748492736964288
E14000695,2.480750631178325
E14000696,4.677203321725154
E14000697,1.6542504107492515
E14000698,1.6349938377131952
E14000699,1.2631330421437843
E14000700,2.0408665076593966
E14000701,5.127859767947509
E14000702,1.446231190386006
E14000703,3.409486366757273
E14000704,2.591775163504566
E14000705,1.6799937488604693
E14000706,1.7007265503823237
E14000707,2.031131822285115
E14000708,3.18933743686477
E14000709,4.00781648681279
E14000710,2.33210144004078
E14000711,2.9787129503384064
E14000712,2.893699555778014
E14000713,2.130952234736364
E14000714,2.181120223346711
E14000715,3.403225614189841
E14000716,3.985891664038081
E14000717,3.157107476520929
E14000718,4.678022668254132
E14000719,1.4514084794963
E14000720,5.390064480973572
E14000721,5.422647527910686
E14000722,3.279938977879481
E14000723,4.101478910076561
E14000724,1.104202542294901
E14000725,3.345157096151176
E14000726,4.727295445552802
E14000727,3.1790518898142217
E14000728,1.6143963512384567
E14000729,3.7072940683294906
E14000730,1.372022419430173
E14000731,3.10852423832408
E14000732,3.517125389213392
E14000733,3.665563481494179
E14000734,1.6456956859696854
E14000735,3.3814320718758504
E14000736,2.5822784810126582
E14000737,4.808670873193568
E14000738,1.8645073895374495
E14000739,2.6998411858125992
E14000740,2.4010709636216254
E14000741,4.169602483031724
E14000742,1.195811037698245
E14000743,1.6543332858972533
E14000744,1.4764356604517783
E14000745,2.4179640862990075
E14000746,1.295101335999273
E14000747,3.732971905079139
E14000748,1.8242725632003325
E14000749,1.2605656103086256
E14000750,3.359992094136249
E14000751,2.796788995947168
E14000752,4.344834365477244
E14000753,1.513429697207855
E14000754,2.9722180176957056
E14000755,2.964082296873184
E14000756,4.206022148475013
E14000757,1.6706661401537013
E14000758,3.972181174843756
E14000759,3.6567861292747934
E14000760,5.654295725551622
E14000761,3.8514780744842367
E14000762,2.233755449449865
E14000763,4.532523989823106
E14000764,4.119544696372602
E14000765,3.106903744329536
E14000766,3.05066022709757
E14000767,1.2203698341124396
E14000768,2.871066850301939
E14000769,2.8000000000000003
E14000770,2.43858035337856
E14000771,4.176501349766087
E14000772,4.447161796885056
E14000773,4.813909034688256
E14000774,1.3186931481780506
E14000775,4.054336225697183
E14000776,2.214536315907338
E14000777,5.4465068414834015
E14000778,5.687527374848633
E14000779,3.3434198795017966
E14000780,2.0248691988856424
E14000781,5.242353551062727
E14000782,4.07267474163796
E14000783,4.275639424277945
E14000784,5.422374429223744
E14000785,2.913732898276948
E14000786,1.835026059918698
E14000787,5.12835205134082
E14000788,4.751894188236324
E14000789,5.378758204278167
E14000790,4.991148420992519
E14000791,1.6276565459023902
E14000792,3.1407497816731724
E14000793,3.81608639587363
E14000794,5.812310797174571
E14000795,5.201123028554424
E14000796,4.649013104235768
E14000797,1.8605241181009968
E14000798,1.4766583338178014
E14000799,1.359738284037211
E14000800,4.3809345993812014
E14000801,5.862106643356643
