geography_code,Claimants percentage
E14000636,3.0131826741996237
E14000637,3.664406038066069
E14000638,1.9944768333844736
E14000639,1.5927065026362035
E14000640,2.755664421310472
E14000641,1.0827197921177998
E14000642,6.156792994937748
E14000643,4.104769351055512
E14000644,3.46470333477696
E14000645,3.9017792113203615
E14000646,2.6174584478471408
E14000647,3.24332478503545
E14000648,4.173622704507513
E14000649,6.406324541675186
E14000650,4.463263904783704
E14000651,2.2430668841761827
E14000652,4.614786748275527
E14000653,3.800675675675676
E14000654,6.677005255449298
E14000655,8.447658309116711
E14000656,4.268994627782041
E14000657,5.692281935375858
E14000658,6.017761159149334
E14000659,3.8384987205004255
E14000660,2.9182879377431905
E14000661,5.462445685909373
E14000662,4.296339085854575
E14000663,6.965280754393485
E14000664,1.78988326848249
E14000665,1.847940865892292
E14000666,5.114116652578192
E14000667,4.619197836863452
E14000668,6.6470420662805045
E14000669,6.238472387978735
E14000670,5.4629731817680165
E14000671,7.534798113424594
E14000672,6.188431422076282
E14000673,7.156123675297716
E14000674,4.634317314432588
E14000675,5.836229172235587
E14000676,5.403617115130128
E14000677,6.357856494096276
E14000678,1.7170329670329672
E14000679,5.277044854881266
E14000680,1.8790759367746213
E14000681,2.3313646254274167
E14000682,3.603922958761668
E14000683,3.368311957507449
E14000684,4.667444574095683
E14000685,2.826259420864736
E14000686,2.9344220464404187
E14000687,6.948076204706761
E14000688,4.088050314465408
E14000689,2.3479555606459743
E14000690,5.540780141843971
E14000691,5.689394612854476
E14000692,3.6051026067665006
E14000693,2.778685845047401
E14000694,1.89485958604606
E14000695,4.200739330122102
E14000696,5.444285487203942
E14000697,2.486217706193925
E14000698,1.40044814340589
E14000699,2.1640217511929865
E14000700,3.423094477407576
E14000701,5.496505532906232
E14000702,1.4928482155256213
E14000703,3.1038599283724637
E14000704,4.944001614367874
E14000705,2.333523050654525
E14000706,3.33889816360601
E14000707,4.215747055176689
E14000708,5.785123966942149
E14000709,5.0328414228439815
E14000710,4.245173296115376
E14000711,3.942422297607041
E14000712,3.884316591031459
E14000713,3.9017792113203615
E14000714,4.064600043355734
E14000715,5.01240694789082
E14000716,6.859667480525521
E14000717,5.754544476712918
E14000718,5.795349498684491
E14000719,1.128827430506561
E14000720,6.369669692577619
E14000721,5.575426046707343
E14000722,4.997094712376525
E14000723,7.347470238095238
E14000724,2.090639330995414
E14000725,5.944730077120823
E14000726,4.480796586059744
E14000727,3.60722964763062
E14000728,2.518438568087785
E14000729,5.137572782281082
E14000730,2.0277743640162225
E14000731,3.5102904404693205
E14000732,3.76827385816762
E14000733,7.557633753806002
