quarter_index,quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa
14,1995-07-01,4417881.510286563,3184325.400400021,609916.7260667217,623639.3838198207,72.07810786653422,16.074797172595982,14.11625419033406
15,1995-10-01,4347456.0938401865,3128436.0229795845,572629.4540593063,646390.6168012952,71.9601522235543,15.472016304814195,14.86824945091802
16,1996-01-01,4279903.363357595,3069149.3377080155,580691.420561829,630062.6050877504,71.71071580691626,15.910048109526224,14.72142129380848
17,1996-04-01,4250686.856508589,3060473.8903093217,570039.4951844739,620173.471014794,71.99951428139592,15.701346742368264,14.58995903368401
18,1996-07-01,4260339.221732457,3066967.390015385,569416.8956419451,623954.936075127,71.98880723794126,15.658875710354542,14.645663258274476
19,1996-10-01,4201271.968534891,3029425.2254943354,550154.1314762549,621692.6115643003,72.10733435452377,15.36923969585779,14.797723551829549
20,1997-01-01,4165544.523219998,3033961.7947372384,517926.1276418041,613656.6008409556,72.83469850880294,14.581713695934948,14.731725886501732
21,1997-04-01,4127109.6008018735,3058548.874636952,494144.3024369909,574416.4237279311,74.10873881427074,13.90900586703568,13.918128649075015
22,1997-07-01,4042250.032245811,3006886.3195258067,481944.4349473028,553419.2777727011,74.386450505023,13.813924173002397,13.690871998465418
23,1997-10-01,4053177.2109701615,3057094.0938534182,459690.0911936656,536393.0259230772,75.42463442208286,13.071319336233625,13.233890303915114
24,1998-01-01,4032819.699331884,3022082.500484572,459484.6848038192,551252.514043493,74.93720835040654,13.197639463785285,13.669158433609589
25,1998-04-01,4004809.670655498,2995768.342974834,449807.69047039136,559233.6372102723,74.80426260767828,13.054644161215316,13.964050309505428
26,1998-07-01,3928019.7359174136,2979395.54775419,441865.576363491,506758.6117997327,75.84981105137786,12.915283585009757,12.901121834139056
27,1998-10-01,3929636.186271841,2949580.03900576,465383.3709668467,514672.7762992344,75.05987575414996,13.627770347635437,13.097211851245682
28,1999-01-01,3945180.418965386,2990786.758868818,438065.0964789955,516328.5636175728,75.80861814307455,12.775853695626038,13.087577975786942
29,1999-04-01,3934592.109086028,2965096.8121839887,430547.7914167526,538947.5054852869,75.35970006488817,12.67941264996342,13.697671589405994
30,1999-07-01,3953579.933609159,2993341.822443192,413755.4299055292,546482.6812604375,75.71218674490335,12.143927785457318,13.822477107768057
31,1999-10-01,4009444.284392321,3032876.636700996,410559.2260780108,566008.4216133136,75.64331666877533,11.922952610090755,14.116879583952093
32,2000-01-01,3984056.049146057,3006486.163361864,412501.8732018423,565068.0125823508,75.46294846946932,12.065028271243444,14.183234513065338
33,2000-04-01,3934870.4491494326,2965297.9815032315,405919.6206332007,563652.8470130002,75.35948183870232,12.040742204714356,14.324559202065728
34,2000-07-01,3956362.1509104734,2988970.909136958,400613.8804768159,566777.3612966996,75.54846586653116,11.818966196224396,14.325719933557338
35,2000-10-01,3945983.205474877,2976602.930495601,394718.2086095343,574662.0663697412,75.43374554574123,11.70811656092502,14.56321622384057
36,2001-01-01,3971098.438989456,2988505.2938507283,401730.6749845189,580862.4701542086,75.25638912671295,11.849637567338355,14.62724933864957
37,2001-04-01,3999812.903087285,3043664.2427989244,392857.2232468941,563291.4370414673,76.09516536260105,11.431828001904766,14.082944644902929
38,2001-07-01,3991272.087267417,3030312.0729811788,391530.6486727495,569429.3656134887,75.92346516911732,11.442099492039349,14.266864126603371
39,2001-10-01,4066357.0671378216,3076980.522871375,434150.3964291991,555226.1478372475,75.66921625594387,12.364973178376466,13.654141499877024
40,2002-01-01,4094610.54664746,3077462.242814088,433173.98354877386,583974.3202845975,75.15885107397624,12.338902569736106,14.2620235461157
41,2002-04-01,4112310.122245932,3092588.594005121,415866.83456413215,603854.693676679,75.2031948484495,11.853273984264993,14.68407478341844
42,2002-07-01,4117385.008799397,3086560.8108322285,412501.1981562703,618322.9998108984,74.96410474696535,11.788907915796418,15.017371426025504
43,2002-10-01,4103860.787913949,3080103.659451699,411267.68917430006,612489.4392879503,75.05380466420155,11.779545860572838,14.924712872613966
44,2003-01-01,4138629.3007198814,3059525.8309134515,446921.67621179885,632181.7935946316,73.92606606204791,12.74571130192695,15.275149032668098
45,2003-04-01,4151206.424790372,3080507.015351166,422820.6669344991,647878.7425047071,74.20751222957372,12.06911557467098,15.606998934952353
46,2003-07-01,4200910.668097075,3131404.9693683907,420125.2633385072,649380.4353901776,74.54109874673559,11.829415373392358,15.458087226699668
47,2003-10-01,4214545.120674223,3160561.451798778,405562.0336975663,648421.6351778787,74.99175738550797,11.372630121952122,15.385329059524866
48,2004-01-01,4213035.350925441,3188983.1264828537,405112.0365130337,618940.1879295532,75.69324396441057,11.27160017030126,14.6910751127117
49,2004-04-01,4232242.203154595,3169063.25397118,409808.3943263277,653370.5548570871,74.87906177980668,11.450770930029757,15.437929199091748
50,2004-07-01,4284403.093433986,3173997.704484678,442013.2975210834,668392.0914282252,74.08261163262047,12.223781876656444,15.600588386572728
51,2004-10-01,4286281.0066605,3168805.643071284,442693.7144317732,674781.6491574424,73.92902234238124,12.25789265369954,15.742823396527008
52,2005-01-01,4292463.867753878,3185342.019438222,429004.0702646464,678117.7780510099,74.20777710832589,11.86947955777844,15.797868053012854
53,2005-04-01,4313047.697862379,3164779.434686561,447924.5651220509,700343.6980537673,73.3768707509328,12.398595764994315,16.2377916293592
54,2005-07-01,4303424.354847347,3153031.256023045,456609.1726151928,693783.9262091098,73.26796048991758,12.649713500340305,16.121671232065143
55,2005-10-01,4320897.7065416295,3113329.510769867,487962.1339772272,719606.0617945355,72.05283999332912,13.549642242637503,16.65408696681449
56,2006-01-01,4341884.973122663,3151862.369236229,466017.8802499195,724004.7236365145,72.59202831827727,12.88096476703751,16.674894155839734
57,2006-04-01,4349270.319898161,3131686.1676989915,506271.5801768317,711312.5720223382,72.00486374395602,13.916367788285608,16.35475653854032
58,2006-07-01,4380643.957239301,3165838.571629055,516507.19709115656,698298.1885190897,72.26879432639804,14.0265805964948,15.940537403527308
59,2006-10-01,4389820.332795383,3169388.893049284,482911.5438212307,737519.8959248678,72.1986016004226,13.22211992601066,16.80068522201282
60,2007-01-01,4428752.963689053,3196411.342363396,514618.8705172183,717722.7508084395,72.17407176626207,13.867277844600345,16.205978447951004
61,2007-04-01,4393061.746563774,3163295.550890909,513581.9407107588,716184.2549621053,72.00662620700062,13.967882853965849,16.302622095450868
62,2007-07-01,4382993.321747918,3181192.8377776705,480810.6245741216,720989.8593961257,72.5803715463802,13.12971518233732,16.449713847809335
63,2007-10-01,4403297.4220263865,3223470.439527505,479898.2741904936,699928.708308388,73.20583032622112,12.958425457688213,15.8955582879133
64,2008-01-01,4380974.082957784,3189590.877129766,479325.531030201,712057.6747978162,72.80551805904173,13.064498552328482,16.253409888174357
65,2008-04-01,4383176.012551584,3165272.4359294907,502413.30801725807,715490.2686048354,72.21413027597964,13.698373936383591,16.323557770802964
66,2008-07-01,4406647.87936965,3161484.8298372487,538595.3510271804,706567.6985052212,71.7435319631094,14.556315666147302,16.03413110934319
67,2008-10-01,4327048.567259612,3081479.9122907906,582594.6211411267,662974.0338276944,71.21435926572788,15.90018477586605,15.321622198651824
68,2009-01-01,4335415.297695504,3002470.13265837,642072.1411502328,690873.0238869012,69.2544987386638,17.61736023106291,15.935567332018593
69,2009-04-01,4323920.86454354,2932453.906296715,665641.3682999099,725825.5899469148,67.81932413109237,18.499826088527723,16.786282928967005
70,2009-07-01,4201598.681717332,2825806.27707919,656701.829596207,719090.5750419358,67.25550180161873,18.857151497721343,17.114689657795196
71,2009-10-01,4127331.679851495,2798083.1483350154,631831.7820453714,697416.7494711077,67.79399780236935,18.421208539282915,16.89752129385932
72,2010-01-01,4178255.140266493,2784979.008265911,660285.605560849,732990.5264397324,66.65411552843283,19.165018643588297,17.54298150382893
73,2010-04-01,4143840.4950127215,2817383.4699658696,625801.5244545073,700655.5005923449,67.98966980888149,18.175077013538573,16.90836076908877
74,2010-07-01,4242475.90267032,2867053.1986797336,641873.0441349576,733549.6598556284,67.57971676103428,18.292577264892245,17.290602862208697
75,2010-10-01,4226407.120642697,2807898.040579108,677271.27302043,741237.8070431601,66.43699862383627,19.4329518045978,17.538249058468413
76,2011-01-01,4201204.853096919,2852469.002387723,650175.0430167455,698560.8076924505,67.89645118792588,18.56240698708128,16.62763021844808
77,2011-04-01,4222354.522524606,2864362.351025925,677467.9105422527,680524.2609564285,67.83803528921304,19.127622175837917,16.117174844653576
78,2011-07-01,4222361.904526912,2798590.93978804,737519.9207884455,686251.0439504266,66.28022426944483,20.85680992106138,16.2527765138909
79,2011-10-01,4180042.0354462434,2773565.5019139056,727590.8678323231,678885.6657000144,66.35257440940569,20.781444499865632,16.24112054240477
80,2012-01-01,4146614.848796131,2765567.313753954,705285.0730335717,675762.4620086052,66.69457894207052,20.320226688936017,16.29672604401145
81,2012-04-01,4205015.145234055,2811534.6478980687,711311.9221434782,682168.5751925082,66.86146305762179,20.19139658798962,16.222737650913693
82,2012-07-01,4153000.093517597,2836224.895152703,657318.2828617292,659456.915503165,68.2933982972877,18.815232827187163,15.879048896062123
83,2012-10-01,4186708.7993200216,2884937.9416645253,654801.0676570999,646969.7899983961,68.9070599353143,18.498569129891568,15.452944568379646
84,2013-01-01,4140452.469079174,2823082.012417189,671416.3950851245,645954.061576861,68.18293492075841,19.21352700129053,15.60105003984068
85,2013-04-01,4064858.856794752,2755603.8208982814,680701.658323555,628553.3775729154,67.79088568578608,19.80911366697533,15.46310461732849
86,2013-07-01,4148665.1666447455,2848473.1202866696,672293.7328024716,627898.313555605,68.65999076494252,19.0950937922117,15.134947949135674
87,2013-10-01,4141216.906605653,2882799.992770829,638435.1568731288,619981.7569616947,69.61238828549351,18.1310003376992,14.9710041986152
88,2014-01-01,4087938.968089821,2893710.977259808,575296.8503090146,618931.140520998,70.78655038267262,16.583901763986464,15.140420279077874
89,2014-04-01,4104348.1601933823,2962715.753056434,498333.6868935093,643298.7202434391,72.1848059039134,14.398340605637708,15.673590424968456
90,2014-07-01,4085103.091621439,2949575.747068373,496285.0109937226,639242.3335593422,72.20321448234597,14.402352440753477,15.648132231238682
91,2014-10-01,4106237.37620586,2959439.883014922,501919.009863567,644878.483327371,72.07181689406927,14.5006347332613,15.70485152817042
92,2015-01-01,4100067.976577484,2982735.39663418,476085.6284298367,641246.9515134671,72.74843767648964,13.764390379841211,15.639910244823444
93,2015-04-01,4052762.644681884,2983326.112714744,466593.5708834663,602842.961083673,73.61215976044204,13.524766188087506,14.874864726527612
94,2015-07-01,4039437.72877812,3003047.3449358125,431277.1277142159,605113.2561280918,74.34320186547838,12.557844523683851,14.98013577031007
95,2015-10-01,4002143.965459268,2989063.092548147,407817.0800797514,605263.792831369,74.68654596999575,12.005636329651727,15.123488761402209
96,2016-01-01,4040870.3423203225,2998610.5607603467,414550.0880033921,627709.693556584,74.20704716396577,12.145636571590732,15.534022138313514
97,2016-04-01,4023942.021563746,3005588.3197446694,410260.2504274503,608093.4513916264,74.69263482520721,12.010492912652092,15.11188402151269
98,2016-07-01,4009462.35099186,2984310.072409313,399674.0379362918,625478.2406462553,74.4316771467141,11.81075397825888,15.600052722568272
99,2016-10-01,3998338.81138578,3003278.552995328,363879.1630403904,631181.0953500615,75.11315810563902,10.806715744482531,15.786083299211487
100,2017-01-01,3972113.349752885,3009661.1048760707,361372.86080276,601079.3840740542,75.76976888293756,10.71994125487815,15.132483168221992
101,2017-04-01,3972873.4150542114,3012842.292326236,357448.48424461595,602582.6384833592,75.83534579556003,10.605864833072555,15.167426080076524
102,2017-07-01,3943956.484509915,2958874.8451346364,344676.18014767417,640405.4592276048,75.02300942608682,10.43350556748913,16.237640089154862
103,2017-10-01,3951490.378830952,2950539.1497466536,360758.1315770679,640193.0975072302,74.66902021458472,10.89476724460244,16.201307257051486
104,2018-01-01,3991361.39888724,2988618.250408478,349444.09381191444,653299.0546668469,74.87716474989415,10.468471160131294,16.367825144798502
105,2018-04-01,3918099.282065511,2943862.952713658,326578.91124765715,647657.4181041955,75.13497593562094,9.985773324589516,16.52988787366228
106,2018-07-01,3862402.2458398473,2919843.1993400054,307363.8613100376,635195.1851898038,75.59655917466745,9.52414442375837,16.44559900186382
107,2018-10-01,3901169.5669249054,2949739.090147094,343825.244287902,607605.2324899104,75.61166054292336,10.439305547887058,15.574950590236831
108,2019-01-01,3883367.1792606814,2950329.822325202,330057.7171988047,602979.6397366748,75.97349635341175,10.061546485653857,15.527237366502916
109,2019-04-01,3899704.013227326,2935378.884630836,355668.1443179506,608656.9842785392,75.27183793114516,10.807142565554791,15.60777387755707
110,2019-07-01,3846577.67092413,2849510.4828891167,352967.7062584503,644099.4817765632,74.07910944911531,11.021705236106635,16.744741348790185
111,2019-10-01,3891034.852298685,2929504.1999005806,339397.8739153972,622132.7784827072,75.28856232603349,10.382625916939704,15.988877049383746
112,2020-01-01,3851649.22652344,2862601.8085277868,356280.09346911544,632767.3245265378,74.32145660656687,11.068442531181075,16.42847744724884
113,2020-04-01,3920242.1237057606,2827243.04680648,363877.2024724238,729121.8744268571,72.11909258640172,11.402804471396804,18.59889903273694
114,2020-07-01,3633944.556464196,2647124.6844869256,406804.8106851438,580015.061292127,72.84438833218083,13.320700799683094,15.961032213889297
115,2020-10-01,3686025.447371892,2687311.022011457,405141.90318132925,593572.5221791051,72.90538441419305,13.100988535050126,16.10332133225824
116,2021-01-01,3640296.971863999,2684594.1503852336,369831.9179670335,585870.9035117318,73.74656988522005,12.108065793405896,16.094041448814515
117,2021-04-01,3584583.919832529,2723441.782207856,320490.5321582058,540651.605466468,75.97651061089104,10.52883241344189,15.08268790905381
118,2021-07-01,3585777.65941347,2686769.435527865,302837.88780270366,596170.3360829011,74.92850061337444,10.129687783388473,16.62597050650423
119,2021-10-01,3602632.717581495,2689906.5902614435,294305.9126333415,618420.2146867099,74.66502419561718,9.862096360358224,17.16578577851437
120,2022-01-01,3633385.502015832,2752445.776479964,278632.5265804072,602307.1989554605,75.75430063649688,9.192521562345716,16.57702433780549
121,2022-04-01,3669306.559101528,2782289.556471545,268826.44819697307,618190.5544330091,75.82603174897497,8.810758023806411,16.847612606791305
122,2022-07-01,3638378.228082108,2751883.92752054,252957.02821685263,633537.272344716,75.63490530700365,8.418316707706635,17.412628171938888
123,2022-10-01,3729826.040227146,2728780.9270034684,320620.8842369558,680424.2289867217,73.16107769029585,10.51422226664628,18.242787241232403
124,2023-01-01,3816376.102325014,2833732.1830688748,330508.993835125,652134.9254210142,74.25191089899414,10.445126504500715,17.087805497569285
