index,code,value,date,freq
269,AP2Y,687.0,2014-08-01,m
270,AP2Y,703.0,2014-09-01,m
271,AP2Y,704.0,2014-10-01,m
272,AP2Y,708.0,2014-11-01,m
273,AP2Y,708.0,2014-12-01,m
274,AP2Y,719.0,2015-01-01,m
275,AP2Y,727.0,2015-02-01,m
276,AP2Y,727.0,2015-03-01,m
277,AP2Y,727.0,2015-04-01,m
278,AP2Y,732.0,2015-05-01,m
279,AP2Y,742.0,2015-06-01,m
280,AP2Y,743.0,2015-07-01,m
281,AP2Y,742.0,2015-08-01,m
282,AP2Y,743.0,2015-09-01,m
283,AP2Y,743.0,2015-10-01,m
284,AP2Y,745.0,2015-11-01,m
285,AP2Y,747.0,2015-12-01,m
286,AP2Y,743.0,2016-01-01,m
287,AP2Y,744.0,2016-02-01,m
288,AP2Y,744.0,2016-03-01,m
289,AP2Y,747.0,2016-04-01,m
290,AP2Y,750.0,2016-05-01,m
291,AP2Y,749.0,2016-06-01,m
292,AP2Y,754.0,2016-07-01,m
293,AP2Y,755.0,2016-08-01,m
294,AP2Y,758.0,2016-09-01,m
295,AP2Y,755.0,2016-10-01,m
296,AP2Y,757.0,2016-11-01,m
297,AP2Y,759.0,2016-12-01,m
298,AP2Y,770.0,2017-01-01,m
299,AP2Y,777.0,2017-02-01,m
300,AP2Y,792.0,2017-03-01,m
301,AP2Y,784.0,2017-04-01,m
302,AP2Y,781.0,2017-05-01,m
303,AP2Y,781.0,2017-06-01,m
304,AP2Y,790.0,2017-07-01,m
305,AP2Y,798.0,2017-08-01,m
306,AP2Y,805.0,2017-09-01,m
307,AP2Y,816.0,2017-10-01,m
308,AP2Y,821.0,2017-11-01,m
309,AP2Y,828.0,2017-12-01,m
310,AP2Y,819.0,2018-01-01,m
311,AP2Y,818.0,2018-02-01,m
312,AP2Y,816.0,2018-03-01,m
313,AP2Y,820.0,2018-04-01,m
314,AP2Y,828.0,2018-05-01,m
315,AP2Y,834.0,2018-06-01,m
316,AP2Y,839.0,2018-07-01,m
317,AP2Y,843.0,2018-08-01,m
318,AP2Y,857.0,2018-09-01,m
319,AP2Y,858.0,2018-10-01,m
320,AP2Y,857.0,2018-11-01,m
321,AP2Y,865.0,2018-12-01,m
322,AP2Y,852.0,2019-01-01,m
323,AP2Y,850.0,2019-02-01,m
324,AP2Y,843.0,2019-03-01,m
325,AP2Y,836.0,2019-04-01,m
326,AP2Y,819.0,2019-05-01,m
327,AP2Y,817.0,2019-06-01,m
328,AP2Y,811.0,2019-07-01,m
329,AP2Y,816.0,2019-08-01,m
330,AP2Y,804.0,2019-09-01,m
331,AP2Y,803.0,2019-10-01,m
332,AP2Y,811.0,2019-11-01,m
333,AP2Y,822.0,2019-12-01,m
334,AP2Y,826.0,2020-01-01,m
335,AP2Y,801.0,2020-02-01,m
336,AP2Y,642.0,2020-03-01,m
337,AP2Y,473.0,2020-04-01,m
338,AP2Y,326.0,2020-05-01,m
339,AP2Y,365.0,2020-06-01,m
340,AP2Y,423.0,2020-07-01,m
341,AP2Y,488.0,2020-08-01,m
342,AP2Y,524.0,2020-09-01,m
343,AP2Y,553.0,2020-10-01,m
344,AP2Y,601.0,2020-11-01,m
345,AP2Y,626.0,2020-12-01,m
346,AP2Y,628.0,2021-01-01,m
347,AP2Y,634.0,2021-02-01,m
348,AP2Y,668.0,2021-03-01,m
349,AP2Y,767.0,2021-04-01,m
350,AP2Y,864.0,2021-05-01,m
351,AP2Y,964.0,2021-06-01,m
352,AP2Y,1046.0,2021-07-01,m
353,AP2Y,1121.0,2021-08-01,m
354,AP2Y,1186.0,2021-09-01,m
355,AP2Y,1214.0,2021-10-01,m
356,AP2Y,1241.0,2021-11-01,m
357,AP2Y,1264.0,2021-12-01,m
358,AP2Y,1281.0,2022-01-01,m
359,AP2Y,1293.0,2022-02-01,m
360,AP2Y,1297.0,2022-03-01,m
361,AP2Y,1302.0,2022-04-01,m
362,AP2Y,1299.0,2022-05-01,m
363,AP2Y,1275.0,2022-06-01,m
364,AP2Y,1253.0,2022-07-01,m
365,AP2Y,1232.0,2022-08-01,m
366,AP2Y,1207.0,2022-09-01,m
367,AP2Y,1171.0,2022-10-01,m
368,AP2Y,1151.0,2022-11-01,m
369,AP2Y,1138.0,2022-12-01,m
370,AP2Y,1130.0,2023-01-01,m
371,AP2Y,1119.0,2023-02-01,m
372,AP2Y,1085.0,2023-03-01,m
373,AP2Y,1056.0,2023-04-01,m
374,AP2Y,1036.0,2023-05-01,m
375,AP2Y,1020.0,2023-06-01,m
